,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
0,0.6,0,0,0,349350,0,0,0,0,0,0,0,383305,0,0,0,0,79117,2
1,0.8,0,0,0,349807,0,0,0,0,0,0,0,383017,0,0,0,0,79355,2
2,1.0,0,0,0,346559,0,0,0,0,0,0,0,381170,0,0,0,0,78629,2
3,1.2,0,0,0,348970,0,0,0,0,0,0,0,380960,0,0,0,0,78995,2
4,1.4,0,0,0,349468,0,0,0,0,0,0,0,382901,0,0,0,0,79793,2
5,1.6,0,0,0,349148,0,0,0,0,0,0,0,382181,0,0,0,0,79423,2
6,1.8,0,0,0,348732,0,0,0,0,0,0,0,380275,0,0,0,0,79409,2
7,2.0,0,0,0,351143,0,0,0,0,0,0,0,382968,0,0,0,0,79882,2
8,2.2,0,0,0,349216,0,0,0,0,0,0,0,381414,0,0,0,0,79340,2
9,2.4,0,0,0,350568,0,0,0,0,0,0,0,382752,0,0,0,0,79663,2
10,2.6,0,0,0,352371,0,0,0,0,0,0,0,381789,0,0,0,0,80283,2
11,2.8,0,0,0,349528,0,0,0,0,0,0,0,379224,0,0,0,0,78977,2
12,3.0,0,0,0,350902,0,0,0,0,0,0,0,380606,0,0,0,0,80155,2
13,3.2,0,0,0,350152,0,0,0,0,0,0,0,380523,0,0,0,0,79874,2
14,3.4,0,0,0,350945,0,0,0,0,0,0,0,380879,0,0,0,0,79775,2
15,3.6,0,0,0,351353,0,0,0,0,0,0,0,381124,0,0,0,0,80257,2
16,3.8,0,0,0,351298,0,0,0,0,0,0,0,379578,0,0,0,0,79527,2
17,4.0,0,0,0,353583,0,0,0,0,0,0,0,380564,0,0,0,0,80331,2
18,4.2,0,0,0,352992,0,0,0,0,0,0,0,380157,0,0,0,0,80316,2
19,4.4,0,0,0,354146,0,0,0,0,0,0,0,381296,0,0,0,0,80682,2
20,4.6,0,0,0,353801,0,0,0,0,0,0,0,380806,0,0,0,0,80268,2
21,4.8,0,0,0,352050,0,0,0,0,0,0,0,378111,0,0,0,0,79675,2
22,5.0,0,0,0,354789,0,0,0,0,0,0,0,381036,0,0,0,0,80805,2
23,5.2,0,0,0,355584,0,0,0,0,0,0,0,381864,0,0,0,0,80721,2
24,5.4,0,0,0,354481,0,0,0,0,0,0,0,379129,0,0,0,0,80330,2
25,5.6,0,0,0,354697,0,0,0,0,0,0,0,380015,0,0,0,0,80429,2
26,5.8,0,0,0,359996,0,0,0,0,0,0,0,384077,0,0,0,0,81696,2
27,6.0,0,0,0,359891,0,0,0,0,0,0,0,383771,0,0,0,0,81625,2
28,6.2,0,0,0,354774,0,0,0,0,0,0,0,378783,0,0,0,0,80242,2
29,6.4,0,0,0,356228,0,0,0,0,0,0,0,378851,0,0,0,0,80673,2
30,6.6,0,0,0,358495,0,0,0,0,0,0,0,381242,0,0,0,0,81505,2
31,6.8,0,0,0,357192,0,0,0,0,0,0,0,380498,0,0,0,0,81161,2
32,7.0,0,0,0,358567,0,0,0,0,0,0,0,380178,0,0,0,0,81446,2
33,7.2,0,0,0,357155,0,0,0,0,0,0,0,377649,0,0,0,0,80598,2
34,7.4,0,0,0,359094,0,0,0,0,0,0,0,378956,0,0,0,0,80844,2
35,7.6,0,0,0,355922,0,0,0,0,0,0,0,380822,0,0,0,0,81118,2
36,7.8,0,0,0,359864,0,0,0,0,0,0,0,379509,0,0,0,0,81653,2
37,8.0,0,0,0,357386,0,0,0,0,0,0,0,376257,0,0,0,0,80398,2
38,8.2,0,0,0,356247,0,0,0,0,0,0,0,382776,0,0,0,0,81226,2
39,8.4,0,0,0,358301,0,0,0,0,0,0,0,379372,0,0,0,0,81037,2
40,8.6,0,0,0,361075,0,0,0,0,0,0,0,378564,0,0,0,0,81556,2
41,8.8,0,0,0,363080,0,0,0,0,0,0,0,375084,0,0,0,0,81507,2
42,9.0,0,0,0,355777,0,0,0,0,0,0,0,383463,0,0,0,0,79122,2
43,9.2,0,0,0,355048,0,0,0,0,0,0,0,372120,0,0,0,0,71161,2
44,9.4,0,0,0,345999,0,0,0,0,0,0,0,363431,0,0,0,0,55240,2
45,9.6,0,0,0,339184,0,0,0,0,0,0,0,351241,0,0,0,0,33623,2
46,9.8,0,0,0,330103,0,0,0,0,0,0,0,345850,0,0,0,0,15771,2
47,10.0,0,0,0,328052,0,0,0,0,0,0,0,339727,0,0,0,0,11007,2
48,10.2,0,0,0,334656,0,0,0,0,0,0,0,348267,0,0,0,0,23277,2
49,10.4,0,0,0,344614,0,0,0,0,0,0,0,359468,0,0,0,0,44388,2
50,10.6,0,0,0,350732,0,0,0,0,0,0,0,365944,0,0,0,0,63731,2
51,10.8,0,0,0,358144,0,0,0,0,0,0,0,373596,0,0,0,0,75307,2
52,11.0,0,0,0,359100,0,0,0,0,0,0,0,374398,0,0,0,0,79589,2
53,11.2,0,0,0,362766,0,0,0,0,0,0,0,376210,0,0,0,0,81638,2
54,11.4,0,0,0,361014,0,0,0,0,0,0,0,376454,0,0,0,0,81319,2
55,11.6,0,0,0,362132,0,0,0,0,0,0,0,374516,0,0,0,0,81728,2
56,11.8,0,0,0,359475,0,0,0,0,0,0,0,372366,0,0,0,0,81415,2
57,12.0,0,0,0,360023,0,0,0,0,0,0,0,374339,0,0,0,0,81989,2
58,12.2,0,0,0,356813,0,0,0,0,0,0,0,368550,0,0,0,0,80957,2
59,12.4,0,0,0,360019,0,0,0,0,0,0,0,371475,0,0,0,0,81529,2
60,12.6,0,0,0,360014,0,0,0,0,0,0,0,372885,0,0,0,0,81968,2
61,12.8,0,0,0,363158,0,0,0,0,0,0,0,373279,0,0,0,0,82074,2
62,13.0,0,0,0,359199,0,0,0,0,0,0,0,370677,0,0,0,0,81429,2
63,13.2,0,0,0,357837,0,0,0,0,0,0,0,369995,0,0,0,0,80937,2
64,13.4,0,0,0,358029,0,0,0,0,0,0,0,368716,0,0,0,0,81363,2
65,13.6,0,0,0,359981,0,0,0,0,0,0,0,371357,0,0,0,0,81366,2
66,13.8,0,0,0,358755,0,0,0,0,0,0,0,368881,0,0,0,0,80760,2
67,14.0,0,0,0,357738,0,0,0,0,0,0,0,366229,0,0,0,0,80796,2
68,14.2,0,0,0,358978,0,0,0,0,0,0,0,367356,0,0,0,0,81856,2
69,14.4,0,0,0,361305,0,0,0,0,0,0,0,371274,0,0,0,0,81778,2
70,14.6,0,0,0,362686,0,0,0,0,0,0,0,370988,0,0,0,0,81821,2
71,14.8,0,0,0,360032,0,0,0,0,0,0,0,368044,0,0,0,0,81084,2
72,15.0,0,0,0,360168,0,0,0,0,0,0,0,367047,0,0,0,0,81216,2
73,15.2,0,0,0,360567,0,0,0,0,0,0,0,366777,0,0,0,0,81089,2
74,15.4,0,0,0,361450,0,0,0,0,0,0,0,368675,0,0,0,0,81494,2
75,15.6,0,0,0,360053,0,0,0,0,0,0,0,366783,0,0,0,0,80783,2
76,15.8,0,0,0,359225,0,0,0,0,0,0,0,366355,0,0,0,0,80256,2
77,16.0,0,0,0,362143,0,0,0,0,0,0,0,366372,0,0,0,0,80758,2
78,16.2,0,0,0,364226,0,0,0,0,0,0,0,370216,0,0,0,0,80989,2
79,16.4,0,0,0,362198,0,0,0,0,0,0,0,367579,0,0,0,0,80913,2
80,16.6,0,0,0,362157,0,0,0,0,0,0,0,368572,0,0,0,0,80395,2
81,16.8,0,0,0,362583,0,0,0,0,0,0,0,367209,0,0,0,0,80478,2
82,17.0,0,0,0,365191,0,0,0,0,0,0,0,368344,0,0,0,0,80957,2
83,17.2,0,0,0,363532,0,0,0,0,0,0,0,365864,0,0,0,0,80254,2
84,17.4,0,0,0,364866,0,0,0,0,0,0,0,369343,0,0,0,0,80585,2
