,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
0,8.0,0,0,0,448741,0,0,0,0,0,0,0,474547,0,0,0,0,117798,2
1,8.1,0,0,0,446472,0,0,0,0,0,0,0,472732,0,0,0,0,116490,2
2,8.2,0,0,0,446784,0,0,0,0,0,0,0,475764,0,0,0,0,116615,2
3,8.3,0,0,0,447351,0,0,0,0,0,0,0,474774,0,0,0,0,115831,2
4,8.4,0,0,0,447630,0,0,0,0,0,0,0,472620,0,0,0,0,116193,2
5,8.5,0,0,0,450383,0,0,0,0,0,0,0,473320,0,0,0,0,117167,2
6,8.6,0,0,0,450952,0,0,0,0,0,0,0,472536,0,0,0,0,117070,2
7,8.7,0,0,0,447474,0,0,0,0,0,0,0,472317,0,0,0,0,117169,2
8,8.8,0,0,0,446522,0,0,0,0,0,0,0,475795,0,0,0,0,116293,2
9,8.9,0,0,0,451941,0,0,0,0,0,0,0,472165,0,0,0,0,116295,2
10,9.0,0,0,0,448565,0,0,0,0,0,0,0,467804,0,0,0,0,114047,2
11,9.1,0,0,0,444111,0,0,0,0,0,0,0,465335,0,0,0,0,109458,2
12,9.2,0,0,0,441379,0,0,0,0,0,0,0,464483,0,0,0,0,105195,2
13,9.3,0,0,0,435917,0,0,0,0,0,0,0,459877,0,0,0,0,96135,2
14,9.4,0,0,0,432914,0,0,0,0,0,0,0,453701,0,0,0,0,85746,2
15,9.5,0,0,0,421958,0,0,0,0,0,0,0,447729,0,0,0,0,70222,2
16,9.6,0,0,0,418004,0,0,0,0,0,0,0,435482,0,0,0,0,54155,2
17,9.7,0,0,0,411875,0,0,0,0,0,0,0,428142,0,0,0,0,37389,2
18,9.8,0,0,0,401873,0,0,0,0,0,0,0,419873,0,0,0,0,21815,2
19,9.9,0,0,0,397767,0,0,0,0,0,0,0,414401,0,0,0,0,11383,2
20,10.0,0,0,0,394484,0,0,0,0,0,0,0,411710,0,0,0,0,7021,2
21,10.1,0,0,0,395348,0,0,0,0,0,0,0,413946,0,0,0,0,9575,2
22,10.2,0,0,0,398174,0,0,0,0,0,0,0,417623,0,0,0,0,18348,2
23,10.3,0,0,0,406776,0,0,0,0,0,0,0,426198,0,0,0,0,33196,2
24,10.4,0,0,0,413739,0,0,0,0,0,0,0,433895,0,0,0,0,49046,2
25,10.5,0,0,0,422431,0,0,0,0,0,0,0,442573,0,0,0,0,65574,2
26,10.6,0,0,0,428940,0,0,0,0,0,0,0,450826,0,0,0,0,81443,2
27,10.7,0,0,0,434303,0,0,0,0,0,0,0,456173,0,0,0,0,93366,2
28,10.8,0,0,0,438482,0,0,0,0,0,0,0,460680,0,0,0,0,102014,2
29,10.9,0,0,0,442265,0,0,0,0,0,0,0,466152,0,0,0,0,108024,2
30,11.0,0,0,0,445097,0,0,0,0,0,0,0,466743,0,0,0,0,111938,2
31,11.1,0,0,0,444192,0,0,0,0,0,0,0,465851,0,0,0,0,112854,2
32,11.2,0,0,0,446900,0,0,0,0,0,0,0,469345,0,0,0,0,114218,2
33,11.3,0,0,0,446699,0,0,0,0,0,0,0,468369,0,0,0,0,114732,2
34,11.4,0,0,0,446789,0,0,0,0,0,0,0,467660,0,0,0,0,114740,2
35,11.5,0,0,0,446619,0,0,0,0,0,0,0,467132,0,0,0,0,113760,2
36,11.6,0,0,0,446366,0,0,0,0,0,0,0,466651,0,0,0,0,114648,2
37,11.7,0,0,0,446964,0,0,0,0,0,0,0,467689,0,0,0,0,115251,2
38,11.8,0,0,0,445267,0,0,0,0,0,0,0,466062,0,0,0,0,113969,2
39,11.9,0,0,0,445396,0,0,0,0,0,0,0,464325,0,0,0,0,114777,2
