,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
0,8.0,0,0,0,374450,0,0,0,0,0,0,0,391287,0,0,0,0,82802,2
1,8.4,0,0,0,376220,0,0,0,0,0,0,0,389149,0,0,0,0,82281,2
2,8.8,0,0,0,375578,0,0,0,0,0,0,0,389982,0,0,0,0,83407,2
3,9.2,0,0,0,372441,0,0,0,0,0,0,0,385275,0,0,0,0,75431,2
4,9.5,0,0,0,360609,0,0,0,0,0,0,0,372347,0,0,0,0,48973,2
5,9.6,0,0,0,354802,0,0,0,0,0,0,0,364854,0,0,0,0,37531,2
6,9.7,0,0,0,347765,0,0,0,0,0,0,0,359647,0,0,0,0,25547,2
7,9.8,0,0,0,344258,0,0,0,0,0,0,0,355453,0,0,0,0,15802,2
8,9.9,0,0,0,341345,0,0,0,0,0,0,0,351356,0,0,0,0,9467,2
9,10.0,0,0,0,340858,0,0,0,0,0,0,0,348702,0,0,0,0,6810,2
10,10.1,0,0,0,339843,0,0,0,0,0,0,0,350326,0,0,0,0,8336,2
11,10.2,0,0,0,343197,0,0,0,0,0,0,0,353362,0,0,0,0,14222,2
12,10.3,0,0,0,347718,0,0,0,0,0,0,0,357678,0,0,0,0,22872,2
13,10.4,0,0,0,353669,0,0,0,0,0,0,0,362846,0,0,0,0,33714,2
14,10.5,0,0,0,360112,0,0,0,0,0,0,0,369420,0,0,0,0,45153,2
15,10.8,0,0,0,372251,0,0,0,0,0,0,0,382228,0,0,0,0,70651,2
16,11.2,0,0,0,377979,0,0,0,0,0,0,0,386686,0,0,0,0,82018,2
17,11.6,0,0,0,378217,0,0,0,0,0,0,0,387444,0,0,0,0,83536,2
18,12.0,0,0,0,380382,0,0,0,0,0,0,0,388114,0,0,0,0,83162,2
