,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
0,7.95,0,0,0,85040,0,0,0,0,0,0,0,87148,0,0,0,0,18834,2
1,8.35,0,0,0,85711,0,0,0,0,0,0,0,87595,0,0,0,0,18908,2
2,8.75,0,0,0,86277,0,0,0,0,0,0,0,86843,0,0,0,0,18909,2
3,9.15,0,0,0,85528,0,0,0,0,0,0,0,86776,0,0,0,0,17818,2
4,9.55,0,0,0,81162,0,0,0,0,0,0,0,82277,0,0,0,0,8868,2
5,9.75,0,0,0,77930,0,0,0,0,0,0,0,78238,0,0,0,0,2646,2
6,9.8,0,0,0,77210,0,0,0,0,0,0,0,78108,0,0,0,0,1561,2
7,9.85,0,0,0,77222,0,0,0,0,0,0,0,77647,0,0,0,0,793,2
8,9.9,0,0,0,77343,0,0,0,0,0,0,0,77849,0,0,0,0,372,2
9,9.95,0,0,0,77070,0,0,0,0,0,0,0,77809,0,0,0,0,347,2
10,10.0,0,0,0,76990,0,0,0,0,0,0,0,77964,0,0,0,0,659,2
11,10.05,0,0,0,77483,0,0,0,0,0,0,0,77865,0,0,0,0,1298,2
12,10.1,0,0,0,77776,0,0,0,0,0,0,0,78189,0,0,0,0,2226,2
13,10.15,0,0,0,78600,0,0,0,0,0,0,0,79427,0,0,0,0,3520,2
14,10.35,0,0,0,81448,0,0,0,0,0,0,0,81820,0,0,0,0,9519,2
15,10.75,0,0,0,85789,0,0,0,0,0,0,0,85979,0,0,0,0,17843,2
16,11.15,0,0,0,86713,0,0,0,0,0,0,0,86705,0,0,0,0,18897,2
17,11.55,0,0,0,86991,0,0,0,0,0,0,0,86996,0,0,0,0,19102,2
18,11.95,0,0,0,86798,0,0,0,0,0,0,0,86717,0,0,0,0,19011,2
