theta,TT,TR,RT,RR
0.0,727,4,2,0
6.0,768,79,125,0
12.0,733,368,508,0
18.0,689,872,1127,3
24.0,615,1560,1950,4
29.999999999999996,594,2455,3116,8
36.0,483,3346,4332,18
41.99999999999999,421,4608,5481,21
48.0,312,5622,6929,23
54.0,263,6817,8310,41
59.99999999999999,214,7735,9700,61
65.99999999999999,158,8565,10599,70
72.0,122,9369,11653,73
78.0,89,10232,12143,104
83.99999999999999,75,10422,12901,94
90.0,92,10650,12683,96
96.0,126,9941,12409,92
101.99999999999999,128,10113,12511,86
108.0,161,9322,11690,83
114.0,218,8785,11028,65
119.99999999999999,308,7898,10038,68
126.0,338,7001,8765,47
131.99999999999997,430,5990,7448,34
138.0,513,4842,5958,19
144.0,548,3789,4582,21
149.99999999999997,667,2752,3215,6
156.0,666,1893,2286,4
162.0,720,1156,1362,4
167.99999999999997,759,536,614,0
174.0,809,154,195,0
180.0,727,6,3,0
185.99999999999997,784,72,113,0
192.0,794,382,535,0
198.0,684,883,1140,2
203.99999999999997,627,1554,2101,0
210.0,565,2496,3036,12
216.0,491,3417,4361,15
221.99999999999997,392,4504,5623,20
228.0,344,5742,7029,29
234.0,264,6768,8361,50
239.99999999999997,217,7693,9806,68
245.99999999999997,182,8685,10645,62
252.0,129,9389,11641,79
258.0,92,10052,12516,83
263.99999999999994,88,10623,12888,95
270.0,81,10632,12890,94
276.0,120,9966,12355,81
281.99999999999994,147,10102,12706,97
288.0,198,9566,11838,74
294.0,223,8888,11136,65
299.99999999999994,306,8070,10035,47
306.0,370,6992,8732,44
312.0,442,6172,7422,46
317.99999999999994,523,5006,6014,21
324.0,595,3814,4746,22
330.0,644,2769,3354,6
335.99999999999994,743,1899,2287,4
342.0,819,1134,1348,3
348.0,791,539,624,0
353.99999999999994,892,150,165,0
360.0,786,11,5,0
