,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
0,7.95,0,0,0,381442,0,0,0,0,0,0,0,393091,0,0,0,0,78793,2
1,8.35,0,0,0,382478,0,0,0,0,0,0,0,393235,0,0,0,0,79910,2
2,8.75,0,0,0,384068,0,0,0,0,0,0,0,393599,0,0,0,0,79725,2
3,9.15,0,0,0,379887,0,0,0,0,0,0,0,391284,0,0,0,0,73900,2
4,9.55,0,0,0,361753,0,0,0,0,0,0,0,371975,0,0,0,0,37125,2
5,9.75,0,0,0,350494,0,0,0,0,0,0,0,357519,0,0,0,0,11232,2
6,9.8,0,0,0,348239,0,0,0,0,0,0,0,355454,0,0,0,0,6884,2
7,9.85,0,0,0,346743,0,0,0,0,0,0,0,355146,0,0,0,0,3651,2
8,9.9,0,0,0,346758,0,0,0,0,0,0,0,353142,0,0,0,0,1784,2
9,9.95,0,0,0,346120,0,0,0,0,0,0,0,352544,0,0,0,0,1512,2
10,10.0,0,0,0,345276,0,0,0,0,0,0,0,353649,0,0,0,0,2674,2
11,10.05,0,0,0,348193,0,0,0,0,0,0,0,354911,0,0,0,0,5392,2
12,10.1,0,0,0,349913,0,0,0,0,0,0,0,356337,0,0,0,0,9143,2
13,10.15,0,0,0,351312,0,0,0,0,0,0,0,357974,0,0,0,0,14306,2
14,10.35,0,0,0,366218,0,0,0,0,0,0,0,373134,0,0,0,0,40460,2
15,10.75,0,0,0,382591,0,0,0,0,0,0,0,388921,0,0,0,0,74322,2
16,11.15,0,0,0,385600,0,0,0,0,0,0,0,393164,0,0,0,0,79942,2
17,11.55,0,0,0,386228,0,0,0,0,0,0,0,391812,0,0,0,0,79752,2
18,11.95,0,0,0,387487,0,0,0,0,0,0,0,391858,0,0,0,0,80160,2
