,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
0,7.95,0,0,0,427427,0,0,0,0,0,0,0,441958,0,0,0,0,100871,2
1,8.35,0,0,0,427311,0,0,0,0,0,0,0,441205,0,0,0,0,101069,2
2,8.75,0,0,0,428718,0,0,0,0,0,0,0,439631,0,0,0,0,101160,2
3,9.15,0,0,0,427977,0,0,0,0,0,0,0,437003,0,0,0,0,95192,2
4,9.55,0,0,0,403019,0,0,0,0,0,0,0,413357,0,0,0,0,49783,2
5,9.75,0,0,0,389111,0,0,0,0,0,0,0,396795,0,0,0,0,17710,2
6,9.8,0,0,0,386705,0,0,0,0,0,0,0,392346,0,0,0,0,11373,2
7,9.85,0,0,0,384073,0,0,0,0,0,0,0,392451,0,0,0,0,6901,2
8,9.9,0,0,0,384571,0,0,0,0,0,0,0,389124,0,0,0,0,3810,2
9,9.95,0,0,0,381728,0,0,0,0,0,0,0,388076,0,0,0,0,2686,2
10,10.0,0,0,0,383133,0,0,0,0,0,0,0,388105,0,0,0,0,3581,2
11,10.05,0,0,0,383990,0,0,0,0,0,0,0,389875,0,0,0,0,6595,2
12,10.1,0,0,0,386126,0,0,0,0,0,0,0,392302,0,0,0,0,10989,2
13,10.15,0,0,0,389440,0,0,0,0,0,0,0,395496,0,0,0,0,16739,2
14,10.35,0,0,0,404689,0,0,0,0,0,0,0,410488,0,0,0,0,48293,2
15,10.75,0,0,0,427480,0,0,0,0,0,0,0,434434,0,0,0,0,93214,2
16,11.15,0,0,0,430786,0,0,0,0,0,0,0,436493,0,0,0,0,99675,2
17,11.55,0,0,0,431548,0,0,0,0,0,0,0,435696,0,0,0,0,99945,2
18,11.95,0,0,0,433070,0,0,0,0,0,0,0,436012,0,0,0,0,100348,2
