,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,RT,TR,RR,read_time
0,6.3,0,61408,0,434,0,0,0,0,0,64118,0,341,0,0,0,0,0,8,0,13167,3
1,6.7,0,61776,0,449,0,0,0,0,0,64164,0,299,0,0,0,0,0,9,3,13260,3
2,7.1,0,62318,0,407,0,0,0,0,0,64724,0,321,0,0,0,0,0,20,1,13468,3
3,7.5,0,62970,0,457,0,0,0,0,0,64944,0,337,0,0,0,0,0,11,2,13414,3
4,7.9,0,62157,0,442,0,0,0,0,0,64569,0,387,0,0,0,0,0,9,1,13376,3
5,8.3,0,62517,0,454,0,0,0,0,0,65510,0,322,0,0,0,0,0,15,4,13656,3
6,8.7,0,62064,0,452,0,0,0,0,0,64616,0,359,0,0,0,0,0,9,5,13366,3
7,9.1,0,62462,0,461,0,0,0,0,0,65107,0,370,0,0,0,0,0,11,3,13683,3
8,9.5,0,61809,0,507,0,0,0,0,0,64576,0,368,0,0,0,0,0,8,1,12706,3
9,9.9,0,58808,0,451,0,0,0,0,0,60887,0,359,0,0,0,0,0,7,3,6832,3
10,9.95,0,58221,0,470,0,0,0,0,0,60954,0,326,0,0,0,0,0,5,3,5574,3
11,10.0,0,57593,0,479,0,0,0,0,0,59692,0,348,0,0,0,0,0,11,2,4325,3
12,10.05,0,56679,0,449,0,0,0,0,0,59077,0,319,0,0,0,0,0,4,3,3188,3
13,10.1,0,56463,0,496,0,0,0,0,0,59095,0,338,0,0,0,0,0,1,0,2307,3
14,10.15,0,56323,0,480,0,0,0,0,0,58336,0,340,0,0,0,0,0,5,3,1517,3
15,10.2,0,56208,0,455,0,0,0,0,0,58127,0,343,0,0,0,0,0,7,2,884,3
16,10.25,0,55956,0,444,0,0,0,0,0,57530,0,385,0,0,0,0,0,6,2,570,3
17,10.3,0,55805,0,427,0,0,0,0,0,58022,0,332,0,0,0,0,0,1,4,471,3
18,10.35,0,55914,0,446,0,0,0,0,0,58297,0,337,0,0,0,0,0,5,3,713,3
19,10.4,0,56559,0,434,0,0,0,0,0,58906,0,349,0,0,0,0,0,5,1,1152,3
20,10.45,0,56117,0,443,0,0,0,0,0,58594,0,374,0,0,0,0,0,6,2,1856,3
21,10.5,0,56453,0,493,0,0,0,0,0,58644,0,346,0,0,0,0,0,6,1,2529,3
22,10.55,0,57362,0,466,0,0,0,0,0,59994,0,379,0,0,0,0,0,4,1,3830,3
23,10.6,0,57272,0,460,0,0,0,0,0,59975,0,340,0,0,0,0,0,7,2,4774,3
24,10.65,0,57920,0,449,0,0,0,0,0,60894,0,367,0,0,0,0,0,5,1,5855,3
25,10.7,0,58687,0,450,0,0,0,0,0,61152,0,367,0,0,0,0,0,7,0,7039,3
26,10.75,0,59397,0,473,0,0,0,0,0,61885,0,348,0,0,0,0,0,11,1,8118,3
27,11.1,0,61691,0,444,0,0,0,0,0,64275,0,342,0,0,0,0,0,11,1,12548,3
28,11.5,0,62211,0,453,0,0,0,0,0,64979,0,326,0,0,0,0,0,10,3,13468,3
29,11.9,0,61783,0,448,0,0,0,0,0,64700,0,364,0,0,0,0,0,7,0,13289,3
30,12.3,0,61968,0,466,0,0,0,0,0,64903,0,351,0,0,0,0,0,12,3,13266,3
31,12.7,0,61494,0,444,0,0,0,0,0,64642,0,359,0,0,0,0,0,7,1,13060,3
32,13.1,0,61365,0,433,0,0,0,0,0,65109,0,318,0,0,0,0,0,10,4,13311,3
33,13.5,0,62245,0,445,0,0,0,0,0,65069,0,367,0,0,0,0,0,15,2,13389,3
34,13.9,0,62315,0,448,0,0,0,0,0,64917,0,333,0,0,0,0,0,9,2,13342,3
35,14.3,0,61616,0,453,0,0,0,0,0,65016,0,357,0,0,0,0,0,14,1,13221,3
