,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,RT,TR,RR,read_time
0,6.3,0,377,0,118150,0,0,0,0,0,396,0,125014,0,0,0,0,27719,33,35,0,1
1,6.7,0,375,0,118111,0,0,0,0,0,379,0,124766,0,0,0,0,27601,26,43,0,1
2,7.1,0,374,0,119201,0,0,0,0,0,394,0,125097,0,0,0,0,27624,39,33,0,1
3,7.5,0,381,0,117463,0,0,0,0,0,435,0,124411,0,0,0,0,27190,36,44,0,1
4,7.9,0,391,0,118025,0,0,0,0,0,382,0,124394,0,0,0,0,27446,39,41,0,1
5,8.3,0,402,0,118043,0,0,0,0,0,413,0,124810,0,0,0,0,27402,37,44,0,1
6,8.7,0,374,0,118895,0,0,0,0,0,395,0,125128,0,0,0,0,27572,42,41,0,1
7,9.1,0,405,0,119562,0,0,0,0,0,394,0,125646,0,0,0,0,27876,42,48,0,1
8,9.5,0,379,0,117475,0,0,0,0,0,437,0,125175,0,0,0,0,25877,43,42,0,1
9,9.9,0,381,0,111593,0,0,0,0,0,404,0,118035,0,0,0,0,13466,28,41,0,1
10,9.95,0,376,0,110325,0,0,0,0,0,425,0,115521,0,0,0,0,11080,47,35,0,1
11,10.0,0,394,0,109522,0,0,0,0,0,410,0,114436,0,0,0,0,8797,25,39,0,1
12,10.05,0,377,0,108624,0,0,0,0,0,445,0,113751,0,0,0,0,6480,31,44,0,1
13,10.1,0,386,0,106895,0,0,0,0,0,399,0,111787,0,0,0,0,4357,39,46,0,1
14,10.15,0,353,0,106183,0,0,0,0,0,414,0,111281,0,0,0,0,2905,35,31,0,1
15,10.2,0,342,0,105396,0,0,0,0,0,398,0,109815,0,0,0,0,1591,30,52,0,1
16,10.25,0,417,0,105541,0,0,0,0,0,440,0,111274,0,0,0,0,917,39,60,0,1
17,10.3,0,369,0,105165,0,0,0,0,0,394,0,110389,0,0,0,0,736,26,47,0,1
18,10.35,0,355,0,103786,0,0,0,0,0,424,0,109482,0,0,0,0,1210,30,38,0,1
19,10.4,0,363,0,104452,0,0,0,0,0,387,0,109517,0,0,0,0,2088,37,49,0,1
20,10.45,0,376,0,106450,0,0,0,0,0,383,0,111308,0,0,0,0,3491,29,47,0,1
21,10.5,0,409,0,108112,0,0,0,0,0,400,0,113211,0,0,0,0,5196,31,54,0,1
22,10.55,0,437,0,107706,0,0,0,0,0,390,0,112942,0,0,0,0,7132,34,45,0,1
23,10.6,0,378,0,109878,0,0,0,0,0,362,0,114703,0,0,0,0,9172,33,42,0,1
24,10.65,0,369,0,111205,0,0,0,0,0,417,0,116206,0,0,0,0,11902,38,37,0,1
25,10.7,0,356,0,112561,0,0,0,0,0,406,0,117575,0,0,0,0,14162,31,41,0,1
26,10.75,0,363,0,113098,0,0,0,0,0,408,0,119231,0,0,0,0,16196,33,58,0,1
27,11.1,0,375,0,116813,0,0,0,0,0,379,0,123448,0,0,0,0,25563,22,36,0,1
28,11.5,0,362,0,118525,0,0,0,0,0,410,0,124756,0,0,0,0,27255,41,33,0,1
29,11.9,0,372,0,118346,0,0,0,0,0,395,0,125338,0,0,0,0,27295,40,38,0,1
30,12.3,0,368,0,117318,0,0,0,0,0,399,0,124044,0,0,0,0,26865,42,44,0,1
31,12.7,0,362,0,118360,0,0,0,0,0,404,0,124707,0,0,0,0,26970,48,43,0,1
32,13.1,0,382,0,117458,0,0,0,0,0,409,0,124538,0,0,0,0,27045,32,32,1,1
33,13.5,0,352,0,116577,0,0,0,0,0,396,0,124442,0,0,0,0,26924,45,43,0,1
34,13.9,0,395,0,117042,0,0,0,0,0,406,0,124192,0,0,0,0,26532,39,33,0,1
35,14.3,0,371,0,117201,0,0,0,0,0,392,0,123668,0,0,0,0,26961,33,32,0,1
