,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,RT,TR,RR,read_time
0,6.27,0,108139,0,280,0,0,0,0,0,105587,0,158,0,0,0,0,0,24,7,21374,1
1,6.67,0,107836,0,246,0,0,0,0,0,105676,0,138,0,0,0,0,0,24,3,21075,1
2,7.07,0,107971,0,254,0,0,0,0,0,105994,0,164,0,0,0,0,0,25,4,21476,1
3,7.47,0,108858,0,292,0,0,0,0,0,106707,0,150,0,0,0,0,0,23,2,21709,1
4,7.87,0,109247,0,262,0,0,0,0,0,106449,0,133,0,0,0,0,0,28,4,21583,1
5,8.27,0,107898,0,243,0,0,0,0,0,106286,0,149,0,0,0,0,0,21,3,21225,1
6,8.67,0,108595,0,250,0,0,0,0,0,105530,0,137,0,0,0,0,0,20,6,21572,1
7,9.07,0,108761,0,266,0,0,0,0,0,106691,0,138,0,0,0,0,0,25,3,22053,1
8,9.47,0,108132,0,235,0,0,0,0,0,105891,0,150,0,0,0,0,0,26,4,20944,1
9,9.87,0,103295,0,228,0,0,0,0,0,102039,0,156,0,0,0,0,0,13,4,11588,1
10,9.97,0,100935,0,230,0,0,0,0,0,99784,0,154,0,0,0,0,0,13,0,7908,1
11,10.07,0,98761,0,245,0,0,0,0,0,97078,0,146,0,0,0,0,0,15,2,4429,1
12,10.17,0,97390,0,240,0,0,0,0,0,95777,0,133,0,0,0,0,0,7,4,1876,1
13,10.27,0,99112,0,259,0,0,0,0,0,97174,0,158,0,0,0,0,0,7,0,766,1
14,10.37,0,98263,0,250,0,0,0,0,0,97183,0,134,0,0,0,0,0,6,3,1287,1
15,10.47,0,98783,0,252,0,0,0,0,0,97118,0,125,0,0,0,0,0,10,0,3286,1
16,10.57,0,99667,0,236,0,0,0,0,0,98159,0,128,0,0,0,0,0,8,4,6447,1
17,10.67,0,101593,0,245,0,0,0,0,0,100560,0,145,0,0,0,0,0,8,5,9900,1
18,10.77,0,103284,0,242,0,0,0,0,0,101984,0,139,0,0,0,0,0,15,4,13252,1
19,11.07,0,106683,0,248,0,0,0,0,0,104979,0,125,0,0,0,0,0,19,5,19766,1
20,11.47,0,110223,0,264,0,0,0,0,0,108907,0,158,0,0,0,0,0,26,7,21691,1
21,11.87,0,109366,0,249,0,0,0,0,0,108425,0,151,0,0,0,0,0,18,3,21854,1
22,12.27,0,109566,0,278,0,0,0,0,0,108602,0,137,0,0,0,0,0,34,2,21754,1
23,12.67,0,107931,0,254,0,0,0,0,0,105861,0,147,0,0,0,0,0,26,5,21177,1
24,13.07,0,109011,0,246,0,0,0,0,0,107469,0,180,0,0,0,0,0,18,3,21512,1
25,13.47,0,110348,0,252,0,0,0,0,0,108478,0,127,0,0,0,0,0,22,2,21908,1
26,13.87,0,110759,0,248,0,0,0,0,0,109056,0,171,0,0,0,0,0,24,3,21844,1
27,14.27,0,111169,0,250,0,0,0,0,0,109933,0,149,0,0,0,0,0,21,11,22152,1
