,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,RT,TR,RR,read_time
0,6.27,0,4449,0,104998,0,0,0,0,0,3233,0,113706,0,0,0,0,22360,607,754,45,1
1,6.67,0,4384,0,105538,0,0,0,0,0,3201,0,113105,0,0,0,0,22591,576,829,44,1
2,7.07,0,4423,0,105633,0,0,0,0,0,3218,0,114272,0,0,0,0,22698,548,743,31,1
3,7.47,0,4476,0,105957,0,0,0,0,0,3243,0,113236,0,0,0,0,22547,569,832,37,1
4,7.87,0,4550,0,104594,0,0,0,0,0,3204,0,113073,0,0,0,0,22371,554,839,32,1
5,8.27,0,4430,0,105717,0,0,0,0,0,3325,0,112971,0,0,0,0,22500,601,765,41,1
6,8.67,0,4500,0,105155,0,0,0,0,0,3212,0,113829,0,0,0,0,22862,536,823,35,1
7,9.07,0,4502,0,105174,0,0,0,0,0,3274,0,112842,0,0,0,0,22746,563,780,48,1
8,9.47,0,4408,0,105143,0,0,0,0,0,3267,0,113041,0,0,0,0,21541,573,781,44,1
9,9.87,0,4454,0,100623,0,0,0,0,0,3243,0,108143,0,0,0,0,12147,580,664,45,1
10,9.97,0,4468,0,98292,0,0,0,0,0,3298,0,105503,0,0,0,0,8111,608,666,44,1
11,10.07,0,4568,0,96776,0,0,0,0,0,3349,0,103153,0,0,0,0,4670,598,629,44,1
12,10.17,0,4458,0,95241,0,0,0,0,0,3249,0,101843,0,0,0,0,1868,579,628,33,1
13,10.27,0,4344,0,94744,0,0,0,0,0,3247,0,100840,0,0,0,0,627,585,580,34,1
14,10.37,0,4519,0,95609,0,0,0,0,0,3329,0,101595,0,0,0,0,1187,611,609,36,1
15,10.47,0,4454,0,95834,0,0,0,0,0,3130,0,101878,0,0,0,0,3178,575,628,39,1
16,10.57,0,4420,0,97431,0,0,0,0,0,3194,0,104078,0,0,0,0,6725,608,670,39,1
17,10.67,0,4537,0,99637,0,0,0,0,0,3321,0,105430,0,0,0,0,10150,607,674,48,1
18,10.77,0,4429,0,101213,0,0,0,0,0,3164,0,108011,0,0,0,0,13866,604,716,45,1
19,11.07,0,4503,0,104298,0,0,0,0,0,3240,0,111650,0,0,0,0,20698,574,800,35,1
20,11.47,0,4425,0,104515,0,0,0,0,0,3203,0,112722,0,0,0,0,22210,577,731,30,1
21,11.87,0,4491,0,104465,0,0,0,0,0,3216,0,112226,0,0,0,0,22561,552,739,49,1
22,12.27,0,4546,0,104786,0,0,0,0,0,3238,0,112560,0,0,0,0,22383,549,776,37,1
23,12.67,0,4549,0,103848,0,0,0,0,0,3141,0,112162,0,0,0,0,21984,526,812,30,1
24,13.07,0,4544,0,103904,0,0,0,0,0,3199,0,112893,0,0,0,0,22331,519,744,35,1
25,13.47,0,4574,0,104665,0,0,0,0,0,3248,0,113063,0,0,0,0,22254,536,840,32,1
26,13.87,0,4513,0,104890,0,0,0,0,0,3303,0,111900,0,0,0,0,22120,579,779,36,1
27,14.27,0,4409,0,103952,0,0,0,0,0,3378,0,112659,0,0,0,0,22149,547,771,45,1
