,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,RT,TR,RR,read_time
0,6.27,0,194,0,109715,0,0,0,0,0,7122,0,109785,0,0,0,0,22518,1297,4,1,1
1,6.67,0,201,0,108646,0,0,0,0,0,7162,0,109683,0,0,0,0,22579,1294,4,0,1
2,7.07,0,199,0,109782,0,0,0,0,0,7240,0,110385,0,0,0,0,22579,1327,4,0,1
3,7.47,0,194,0,108843,0,0,0,0,0,7101,0,108701,0,0,0,0,22350,1230,3,0,1
4,7.87,0,216,0,109095,0,0,0,0,0,7062,0,109137,0,0,0,0,22264,1305,3,0,1
5,8.27,0,188,0,109572,0,0,0,0,0,6984,0,110138,0,0,0,0,22495,1240,5,0,1
6,8.67,0,179,0,109573,0,0,0,0,0,7182,0,109774,0,0,0,0,22479,1267,3,1,1
7,9.07,0,214,0,109462,0,0,0,0,0,7129,0,109806,0,0,0,0,22522,1302,5,0,1
8,9.47,0,199,0,108371,0,0,0,0,0,7100,0,109562,0,0,0,0,21662,1203,4,1,1
9,9.87,0,191,0,103398,0,0,0,0,0,6971,0,105063,0,0,0,0,12153,676,3,0,1
10,9.97,0,206,0,102281,0,0,0,0,0,7019,0,102807,0,0,0,0,8309,495,2,0,1
11,10.07,0,199,0,100378,0,0,0,0,0,6987,0,100743,0,0,0,0,4532,262,4,0,1
12,10.17,0,203,0,99289,0,0,0,0,0,7086,0,99087,0,0,0,0,2014,102,3,0,1
13,10.27,0,187,0,98281,0,0,0,0,0,6951,0,98095,0,0,0,0,682,19,6,0,1
14,10.37,0,192,0,98321,0,0,0,0,0,7135,0,98949,0,0,0,0,1164,45,4,0,1
15,10.47,0,188,0,99886,0,0,0,0,0,7299,0,99720,0,0,0,0,3267,175,4,0,1
16,10.57,0,195,0,100840,0,0,0,0,0,7156,0,101360,0,0,0,0,6358,341,2,1,1
17,10.67,0,204,0,102613,0,0,0,0,0,7103,0,102835,0,0,0,0,10201,552,2,0,1
18,10.77,0,208,0,105549,0,0,0,0,0,7210,0,104645,0,0,0,0,13811,792,4,0,1
19,11.07,0,215,0,107892,0,0,0,0,0,6995,0,107749,0,0,0,0,20700,1182,7,0,1
20,11.47,0,192,0,108932,0,0,0,0,0,7112,0,109355,0,0,0,0,22170,1290,2,0,1
21,11.87,0,212,0,108134,0,0,0,0,0,6975,0,109002,0,0,0,0,22094,1253,6,1,1
22,12.27,0,224,0,108949,0,0,0,0,0,7032,0,109604,0,0,0,0,22259,1244,4,1,1
23,12.67,0,222,0,108453,0,0,0,0,0,7107,0,109160,0,0,0,0,22129,1213,3,0,1
24,13.07,0,212,0,108658,0,0,0,0,0,7314,0,109041,0,0,0,0,22366,1356,3,1,1
25,13.47,0,210,0,107839,0,0,0,0,0,7175,0,109538,0,0,0,0,22302,1216,8,1,1
26,13.87,0,185,0,108380,0,0,0,0,0,7285,0,109358,0,0,0,0,22040,1347,2,1,1
27,14.27,0,186,0,107597,0,0,0,0,0,7168,0,108735,0,0,0,0,22002,1250,7,0,1
