,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,RT,TR,RR,read_time
0,6.27,0,55245,0,58017,0,0,0,0,0,31454,0,86133,0,0,0,0,8769,2965,8255,2811,1
1,6.67,0,55426,0,58294,0,0,0,0,0,31829,0,85716,0,0,0,0,8811,3103,8329,2833,1
2,7.07,0,55023,0,57838,0,0,0,0,0,31817,0,85444,0,0,0,0,8888,3215,8388,2969,1
3,7.47,0,55642,0,58028,0,0,0,0,0,31778,0,85958,0,0,0,0,8801,3057,8411,2876,1
4,7.87,0,55749,0,57885,0,0,0,0,0,31971,0,85679,0,0,0,0,8719,3053,8233,3071,1
5,8.27,0,55206,0,57974,0,0,0,0,0,31960,0,86189,0,0,0,0,8990,3036,8416,2948,1
6,8.67,0,55719,0,57791,0,0,0,0,0,32036,0,85587,0,0,0,0,8603,3107,8301,2902,1
7,9.07,0,55527,0,58004,0,0,0,0,0,32251,0,85950,0,0,0,0,8675,3155,8346,2970,1
8,9.47,0,54933,0,57796,0,0,0,0,0,31757,0,85562,0,0,0,0,8383,2954,7918,2809,1
9,9.87,0,54180,0,56690,0,0,0,0,0,31200,0,81965,0,0,0,0,4647,1689,4536,1640,1
10,9.97,0,53724,0,55968,0,0,0,0,0,31258,0,81598,0,0,0,0,3183,1079,3064,1094,1
11,10.07,0,54014,0,55684,0,0,0,0,0,31226,0,80232,0,0,0,0,1702,579,1724,700,1
12,10.17,0,52984,0,54862,0,0,0,0,0,31265,0,79514,0,0,0,0,578,241,780,306,1
13,10.27,0,52898,0,55043,0,0,0,0,0,30948,0,78821,0,0,0,0,169,73,324,138,1
14,10.37,0,52835,0,54841,0,0,0,0,0,31311,0,79733,0,0,0,0,411,121,509,233,1
15,10.47,0,53520,0,55237,0,0,0,0,0,31600,0,80047,0,0,0,0,1127,430,1215,445,1
16,10.57,0,53309,0,55264,0,0,0,0,0,31212,0,80062,0,0,0,0,2482,845,2389,891,1
17,10.67,0,53869,0,55615,0,0,0,0,0,31588,0,81454,0,0,0,0,4014,1335,3826,1420,1
18,10.77,0,53850,0,56706,0,0,0,0,0,31692,0,82672,0,0,0,0,5432,1854,5061,1830,1
19,11.07,0,55204,0,57473,0,0,0,0,0,31710,0,84607,0,0,0,0,7935,2923,7806,2712,1
20,11.47,0,55863,0,57724,0,0,0,0,0,31911,0,85765,0,0,0,0,8657,2990,8152,2907,1
21,11.87,0,55300,0,57850,0,0,0,0,0,32077,0,85422,0,0,0,0,8594,3084,8410,2863,1
22,12.27,0,54802,0,57746,0,0,0,0,0,32113,0,85340,0,0,0,0,8809,3096,8175,2892,1
23,12.67,0,55746,0,57327,0,0,0,0,0,31849,0,85850,0,0,0,0,8622,3021,8589,2947,1
24,13.07,0,55816,0,57171,0,0,0,0,0,32152,0,84561,0,0,0,0,8480,3030,8240,2992,1
25,13.47,0,55491,0,57268,0,0,0,0,0,31912,0,84852,0,0,0,0,8481,3063,8157,2945,1
26,13.87,0,55251,0,57236,0,0,0,0,0,31989,0,85399,0,0,0,0,8591,3026,8301,2926,1
27,14.27,0,55209,0,57676,0,0,0,0,0,32274,0,85334,0,0,0,0,8627,3028,8260,2928,1
