,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,RT,TR,RR,read_time
0,6.27,0,108263,0,151,0,0,0,0,0,101463,0,7157,0,0,0,0,1,4,1299,20385,1
1,6.67,0,107653,0,156,0,0,0,0,0,101208,0,6924,0,0,0,0,0,2,1351,20362,1
2,7.07,0,107214,0,166,0,0,0,0,0,101737,0,7099,0,0,0,0,0,3,1235,20427,1
3,7.47,0,107437,0,162,0,0,0,0,0,100884,0,7019,0,0,0,0,0,6,1306,20436,1
4,7.87,0,108597,0,194,0,0,0,0,0,101480,0,7231,0,0,0,0,1,3,1280,20436,1
5,8.27,0,108044,0,152,0,0,0,0,0,101594,0,6962,0,0,0,0,0,6,1236,20593,1
6,8.67,0,108099,0,180,0,0,0,0,0,102352,0,7234,0,0,0,0,0,3,1298,20898,1
7,9.07,0,108653,0,170,0,0,0,0,0,102040,0,7189,0,0,0,0,0,3,1311,20896,1
8,9.47,0,106843,0,194,0,0,0,0,0,101521,0,6962,0,0,0,0,2,5,1230,19469,1
9,9.87,0,103706,0,152,0,0,0,0,0,98141,0,7231,0,0,0,0,0,3,703,11441,1
10,9.97,0,101258,0,172,0,0,0,0,0,95288,0,7033,0,0,0,0,0,5,423,7653,1
11,10.07,0,99186,0,200,0,0,0,0,0,94310,0,7068,0,0,0,0,0,1,253,4419,1
12,10.17,0,98422,0,172,0,0,0,0,0,93616,0,7262,0,0,0,0,0,6,86,1832,1
13,10.27,0,97235,0,168,0,0,0,0,0,93320,0,7335,0,0,0,0,0,2,16,783,1
14,10.37,0,97454,0,175,0,0,0,0,0,93066,0,7106,0,0,0,0,0,8,47,1204,1
15,10.47,0,97867,0,156,0,0,0,0,0,94084,0,6944,0,0,0,0,1,4,187,3050,1
16,10.57,0,99349,0,182,0,0,0,0,0,94798,0,7047,0,0,0,0,1,6,377,5951,1
17,10.67,0,101660,0,172,0,0,0,0,0,96808,0,6972,0,0,0,0,0,1,598,9578,1
18,10.77,0,102618,0,150,0,0,0,0,0,98904,0,7144,0,0,0,0,1,3,835,12716,1
19,11.07,0,107196,0,189,0,0,0,0,0,101820,0,6995,0,0,0,0,1,5,1145,19140,1
20,11.47,0,107259,0,170,0,0,0,0,0,102036,0,7060,0,0,0,0,0,6,1200,20529,1
21,11.87,0,107700,0,164,0,0,0,0,0,102050,0,7002,0,0,0,0,1,1,1246,20669,1
22,12.27,0,108323,0,146,0,0,0,0,0,102381,0,7185,0,0,0,0,1,6,1272,20722,1
23,12.67,0,107580,0,180,0,0,0,0,0,102951,0,7092,0,0,0,0,0,7,1263,20743,1
24,13.07,0,107716,0,155,0,0,0,0,0,102747,0,7072,0,0,0,0,1,4,1312,20535,1
25,13.47,0,107681,0,186,0,0,0,0,0,102504,0,6915,0,0,0,0,2,5,1232,20591,1
26,13.87,0,108078,0,169,0,0,0,0,0,102206,0,7097,0,0,0,0,0,2,1278,20528,1
27,14.27,0,107635,0,163,0,0,0,0,0,103022,0,7198,0,0,0,0,0,5,1264,20592,1
