,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,RT,TR,RR,read_time
0,6.27,0,107320,0,243,0,0,0,0,0,109864,0,155,0,0,0,0,0,19,7,22127,1
1,6.67,0,107370,0,243,0,0,0,0,0,110926,0,152,0,0,0,0,0,16,8,22357,1
2,7.07,0,107300,0,253,0,0,0,0,0,110445,0,130,0,0,0,0,0,15,2,22144,1
3,7.47,0,106970,0,229,0,0,0,0,0,109712,0,172,0,0,0,0,0,10,7,22060,1
4,7.87,0,107394,0,230,0,0,0,0,0,110816,0,158,0,0,0,0,0,24,4,22189,1
5,8.27,0,107204,0,241,0,0,0,0,0,110890,0,150,0,0,0,0,0,12,6,22195,1
6,8.67,0,107278,0,221,0,0,0,0,0,110867,0,138,0,0,0,0,0,23,12,22418,1
7,9.07,0,107404,0,227,0,0,0,0,0,110626,0,135,0,0,0,0,0,22,7,22464,1
8,9.47,0,107125,0,237,0,0,0,0,0,109977,0,143,0,0,0,0,0,18,4,21147,1
9,9.87,0,102244,0,238,0,0,0,0,0,105556,0,161,0,0,0,0,0,10,5,12433,1
10,9.97,0,100483,0,222,0,0,0,0,0,103575,0,154,0,0,0,0,0,7,5,8459,1
11,10.07,0,98715,0,246,0,0,0,0,0,101886,0,151,0,0,0,0,0,11,6,4911,1
12,10.17,0,97606,0,210,0,0,0,0,0,100389,0,164,0,0,0,0,0,5,3,2228,1
13,10.27,0,96320,0,261,0,0,0,0,0,99794,0,147,0,0,0,0,0,6,6,954,1
14,10.37,0,96792,0,236,0,0,0,0,0,100071,0,168,0,0,0,0,0,9,4,1420,1
15,10.47,0,97620,0,220,0,0,0,0,0,101497,0,148,0,0,0,0,0,10,5,3571,1
16,10.57,0,99004,0,249,0,0,0,0,0,102577,0,153,0,0,0,0,0,13,1,6531,1
17,10.67,0,101472,0,227,0,0,0,0,0,104964,0,148,0,0,0,0,0,6,5,10314,1
18,10.77,0,102657,0,228,0,0,0,0,0,106555,0,156,0,0,0,0,0,15,2,13809,1
19,11.07,0,106189,0,243,0,0,0,0,0,110183,0,145,0,0,0,0,0,10,6,20659,1
20,11.47,0,107292,0,205,0,0,0,0,0,111184,0,153,0,0,0,0,0,14,6,22445,1
21,11.87,0,107168,0,244,0,0,0,0,0,111577,0,145,0,0,0,0,0,12,8,22287,1
22,12.27,0,107870,0,237,0,0,0,0,0,110624,0,140,0,0,0,0,0,15,6,22358,1
23,12.67,0,107379,0,217,0,0,0,0,0,111336,0,169,0,0,0,0,0,18,5,22411,1
24,13.07,0,106546,0,259,0,0,0,0,0,111231,0,167,0,0,0,0,0,23,3,22276,1
25,13.47,0,106057,0,228,0,0,0,0,0,110875,0,147,0,0,0,0,0,17,6,22129,1
26,13.87,0,106967,0,212,0,0,0,0,0,111318,0,132,0,0,0,0,0,16,4,22412,1
27,14.27,0,107007,0,251,0,0,0,0,0,111127,0,158,0,0,0,0,0,15,1,22450,1
