,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,RT,TR,RR,read_time
0,6.3,29220,1068,0,33825,0,0,1790,0,27661,599,602,29883,0,0,0,0,2490,2,0,0,5
1,6.7,28805,1063,0,33847,0,0,1915,0,27206,635,618,29552,0,0,0,0,2600,1,3,0,5
2,7.1,28623,1110,0,33515,0,0,1873,0,27196,588,604,29474,0,0,0,0,2489,4,4,0,5
3,7.5,28789,1132,0,33469,0,0,1815,0,27161,637,678,29711,0,0,0,0,2551,2,1,0,5
4,7.9,28742,1093,0,33834,0,0,1869,0,27294,640,606,29628,0,0,0,0,2595,3,1,0,5
5,8.3,28705,1144,0,33578,0,0,1909,0,27393,649,686,29579,0,0,0,0,2490,4,4,0,5
6,8.7,29156,1066,0,33781,0,0,1908,0,27199,647,645,30015,0,0,0,0,2494,4,2,0,5
7,9.1,28787,1086,0,33634,0,0,1869,0,27420,639,704,29444,0,0,0,0,2447,2,1,0,5
8,9.5,28985,1127,0,33906,0,0,1873,0,27387,556,622,29585,0,0,0,0,2468,2,0,0,5
9,9.9,27888,1036,0,32952,0,0,1911,0,27023,617,637,28812,0,0,0,0,1259,1,1,0,5
10,9.95,28244,1106,0,32466,0,0,1880,0,26594,663,549,29053,0,0,0,0,1069,0,1,0,5
11,10.0,28451,1090,0,32681,0,0,1906,0,26848,641,604,29145,0,0,0,0,851,1,1,0,5
12,10.05,28080,1095,0,32944,0,0,1857,0,26701,622,663,28840,0,0,0,0,605,2,1,0,5
13,10.1,27971,1116,0,32416,0,0,1882,0,26617,619,600,28314,0,0,0,0,449,0,0,0,5
14,10.15,27710,1110,0,32373,0,0,1864,0,26505,609,621,28472,0,0,0,0,284,0,1,0,5
15,10.2,28060,1097,0,32413,0,0,1886,0,26509,637,626,28441,0,0,0,0,207,1,1,0,5
16,10.25,27967,1050,0,32153,0,0,1824,0,26629,634,645,28491,0,0,0,0,108,1,0,0,5
17,10.3,27693,1064,0,32074,0,0,1842,0,26463,593,604,28645,0,0,0,0,70,0,0,0,5
18,10.35,28218,1130,0,32270,0,0,1753,0,26448,608,651,28805,0,0,0,0,79,0,1,0,5
19,10.4,28162,1089,0,32301,0,0,1854,0,26310,626,580,28559,0,0,0,0,134,3,2,0,5
20,10.45,27785,1073,0,32299,0,0,1804,0,26708,637,635,28545,0,0,0,0,234,0,0,0,5
21,10.5,28103,1152,0,32540,0,0,1858,0,26700,626,643,28441,0,0,0,0,326,0,1,0,5
22,10.55,28234,1050,0,32799,0,0,1792,0,26626,627,652,28768,0,0,0,0,558,0,1,0,5
23,10.6,28188,1078,0,32960,0,0,1837,0,26913,651,666,28557,0,0,0,0,708,4,1,0,5
24,10.65,28187,1077,0,32745,0,0,1893,0,26825,616,571,28622,0,0,0,0,850,1,3,0,5
25,10.7,28268,1093,0,32525,0,0,1837,0,26920,627,637,28988,0,0,0,0,1079,1,0,0,5
26,10.75,28065,1144,0,32940,0,0,1972,0,26989,667,607,28921,0,0,0,0,1260,0,0,0,5
27,11.1,28955,1132,0,33189,0,0,1906,0,27191,617,629,29327,0,0,0,0,2267,3,0,0,5
28,11.5,28785,1086,0,33655,0,0,1845,0,27416,680,581,29296,0,0,0,0,2441,5,0,0,5
29,11.9,28735,1120,0,33670,0,0,1840,0,27148,609,630,29364,0,0,0,0,2533,3,0,0,5
30,12.3,28500,1116,0,33357,0,0,1817,0,27240,684,654,29277,0,0,0,0,2467,1,1,0,5
31,12.7,28478,1106,0,33391,0,0,1929,0,27055,632,623,29035,0,0,0,0,2478,1,2,0,5
32,13.1,28558,1105,0,32906,0,0,1846,0,27068,662,611,29183,0,0,0,0,2489,1,0,0,5
33,13.5,28723,1078,0,33413,0,0,1871,0,27242,617,619,29232,0,0,0,0,2449,2,1,0,5
34,13.9,28863,1114,0,33138,0,0,1919,0,26942,621,591,29153,0,0,0,0,2366,1,2,0,5
35,14.3,28788,1089,0,33098,0,0,1904,0,27044,676,621,29321,0,0,0,0,2501,0,0,0,5
