,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,RT,TR,RR,read_time
0,6.27,0,302,0,122598,0,0,0,0,0,286,0,128894,0,0,0,0,28349,18,24,0,1
1,6.67,0,291,0,121783,0,0,0,0,0,286,0,129405,0,0,0,0,28264,25,24,0,1
2,7.07,0,285,0,121603,0,0,0,0,0,316,0,129319,0,0,0,0,28177,21,22,0,1
3,7.47,0,326,0,121389,0,0,0,0,0,302,0,129976,0,0,0,0,27948,20,19,0,1
4,7.87,0,297,0,122076,0,0,0,0,0,282,0,130375,0,0,0,0,28125,19,15,0,1
5,8.27,0,338,0,121568,0,0,0,0,0,254,0,129142,0,0,0,0,28224,23,23,0,1
6,8.67,0,292,0,122123,0,0,0,0,0,285,0,130110,0,0,0,0,28400,17,25,0,1
7,9.07,0,280,0,122445,0,0,0,0,0,299,0,129374,0,0,0,0,28584,10,24,0,1
8,9.47,0,309,0,121434,0,0,0,0,0,277,0,128321,0,0,0,0,27134,19,18,0,1
9,9.87,0,293,0,115836,0,0,0,0,0,305,0,123416,0,0,0,0,15696,11,15,0,1
10,9.97,0,282,0,112322,0,0,0,0,0,318,0,120304,0,0,0,0,10748,13,12,0,1
11,10.07,0,314,0,111307,0,0,0,0,0,293,0,117441,0,0,0,0,5988,9,16,0,1
12,10.17,0,298,0,109871,0,0,0,0,0,289,0,114985,0,0,0,0,2438,6,6,0,1
13,10.27,0,315,0,108929,0,0,0,0,0,288,0,114421,0,0,0,0,800,5,9,0,1
14,10.37,0,315,0,108751,0,0,0,0,0,269,0,114410,0,0,0,0,1335,4,5,0,1
15,10.47,0,306,0,110528,0,0,0,0,0,315,0,115677,0,0,0,0,3911,12,13,0,1
16,10.57,0,333,0,112231,0,0,0,0,0,309,0,118106,0,0,0,0,7911,9,8,0,1
17,10.67,0,312,0,114180,0,0,0,0,0,257,0,120277,0,0,0,0,12574,10,16,0,1
18,10.77,0,297,0,116751,0,0,0,0,0,318,0,122520,0,0,0,0,17027,15,14,0,1
19,11.07,0,319,0,120654,0,0,0,0,0,277,0,128485,0,0,0,0,25698,17,26,0,1
20,11.47,0,323,0,121350,0,0,0,0,0,282,0,129231,0,0,0,0,27742,23,24,0,1
21,11.87,0,308,0,120945,0,0,0,0,0,292,0,128800,0,0,0,0,27745,24,24,0,1
22,12.27,0,351,0,121291,0,0,0,0,0,268,0,129322,0,0,0,0,27828,19,26,0,1
23,12.67,0,294,0,120302,0,0,0,0,0,301,0,128788,0,0,0,0,27643,17,19,0,1
24,13.07,0,307,0,120361,0,0,0,0,0,287,0,128561,0,0,0,0,27361,17,23,0,1
25,13.47,0,303,0,120036,0,0,0,0,0,289,0,128375,0,0,0,0,27614,16,19,0,1
26,13.87,0,288,0,120242,0,0,0,0,0,281,0,127952,0,0,0,0,27704,19,18,0,1
27,14.27,0,302,0,120496,0,0,0,0,0,308,0,126974,0,0,0,0,27673,18,18,0,1
