,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
0,8.0,0,0,0,448084,0,0,0,0,0,0,0,471024,0,0,0,0,120858,2
1,8.1,0,0,0,446941,0,0,0,0,0,0,0,471446,0,0,0,0,120180,2
2,8.2,0,0,0,443562,0,0,0,0,0,0,0,474557,0,0,0,0,121133,2
3,8.3,0,0,0,445736,0,0,0,0,0,0,0,470940,0,0,0,0,121094,2
4,8.4,0,0,0,444300,0,0,0,0,0,0,0,470939,0,0,0,0,120619,2
5,8.5,0,0,0,446059,0,0,0,0,0,0,0,472301,0,0,0,0,121862,2
6,8.6,0,0,0,442880,0,0,0,0,0,0,0,472240,0,0,0,0,120143,2
7,8.7,0,0,0,446891,0,0,0,0,0,0,0,471128,0,0,0,0,121130,2
8,8.8,0,0,0,445824,0,0,0,0,0,0,0,469381,0,0,0,0,119981,2
9,8.9,0,0,0,448374,0,0,0,0,0,0,0,468630,0,0,0,0,120699,2
10,9.0,0,0,0,447809,0,0,0,0,0,0,0,468130,0,0,0,0,118687,2
11,9.1,0,0,0,440503,0,0,0,0,0,0,0,470321,0,0,0,0,116058,2
12,9.2,0,0,0,435646,0,0,0,0,0,0,0,468149,0,0,0,0,110257,2
13,9.3,0,0,0,437819,0,0,0,0,0,0,0,461059,0,0,0,0,102921,2
14,9.4,0,0,0,429365,0,0,0,0,0,0,0,459284,0,0,0,0,91257,2
15,9.5,0,0,0,425881,0,0,0,0,0,0,0,446387,0,0,0,0,76541,2
16,9.6,0,0,0,416016,0,0,0,0,0,0,0,440046,0,0,0,0,60136,2
17,9.7,0,0,0,407523,0,0,0,0,0,0,0,430145,0,0,0,0,42720,2
18,9.8,0,0,0,400354,0,0,0,0,0,0,0,422720,0,0,0,0,27889,2
19,9.9,0,0,0,396018,0,0,0,0,0,0,0,417683,0,0,0,0,17090,2
20,10.0,0,0,0,394673,0,0,0,0,0,0,0,414034,0,0,0,0,12140,2
21,10.1,0,0,0,397086,0,0,0,0,0,0,0,413720,0,0,0,0,14677,2
22,10.2,0,0,0,401669,0,0,0,0,0,0,0,419782,0,0,0,0,23627,2
23,10.3,0,0,0,409807,0,0,0,0,0,0,0,426310,0,0,0,0,38584,2
24,10.4,0,0,0,417276,0,0,0,0,0,0,0,436734,0,0,0,0,55210,2
25,10.5,0,0,0,424727,0,0,0,0,0,0,0,444456,0,0,0,0,72319,2
26,10.6,0,0,0,430942,0,0,0,0,0,0,0,451259,0,0,0,0,87381,2
27,10.7,0,0,0,437920,0,0,0,0,0,0,0,459513,0,0,0,0,99851,2
28,10.8,0,0,0,441403,0,0,0,0,0,0,0,463015,0,0,0,0,108422,2
29,10.9,0,0,0,444328,0,0,0,0,0,0,0,464962,0,0,0,0,114318,2
30,11.0,0,0,0,446790,0,0,0,0,0,0,0,467899,0,0,0,0,117776,2
31,11.1,0,0,0,446356,0,0,0,0,0,0,0,468724,0,0,0,0,119426,2
32,11.2,0,0,0,448577,0,0,0,0,0,0,0,469670,0,0,0,0,121066,2
33,11.3,0,0,0,447906,0,0,0,0,0,0,0,469770,0,0,0,0,120946,2
34,11.4,0,0,0,448398,0,0,0,0,0,0,0,469650,0,0,0,0,121321,2
35,11.5,0,0,0,448988,0,0,0,0,0,0,0,469873,0,0,0,0,121444,2
36,11.6,0,0,0,449311,0,0,0,0,0,0,0,469783,0,0,0,0,121469,2
37,11.7,0,0,0,448993,0,0,0,0,0,0,0,469551,0,0,0,0,121148,2
38,11.8,0,0,0,448650,0,0,0,0,0,0,0,468687,0,0,0,0,120813,2
39,11.9,0,0,0,448805,0,0,0,0,0,0,0,469436,0,0,0,0,121224,2
