,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
0,8.0,0,0,0,447400,0,0,0,0,0,0,0,475469,0,0,0,0,112947,2
1,8.1,0,0,0,452920,0,0,0,0,0,0,0,471364,0,0,0,0,114180,2
2,8.2,0,0,0,447508,0,0,0,0,0,0,0,476988,0,0,0,0,113710,2
3,8.3,0,0,0,445428,0,0,0,0,0,0,0,478843,0,0,0,0,114196,2
4,8.4,0,0,0,452605,0,0,0,0,0,0,0,472821,0,0,0,0,114159,2
5,8.5,0,0,0,449031,0,0,0,0,0,0,0,474051,0,0,0,0,113509,2
6,8.6,0,0,0,446180,0,0,0,0,0,0,0,477042,0,0,0,0,113393,2
7,8.7,0,0,0,448823,0,0,0,0,0,0,0,478592,0,0,0,0,113984,2
8,8.8,0,0,0,447401,0,0,0,0,0,0,0,474952,0,0,0,0,112468,2
9,8.9,0,0,0,448599,0,0,0,0,0,0,0,471827,0,0,0,0,112430,2
10,9.0,0,0,0,449141,0,0,0,0,0,0,0,473372,0,0,0,0,112227,2
11,9.1,0,0,0,447274,0,0,0,0,0,0,0,473101,0,0,0,0,109036,2
12,9.2,0,0,0,444600,0,0,0,0,0,0,0,469069,0,0,0,0,103096,2
13,9.3,0,0,0,442148,0,0,0,0,0,0,0,466366,0,0,0,0,96276,2
14,9.4,0,0,0,434872,0,0,0,0,0,0,0,460826,0,0,0,0,83705,2
15,9.5,0,0,0,429271,0,0,0,0,0,0,0,453487,0,0,0,0,69458,2
16,9.6,0,0,0,419918,0,0,0,0,0,0,0,444698,0,0,0,0,52312,2
17,9.7,0,0,0,413560,0,0,0,0,0,0,0,434478,0,0,0,0,35290,2
18,9.8,0,0,0,405722,0,0,0,0,0,0,0,425932,0,0,0,0,19529,2
19,9.9,0,0,0,401721,0,0,0,0,0,0,0,420485,0,0,0,0,10009,2
20,10.0,0,0,0,399215,0,0,0,0,0,0,0,417638,0,0,0,0,6046,2
21,10.1,0,0,0,399894,0,0,0,0,0,0,0,419308,0,0,0,0,9687,2
22,10.2,0,0,0,405554,0,0,0,0,0,0,0,425348,0,0,0,0,19422,2
23,10.3,0,0,0,413522,0,0,0,0,0,0,0,433700,0,0,0,0,33987,2
24,10.4,0,0,0,421946,0,0,0,0,0,0,0,442825,0,0,0,0,50399,2
25,10.5,0,0,0,428759,0,0,0,0,0,0,0,448749,0,0,0,0,66847,2
26,10.6,0,0,0,436274,0,0,0,0,0,0,0,458792,0,0,0,0,82216,2
27,10.7,0,0,0,442771,0,0,0,0,0,0,0,463258,0,0,0,0,93338,2
28,10.8,0,0,0,445644,0,0,0,0,0,0,0,469407,0,0,0,0,102224,2
29,10.9,0,0,0,448795,0,0,0,0,0,0,0,472557,0,0,0,0,107965,2
30,11.0,0,0,0,449270,0,0,0,0,0,0,0,472412,0,0,0,0,111080,2
31,11.1,0,0,0,449993,0,0,0,0,0,0,0,474204,0,0,0,0,112357,2
32,11.2,0,0,0,452002,0,0,0,0,0,0,0,475163,0,0,0,0,114363,2
33,11.3,0,0,0,451846,0,0,0,0,0,0,0,473429,0,0,0,0,113935,2
34,11.4,0,0,0,452810,0,0,0,0,0,0,0,471976,0,0,0,0,113742,2
35,11.5,0,0,0,450726,0,0,0,0,0,0,0,472039,0,0,0,0,112859,2
36,11.6,0,0,0,451638,0,0,0,0,0,0,0,471485,0,0,0,0,113513,2
37,11.7,0,0,0,453243,0,0,0,0,0,0,0,472672,0,0,0,0,114076,2
38,11.8,0,0,0,450870,0,0,0,0,0,0,0,472727,0,0,0,0,113518,2
39,11.9,0,0,0,452237,0,0,0,0,0,0,0,474027,0,0,0,0,113856,2
