,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
0,5.94,0,11919,0,60527,0,0,0,0,0,17746,0,62041,0,0,0,0,8886,2
1,6.34,0,11596,0,60408,0,0,0,0,0,17866,0,62394,0,0,0,0,8855,2
2,6.74,0,11788,0,60662,0,0,0,0,0,17842,0,61981,0,0,0,0,8987,2
3,7.14,0,11917,0,63208,0,0,0,0,0,17928,0,62281,0,0,0,0,8990,2
4,7.54,0,12030,0,66390,0,0,0,0,0,18545,0,62181,0,0,0,0,8900,2
5,7.94,0,12411,0,67191,0,0,0,0,0,18573,0,62713,0,0,0,0,9063,2
6,8.34,0,11976,0,61220,0,0,0,0,0,17922,0,62117,0,0,0,0,9161,2
7,8.74,0,11738,0,61267,0,0,0,0,0,18092,0,61954,0,0,0,0,9294,2
8,9.14,0,11946,0,61236,0,0,0,0,0,17697,0,61991,0,0,0,0,8675,2
9,9.54,0,11863,0,59374,0,0,0,0,0,18067,0,60093,0,0,0,0,4832,2
10,9.59,0,11865,0,59172,0,0,0,0,0,17998,0,59951,0,0,0,0,4067,2
11,9.64,0,11747,0,59269,0,0,0,0,0,18180,0,59635,0,0,0,0,3251,2
12,9.69,0,11784,0,58474,0,0,0,0,0,18234,0,59285,0,0,0,0,2568,2
13,9.74,0,12063,0,58404,0,0,0,0,0,18194,0,58791,0,0,0,0,1849,2
14,9.79,0,12039,0,58002,0,0,0,0,0,17935,0,58364,0,0,0,0,1352,2
15,9.84,0,11828,0,57911,0,0,0,0,0,18109,0,58080,0,0,0,0,812,2
16,9.89,0,12042,0,57583,0,0,0,0,0,18246,0,57842,0,0,0,0,548,2
17,9.94,0,12165,0,58297,0,0,0,0,0,18246,0,58039,0,0,0,0,374,2
18,9.99,0,12021,0,58959,0,0,0,0,0,18570,0,57810,0,0,0,0,399,2
19,10.04,0,12062,0,59722,0,0,0,0,0,18249,0,58496,0,0,0,0,629,2
20,10.09,0,12266,0,59837,0,0,0,0,0,18463,0,58500,0,0,0,0,950,2
21,10.14,0,11865,0,57938,0,0,0,0,0,18042,0,58162,0,0,0,0,1480,2
22,10.19,0,11748,0,57713,0,0,0,0,0,17788,0,58479,0,0,0,0,2051,2
23,10.24,0,11740,0,58312,0,0,0,0,0,17956,0,59261,0,0,0,0,2837,2
24,10.29,0,11792,0,58807,0,0,0,0,0,17891,0,59525,0,0,0,0,3519,2
25,10.34,0,11695,0,59204,0,0,0,0,0,18113,0,59690,0,0,0,0,4258,2
26,10.39,0,11811,0,59683,0,0,0,0,0,17922,0,60365,0,0,0,0,5078,2
27,10.74,0,11993,0,61168,0,0,0,0,0,17917,0,62316,0,0,0,0,8498,2
28,11.14,0,11993,0,61713,0,0,0,0,0,17889,0,62073,0,0,0,0,9093,2
29,11.54,0,11888,0,61689,0,0,0,0,0,18037,0,62629,0,0,0,0,9294,2
30,11.94,0,11767,0,61921,0,0,0,0,0,18045,0,62534,0,0,0,0,9272,2
31,12.34,0,11864,0,61854,0,0,0,0,0,18051,0,62478,0,0,0,0,9301,2
32,12.74,0,11684,0,61633,0,0,0,0,0,17999,0,62555,0,0,0,0,9240,2
33,13.14,0,12003,0,61913,0,0,0,0,0,18256,0,62633,0,0,0,0,9237,2
34,13.54,0,11810,0,61490,0,0,0,0,0,18244,0,62023,0,0,0,0,9139,2
35,13.94,0,12012,0,61715,0,0,0,0,0,17914,0,61957,0,0,0,0,9119,2
