,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
0,6.27,0,348,0,98933,0,0,0,0,0,368,0,105288,0,0,0,0,21870,1
1,6.67,0,287,0,99581,0,0,0,0,0,356,0,106277,0,0,0,0,22279,1
2,7.07,0,347,0,98935,0,0,0,0,0,321,0,105488,0,0,0,0,21905,1
3,7.47,0,311,0,99821,0,0,0,0,0,376,0,106366,0,0,0,0,22297,1
4,7.87,0,317,0,99394,0,0,0,0,0,295,0,105798,0,0,0,0,22022,1
5,8.27,0,295,0,99382,0,0,0,0,0,357,0,105492,0,0,0,0,22176,1
6,8.67,0,320,0,99813,0,0,0,0,0,352,0,105362,0,0,0,0,21999,1
7,9.07,0,311,0,99856,0,0,0,0,0,357,0,106304,0,0,0,0,22438,1
8,9.47,0,347,0,99333,0,0,0,0,0,333,0,105244,0,0,0,0,21255,1
9,9.87,0,326,0,94148,0,0,0,0,0,361,0,99233,0,0,0,0,11110,1
10,9.97,0,311,0,92142,0,0,0,0,0,384,0,97366,0,0,0,0,7407,1
11,10.07,0,307,0,91749,0,0,0,0,0,347,0,95802,0,0,0,0,3993,1
12,10.17,0,330,0,90199,0,0,0,0,0,345,0,94928,0,0,0,0,1525,1
13,10.27,0,313,0,89798,0,0,0,0,0,368,0,94507,0,0,0,0,439,1
14,10.37,0,295,0,89647,0,0,0,0,0,348,0,94154,0,0,0,0,1052,1
15,10.47,0,279,0,90454,0,0,0,0,0,385,0,95018,0,0,0,0,3350,1
16,10.57,0,309,0,91972,0,0,0,0,0,355,0,96577,0,0,0,0,6650,1
17,10.67,0,350,0,93941,0,0,0,0,0,402,0,99250,0,0,0,0,10463,1
18,10.77,0,324,0,96292,0,0,0,0,0,345,0,100448,0,0,0,0,13988,1
19,11.07,0,337,0,98791,0,0,0,0,0,345,0,104248,0,0,0,0,20362,1
20,11.47,0,343,0,98991,0,0,0,0,0,364,0,105099,0,0,0,0,21876,1
21,11.87,0,330,0,99006,0,0,0,0,0,370,0,105149,0,0,0,0,21705,1
22,12.27,0,330,0,99857,0,0,0,0,0,320,0,105227,0,0,0,0,22048,1
23,12.67,0,349,0,99084,0,0,0,0,0,364,0,105022,0,0,0,0,21787,1
24,13.07,0,308,0,98695,0,0,0,0,0,346,0,104885,0,0,0,0,21635,1
25,13.47,0,306,0,98043,0,0,0,0,0,366,0,103866,0,0,0,0,21425,1
26,13.87,0,329,0,99134,0,0,0,0,0,362,0,104740,0,0,0,0,21917,1
27,14.27,0,328,0,98695,0,0,0,0,0,336,0,104944,0,0,0,0,21746,1
