data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-05-30--19h-05m-11s,1.0,0.0,37.0,1.0,39.0,,2.819951692240864,0.7853981633974483
2025-05-30--19h-05m-11s,0.0,0.0,39.0,0.0,39.0,,3.141592653589793,
2025-05-30--19h-05m-11s,0.0,0.0,39.0,0.5,39.5,,2.982312877833773,0.0
2025-05-30--19h-05m-11s,0.0,0.0,40.0,0.0,40.0,,3.141592653589793,
2025-05-30--19h-05m-11s,0.0,0.0,38.0,1.0,39.0,,2.914650554585266,0.0
2025-05-30--19h-05m-11s,0.0,0.0,38.0,1.5,39.5,,2.8651238718347276,0.0
2025-05-30--19h-05m-11s,0.5,0.0,39.0,0.0,39.5,,2.982312877833773,1.5707963267948966
2025-05-30--19h-05m-11s,0.5,0.0,39.0,0.5,40.0,,2.917517368287974,0.7853981633974483
2025-05-30--19h-05m-11s,0.0,0.0,40.0,0.5,40.5,,2.984295701251545,0.0
2025-05-30--19h-05m-11s,2.0,0.0,36.0,1.5,39.5,,2.7174512276764275,0.857071947850131
2025-05-30--19h-05m-11s,0.5,0.0,38.0,0.5,39.0,,2.914650554585266,0.7853981633974483
2025-05-30--19h-05m-11s,1.5,0.0,37.0,0.5,39.0,,2.819951692240864,1.0471975511965976
2025-05-30--19h-05m-11s,1.5,0.0,38.0,1.0,40.5,,2.7883954659177275,0.8860771237926136
2025-05-30--19h-05m-11s,1.0,0.0,38.0,0.0,39.0,,2.914650554585266,1.5707963267948966
2025-05-30--19h-05m-11s,1.5,0.0,37.0,1.0,39.5,,2.7839048853000614,0.8860771237926136
2025-05-30--19h-05m-11s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-05-30--19h-05m-11s,0.5,0.0,39.0,1.5,41.0,,2.8279612829009917,0.5235987755982988
2025-05-30--19h-05m-11s,3.0,0.0,36.0,0.0,39.0,,2.746801533890032,1.5707963267948966
2025-05-30--19h-05m-11s,1.0,0.0,38.0,0.0,39.0,,2.914650554585266,1.5707963267948966
2025-05-30--19h-05m-11s,0.0,0.0,40.0,0.0,40.0,,3.141592653589793,
2025-05-30--19h-05m-11s,1.5,0.0,38.0,0.5,40.0,,2.824032224298272,1.0471975511965976
2025-05-30--19h-05m-11s,1.0,0.0,38.0,0.5,39.5,,2.8651238718347276,0.9553166181245093
2025-05-30--19h-05m-11s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-05-30--19h-05m-11s,1.0,0.0,38.0,0.0,39.0,,2.914650554585266,1.5707963267948966
2025-05-30--19h-05m-11s,1.0,0.0,39.0,0.5,40.5,,2.8685800312651826,0.9553166181245093
2025-05-30--19h-05m-11s,1.0,0.0,39.0,0.5,40.5,,2.8685800312651826,0.9553166181245093
2025-05-30--19h-05m-11s,0.0,0.0,39.0,0.5,39.5,,2.982312877833773,0.0
2025-05-30--19h-05m-11s,0.5,0.0,40.0,0.0,40.5,,2.984295701251545,1.5707963267948966
2025-05-30--19h-05m-11s,2.5,0.0,38.0,0.0,40.5,,2.7883954659177275,1.5707963267948966
2025-05-30--19h-05m-11s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-05-30--19h-05m-11s,0.5,0.0,39.0,0.0,39.5,,2.982312877833773,1.5707963267948966
2025-05-30--19h-05m-11s,1.0,0.0,39.0,1.0,41.0,,2.8279612829009917,0.7853981633974483
2025-05-30--19h-05m-11s,1.0,0.0,37.0,1.0,39.0,,2.819951692240864,0.7853981633974483
2025-05-30--19h-05m-11s,0.0,0.0,40.0,0.0,40.0,,3.141592653589793,
2025-05-30--19h-05m-11s,0.0,0.0,39.0,0.0,39.0,,3.141592653589793,
2025-05-30--19h-05m-11s,0.5,0.0,40.0,0.0,40.5,,2.984295701251545,1.5707963267948966
2025-05-30--19h-05m-11s,2.0,0.0,38.0,0.0,40.0,,2.824032224298272,1.5707963267948966
2025-05-30--19h-05m-11s,0.0,0.0,41.0,0.0,41.0,,3.141592653589793,
2025-05-30--19h-05m-11s,0.0,0.0,40.0,1.0,41.0,,2.920278211242002,0.0
2025-05-30--19h-05m-11s,0.5,0.0,40.0,0.0,40.5,,2.984295701251545,1.5707963267948966
2025-05-30--19h-05m-11s,1.0,0.0,40.0,0.0,41.0,,2.920278211242002,1.5707963267948966
2025-05-30--19h-05m-11s,0.5,0.0,39.0,1.0,40.5,,2.8685800312651826,0.6154797086703874
2025-05-30--19h-05m-11s,0.5,0.0,40.0,0.5,41.0,,2.920278211242002,0.7853981633974483
2025-05-30--19h-05m-11s,0.0,0.0,39.0,0.5,39.5,,2.982312877833773,0.0
2025-05-30--19h-05m-11s,1.5,0.0,37.0,1.5,40.0,,2.7518319207923185,0.7853981633974483
2025-05-30--19h-05m-11s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-05-30--19h-05m-11s,1.0,0.0,39.0,0.5,40.5,,2.8685800312651826,0.9553166181245093
2025-05-30--19h-05m-11s,1.5,0.0,39.0,0.5,41.0,,2.8279612829009917,1.0471975511965976
2025-05-30--19h-05m-11s,0.5,0.0,39.0,0.0,39.5,,2.982312877833773,1.5707963267948966
2025-05-30--19h-05m-11s,1.5,0.0,39.0,0.0,40.5,,2.8685800312651826,1.5707963267948966
2025-05-30--19h-05m-11s,0.5,0.0,39.0,0.0,39.5,,2.982312877833773,1.5707963267948966
2025-05-30--19h-05m-11s,0.5,0.0,39.0,0.0,39.5,,2.982312877833773,1.5707963267948966
2025-05-30--19h-05m-11s,0.0,0.0,40.0,0.0,40.0,,3.141592653589793,
2025-05-30--19h-05m-11s,0.5,0.0,38.0,1.0,39.5,,2.8651238718347276,0.6154797086703874
2025-05-30--19h-05m-11s,0.0,0.0,39.0,0.0,39.0,,3.141592653589793,
2025-05-30--19h-05m-11s,0.0,0.0,40.0,0.5,40.5,,2.984295701251545,0.0
2025-05-30--19h-05m-11s,0.5,0.0,39.0,0.5,40.0,,2.917517368287974,0.7853981633974483
2025-05-30--19h-05m-11s,1.5,0.0,38.0,1.0,40.5,,2.7883954659177275,0.8860771237926136
2025-05-30--19h-05m-11s,0.5,0.0,39.0,0.5,40.0,,2.917517368287974,0.7853981633974483
2025-05-30--19h-05m-11s,0.5,0.0,38.0,1.0,39.5,,2.8651238718347276,0.6154797086703874
2025-05-30--19h-05m-11s,0.0,0.0,39.0,0.0,39.0,,3.141592653589793,
2025-05-30--19h-05m-11s,1.0,0.0,38.0,0.5,39.5,,2.8651238718347276,0.9553166181245093
2025-05-30--19h-05m-11s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-05-30--19h-05m-11s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-05-30--19h-05m-11s,0.5,0.0,38.0,1.0,39.5,,2.8651238718347276,0.6154797086703874
2025-05-30--19h-05m-11s,1.5,0.0,38.0,0.5,40.0,,2.824032224298272,1.0471975511965976
2025-05-30--19h-05m-11s,0.0,0.0,38.0,1.5,39.5,,2.8651238718347276,0.0
2025-05-30--19h-05m-11s,0.5,0.0,40.0,0.0,40.5,,2.984295701251545,1.5707963267948966
2025-05-30--19h-05m-11s,0.5,0.0,39.0,0.5,40.0,,2.917517368287974,0.7853981633974483
2025-05-30--19h-05m-11s,1.0,0.0,40.0,0.0,41.0,,2.920278211242002,1.5707963267948966
