data_dir,C,DB_H,DB_V,SB,N
2025-05-30--20h-47m-21s,35.5,59.0,32.0,34.0,160.5
2025-05-30--20h-47m-21s,39.0,38.0,43.0,39.5,159.5
2025-05-30--20h-47m-21s,41.5,43.0,36.0,39.5,160.0
2025-05-30--20h-47m-21s,38.5,46.0,33.0,43.0,160.5
2025-05-30--20h-47m-21s,45.0,40.0,39.0,35.5,159.5
2025-05-30--20h-47m-21s,46.0,50.0,26.0,36.5,158.5
2025-05-30--20h-47m-21s,40.0,46.0,43.0,29.5,158.5
2025-05-30--20h-47m-21s,40.0,36.0,43.0,40.0,159.0
2025-05-30--20h-47m-21s,43.5,47.0,32.0,37.5,160.0
2025-05-30--20h-47m-21s,40.0,51.0,29.0,38.5,158.5
2025-05-30--20h-47m-21s,40.5,34.0,45.0,40.5,160.0
2025-05-30--20h-47m-21s,39.5,51.0,36.0,33.5,160.0
2025-05-30--20h-47m-21s,37.5,41.0,45.0,35.0,158.5
2025-05-30--20h-47m-21s,37.0,44.0,44.0,35.0,160.0
2025-05-30--20h-47m-21s,39.5,47.0,42.0,32.0,160.5
2025-05-30--20h-47m-21s,36.0,52.0,40.0,30.5,158.5
2025-05-30--20h-47m-21s,33.0,48.0,41.0,38.5,160.5
2025-05-30--20h-47m-21s,31.0,48.0,51.0,30.5,160.5
2025-05-30--20h-47m-21s,46.5,43.0,34.0,36.5,160.0
2025-05-30--20h-47m-21s,44.5,41.0,43.0,30.0,158.5
2025-05-30--20h-47m-21s,45.0,44.0,39.0,30.5,158.5
2025-05-30--20h-47m-21s,33.0,39.0,49.0,37.0,158.0
2025-05-30--20h-47m-21s,41.5,39.0,39.0,39.0,158.5
2025-05-30--20h-47m-21s,42.0,42.0,37.0,40.0,161.0
2025-05-30--20h-47m-21s,39.0,49.0,42.0,31.0,161.0
2025-05-30--20h-47m-21s,36.5,36.0,55.0,33.0,160.5
2025-05-30--20h-47m-21s,38.5,40.0,44.0,36.0,158.5
2025-05-30--20h-47m-21s,34.5,39.0,44.0,41.0,158.5
2025-05-30--20h-47m-21s,43.0,38.0,43.0,37.0,161.0
2025-05-30--20h-47m-21s,37.5,41.0,46.0,33.0,157.5
2025-05-30--20h-47m-21s,52.0,39.0,36.0,34.0,161.0
2025-05-30--20h-47m-21s,37.0,51.0,37.0,35.5,160.5
2025-05-30--20h-47m-21s,41.5,41.0,37.0,38.5,158.0
2025-05-30--20h-47m-21s,43.0,39.0,45.0,31.5,158.5
2025-05-30--20h-47m-21s,43.5,41.0,41.0,36.0,161.5
2025-05-30--20h-47m-21s,37.5,26.0,58.0,38.0,159.5
2025-05-30--20h-47m-21s,38.0,50.0,36.0,34.5,158.5
2025-05-30--20h-47m-21s,36.0,42.0,45.0,36.5,159.5
2025-05-30--20h-47m-21s,41.5,38.0,44.0,38.0,161.5
2025-05-30--20h-47m-21s,35.0,45.0,46.0,33.5,159.5
2025-05-30--20h-47m-21s,36.0,47.0,43.0,33.0,159.0
2025-05-30--20h-47m-21s,38.0,48.0,39.0,33.5,158.5
2025-05-30--20h-47m-21s,39.5,36.0,46.0,36.5,158.0
2025-05-30--20h-47m-21s,38.5,50.0,30.0,40.0,158.5
2025-05-30--20h-47m-21s,40.5,38.0,41.0,39.5,159.0
2025-05-30--20h-47m-21s,35.0,51.0,41.0,31.0,158.0
2025-05-30--20h-47m-21s,45.0,51.0,28.0,34.5,158.5
2025-05-30--20h-47m-21s,38.5,48.0,33.0,39.0,158.5
2025-05-30--20h-47m-21s,43.0,40.0,37.0,39.0,159.0
2025-05-30--20h-47m-21s,47.5,42.0,32.0,37.0,158.5
2025-05-30--20h-47m-21s,44.5,45.0,40.0,30.0,159.5
2025-05-30--20h-47m-21s,42.5,33.0,40.0,43.5,159.0
2025-05-30--20h-47m-21s,36.5,45.0,45.0,33.5,160.0
2025-05-30--20h-47m-21s,32.0,51.0,43.0,32.0,158.0
2025-05-30--20h-47m-21s,42.5,44.0,40.0,34.5,161.0
2025-05-30--20h-47m-21s,48.5,37.0,33.0,43.5,162.0
2025-05-30--20h-47m-21s,37.0,33.0,43.0,47.0,160.0
2025-05-30--20h-47m-21s,37.5,46.0,48.0,27.0,158.5
2025-05-30--20h-47m-21s,38.5,38.0,47.0,37.0,160.5
2025-05-30--20h-47m-21s,42.0,33.0,43.0,41.5,159.5
2025-05-30--20h-47m-21s,37.0,40.0,43.0,40.5,160.5
2025-05-30--20h-47m-21s,37.0,38.0,40.0,43.5,158.5
2025-05-30--20h-47m-21s,42.0,42.0,44.0,30.5,158.5
2025-05-30--20h-47m-21s,36.0,51.0,41.0,31.5,159.5
2025-05-30--20h-47m-21s,42.0,35.0,50.0,33.5,160.5
2025-05-30--20h-47m-21s,49.0,31.0,52.0,29.0,161.0
2025-05-30--20h-47m-21s,44.0,45.0,28.0,42.0,159.0
2025-05-30--20h-47m-21s,43.5,41.0,36.0,38.0,158.5
2025-05-30--20h-47m-21s,40.0,37.0,45.0,39.0,161.0
2025-05-30--20h-47m-21s,42.0,46.0,38.0,32.0,158.0
2025-05-30--20h-47m-21s,44.0,43.0,42.0,31.0,160.0
2025-05-30--20h-47m-21s,36.0,42.0,47.0,33.0,158.0
2025-05-30--20h-47m-21s,43.0,42.0,36.0,40.5,161.5
2025-05-30--20h-47m-21s,36.5,29.0,52.0,43.0,160.5
2025-05-30--20h-47m-21s,37.0,50.0,37.0,35.5,159.5
2025-05-30--20h-47m-21s,39.0,43.0,44.0,33.0,159.0
2025-05-30--20h-47m-21s,38.5,42.0,37.0,41.0,158.5
2025-05-30--20h-47m-21s,33.5,48.0,40.0,37.5,159.0
2025-05-30--20h-47m-21s,41.5,44.0,36.0,39.5,161.0
2025-05-30--20h-47m-21s,39.5,36.0,44.0,39.5,159.0
2025-05-30--20h-47m-21s,39.0,50.0,36.0,35.0,160.0
2025-05-30--20h-47m-21s,38.0,57.0,32.0,32.0,159.0
2025-05-30--20h-47m-21s,32.5,46.0,52.0,28.5,159.0
2025-05-30--20h-47m-21s,44.5,34.0,48.0,32.0,158.5
2025-05-30--20h-47m-21s,40.0,46.0,37.0,38.0,161.0
2025-05-30--20h-47m-21s,42.5,44.0,35.0,40.0,161.5
2025-05-30--20h-47m-21s,42.5,40.0,40.0,36.5,159.0
2025-05-30--20h-47m-21s,32.5,56.0,30.0,40.5,159.0
2025-05-30--20h-47m-21s,44.5,40.0,40.0,35.5,160.0
2025-05-30--20h-47m-21s,36.0,43.0,46.0,35.0,160.0
2025-05-30--20h-47m-21s,45.5,45.0,37.0,33.0,160.5
2025-05-30--20h-47m-21s,33.0,46.0,44.0,37.0,160.0
2025-05-30--20h-47m-21s,44.0,45.0,39.0,32.5,160.5
2025-05-30--20h-47m-21s,38.0,50.0,37.0,34.5,159.5
2025-05-30--20h-47m-21s,37.0,41.0,44.0,37.0,159.0
2025-05-30--20h-47m-21s,34.0,46.0,39.0,39.5,158.5
2025-05-30--20h-47m-21s,42.0,41.0,39.0,36.5,158.5
2025-05-30--20h-47m-21s,43.0,39.0,44.0,31.5,157.5
2025-05-30--20h-47m-21s,34.5,46.0,41.0,37.0,158.5
2025-05-30--20h-47m-21s,41.5,45.0,38.0,35.5,160.0
2025-05-30--20h-47m-21s,35.5,39.0,37.0,47.0,158.5
2025-05-30--20h-47m-21s,39.0,34.0,50.0,38.5,161.5
