data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-31--06h-03m-47s,0,3.0,1.0,0.0,0.0,4.0
2025-05-31--06h-03m-47s,1,0.0,2.0,2.0,0.0,4.0
2025-05-31--06h-03m-47s,2,1.5,0.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,3,0.5,3.0,1.0,0.5,5.0
2025-05-31--06h-03m-47s,4,1.0,1.0,0.0,0.5,2.5
2025-05-31--06h-03m-47s,5,0.5,2.0,0.0,0.0,2.5
2025-05-31--06h-03m-47s,6,1.5,2.0,0.0,0.0,3.5
2025-05-31--06h-03m-47s,7,1.5,0.0,1.0,0.0,2.5
2025-05-31--06h-03m-47s,8,1.5,2.0,1.0,0.0,4.5
2025-05-31--06h-03m-47s,9,0.5,0.0,0.0,0.0,0.5
2025-05-31--06h-03m-47s,10,1.5,1.0,1.0,0.0,3.5
2025-05-31--06h-03m-47s,11,0.5,1.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,12,0.0,1.0,0.0,0.0,1.0
2025-05-31--06h-03m-47s,13,1.5,2.0,1.0,0.0,4.5
2025-05-31--06h-03m-47s,14,0.5,2.0,0.0,0.0,2.5
2025-05-31--06h-03m-47s,15,0.5,0.0,1.0,0.0,1.5
2025-05-31--06h-03m-47s,16,0.5,0.0,0.0,0.0,0.5
2025-05-31--06h-03m-47s,17,1.0,2.0,0.0,0.5,3.5
2025-05-31--06h-03m-47s,18,0.0,1.0,1.0,0.0,2.0
2025-05-31--06h-03m-47s,19,0.5,0.0,0.0,0.0,0.5
2025-05-31--06h-03m-47s,20,0.0,0.0,2.0,0.0,2.0
2025-05-31--06h-03m-47s,21,0.5,0.0,1.0,0.0,1.5
2025-05-31--06h-03m-47s,22,1.0,1.0,1.0,0.0,3.0
2025-05-31--06h-03m-47s,26,3.0,0.0,1.0,0.0,4.0
2025-05-31--06h-03m-47s,27,1.0,1.0,1.0,0.0,3.0
2025-05-31--06h-03m-47s,28,1.5,0.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,29,1.5,1.0,1.0,0.0,3.5
2025-05-31--06h-03m-47s,30,1.0,0.0,1.0,0.0,2.0
2025-05-31--06h-03m-47s,31,0.5,2.0,0.0,0.0,2.5
2025-05-31--06h-03m-47s,32,0.0,1.0,1.0,0.0,2.0
2025-05-31--06h-03m-47s,33,0.5,0.0,0.0,0.0,0.5
2025-05-31--06h-03m-47s,34,2.5,1.0,0.0,0.0,3.5
