data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-06-03--16h-47m-52s,1.0,25.0,0.0,14.0,40.0,,0.8956647938578649,0.2611574109030243
2025-06-03--16h-47m-52s,0.0,25.0,2.0,13.0,40.0,,0.9581921787462742,0.0
2025-06-03--16h-47m-52s,1.0,26.0,3.0,10.0,40.0,,0.9581921787462742,0.30627736916966947
2025-06-03--16h-47m-52s,2.0,26.0,0.0,12.0,40.0,,0.863211890069541,0.38759668665518066
2025-06-03--16h-47m-52s,7.0,16.0,2.0,15.0,40.0,,1.2132252231493863,0.5993138964172853
2025-06-03--16h-47m-52s,0.0,23.0,3.0,14.0,40.0,,1.0471975511965976,0.0
2025-06-03--16h-47m-52s,2.0,24.0,1.0,13.0,40.0,,0.9581921787462742,0.37379217483451044
2025-06-03--16h-47m-52s,0.0,23.0,3.0,14.0,40.0,,1.0471975511965976,0.0
2025-06-03--16h-47m-52s,2.0,26.0,0.0,12.0,40.0,,0.863211890069541,0.38759668665518066
2025-06-03--16h-47m-52s,5.0,13.0,4.0,18.0,40.0,,1.3438532906163767,0.485049786929483
2025-06-03--16h-47m-52s,1.0,30.0,0.0,9.0,40.0,,0.7227342478134156,0.3217505543966422
2025-06-03--16h-47m-52s,3.0,25.0,0.0,12.0,40.0,,0.8956647938578649,0.4636476090008061
2025-06-03--16h-47m-52s,2.0,21.0,3.0,14.0,40.0,,1.1040309877476002,0.3613671239067078
2025-06-03--16h-47m-52s,1.0,24.0,2.0,13.0,40.0,,0.9884320889261531,0.2705497629785729
2025-06-03--16h-47m-52s,1.0,24.0,2.0,13.0,40.0,,0.9884320889261531,0.2705497629785729
2025-06-03--16h-47m-52s,1.0,21.0,5.0,13.0,40.0,,1.1592794807274087,0.2705497629785729
2025-06-03--16h-47m-52s,0.0,23.0,2.0,15.0,40.0,,1.0180812136981134,0.0
2025-06-03--16h-47m-52s,2.0,21.0,3.0,14.0,40.0,,1.1040309877476002,0.3613671239067078
2025-06-03--16h-47m-52s,2.0,26.0,5.0,7.0,40.0,,1.0180812136981134,0.49088267828931137
2025-06-03--16h-47m-52s,2.0,28.0,3.0,7.0,40.0,,0.8956647938578649,0.49088267828931137
2025-06-03--16h-47m-52s,1.0,22.0,2.0,15.0,40.0,,1.0471975511965976,0.25268025514207865
2025-06-03--16h-47m-52s,1.0,24.0,3.0,12.0,40.0,,1.0180812136981134,0.28103490150281357
2025-06-03--16h-47m-52s,1.0,22.0,3.0,14.0,40.0,,1.0758322950780022,0.2611574109030243
2025-06-03--16h-47m-52s,6.0,18.0,3.0,13.0,40.0,,1.1863995522992576,0.5967431472175737
2025-06-03--16h-47m-52s,1.0,21.0,1.0,17.0,40.0,,1.0471975511965976,0.23794112483020827
2025-06-03--16h-47m-52s,0.0,26.0,2.0,12.0,40.0,,0.9272952180016122,0.0
2025-06-03--16h-47m-52s,0.0,29.0,1.0,10.0,40.0,,0.7953988301841436,0.0
2025-06-03--16h-47m-52s,0.0,20.0,3.0,17.0,40.0,,1.131834441185136,0.0
2025-06-03--16h-47m-52s,3.0,26.0,1.0,10.0,40.0,,0.8956647938578649,0.5010930132653572
2025-06-03--16h-47m-52s,0.0,23.0,1.0,16.0,40.0,,0.9884320889261531,0.0
