detector_a_name,detector_b_name,tomography_setting_t,tomography_setting_r,estimation_label,corrected_estimation_label
9,12,H,H,DB_H,HH
9,12,H,V,DB_H,HH
9,12,V,H,DB_V,VV
9,12,V,V,DB_V,VV
9,11,H,H,SB,SB
9,11,H,V,SB,SB
9,11,V,H,SB,SB
9,11,V,V,SB,SB
9,10,H,H,SB,SB
9,10,H,V,SB,SB
9,10,V,H,SB,SB
9,10,V,V,SB,SB
11,12,H,H,SB,SB
11,12,H,V,SB,SB
11,12,V,H,SB,SB
11,12,V,V,SB,SB
10,12,H,H,SB,SB
10,12,H,V,SB,SB
10,12,V,H,SB,SB
10,12,V,V,SB,SB
10,11,H,H,DB_V,VV
10,11,H,V,DB_V,VV
10,11,V,H,DB_H,HH
10,11,V,V,DB_H,HH
1,9,H,H,C,HH
1,9,H,V,C,PC'
1,9,V,H,C,PC'
1,9,V,V,C,VV
1,12,H,H,C,HH
1,12,H,V,C,PC'
1,12,V,H,C,PC'
1,12,V,V,C,VV
1,11,H,H,C,PC'
1,11,H,V,C,VV
1,11,V,H,C,HH
1,11,V,V,C,PC'
1,10,H,H,C,PC'
1,10,H,V,C,VV
1,10,V,H,C,HH
1,10,V,V,C,PC'
1,4,H,H,DB_H,HH
1,4,H,V,DB_V,VV
1,4,V,H,DB_H,HH
1,4,V,V,DB_V,VV
1,7,H,H,SB,SB
1,7,H,V,SB,SB
1,7,V,H,SB,SB
1,7,V,V,SB,SB
1,2,H,H,SB,SB
1,2,H,V,SB,SB
1,2,V,H,SB,SB
1,2,V,V,SB,SB
4,9,H,H,C,HH
4,9,H,V,C,PC'
4,9,V,H,C,PC'
4,9,V,V,C,VV
4,12,H,H,C,HH
4,12,H,V,C,PC'
4,12,V,H,C,PC'
4,12,V,V,C,VV
4,11,H,H,C,PC'
4,11,H,V,C,VV
4,11,V,H,C,HH
4,11,V,V,C,PC'
4,10,H,H,C,PC'
4,10,H,V,C,VV
4,10,V,H,C,HH
4,10,V,V,C,PC'
4,7,H,H,SB,SB
4,7,H,V,SB,SB
4,7,V,H,SB,SB
4,7,V,V,SB,SB
7,9,H,H,C,PC'
7,9,H,V,C,HH
7,9,V,H,C,VV
7,9,V,V,C,PC'
7,12,H,H,C,PC'
7,12,H,V,C,HH
7,12,V,H,C,VV
7,12,V,V,C,PC'
7,11,H,H,C,VV
7,11,H,V,C,PC'
7,11,V,H,C,PC'
7,11,V,V,C,HH
7,10,H,H,C,VV
7,10,H,V,C,PC'
7,10,V,H,C,PC'
7,10,V,V,C,HH
2,9,H,H,C,PC'
2,9,H,V,C,HH
2,9,V,H,C,VV
2,9,V,V,C,PC'
2,12,H,H,C,PC'
2,12,H,V,C,HH
2,12,V,H,C,VV
2,12,V,V,C,PC'
2,11,H,H,C,VV
2,11,H,V,C,PC'
2,11,V,H,C,PC'
2,11,V,V,C,HH
2,10,H,H,C,VV
2,10,H,V,C,PC'
2,10,V,H,C,PC'
2,10,V,V,C,HH
2,4,H,H,SB,SB
2,4,H,V,SB,SB
2,4,V,H,SB,SB
2,4,V,V,SB,SB
2,7,H,H,DB_V,VV
2,7,H,V,DB_H,HH
2,7,V,H,DB_V,VV
2,7,V,V,DB_H,HH
