data_dir,C,SB,DB_V,DB_H,N
2025-06-03--11h-40m-23s,26.0,39.0,77.0,18.0,160.0
2025-06-03--11h-40m-23s,27.0,41.0,82.0,10.0,160.0
2025-06-03--11h-40m-23s,35.0,37.0,69.0,19.0,160.0
2025-06-03--11h-40m-23s,33.0,34.0,78.0,15.0,160.0
2025-06-03--11h-40m-23s,32.0,40.0,69.0,19.0,160.0
2025-06-03--11h-40m-23s,33.0,34.0,80.0,13.0,160.0
2025-06-03--11h-40m-23s,42.0,33.0,73.0,12.0,160.0
2025-06-03--11h-40m-23s,40.0,36.0,72.0,12.0,160.0
2025-06-03--11h-40m-23s,32.0,39.0,70.0,19.0,160.0
2025-06-03--11h-40m-23s,34.0,29.0,85.0,12.0,160.0
2025-06-03--11h-40m-23s,36.0,40.0,66.0,18.0,160.0
2025-06-03--11h-40m-23s,31.0,31.0,82.0,16.0,160.0
2025-06-03--11h-40m-23s,30.0,36.0,78.0,16.0,160.0
2025-06-03--11h-40m-23s,37.0,43.0,63.0,17.0,160.0
2025-06-03--11h-40m-23s,28.0,39.0,73.0,20.0,160.0
2025-06-03--11h-40m-23s,38.0,35.0,69.0,18.0,160.0
2025-06-03--11h-40m-23s,30.0,36.0,76.0,18.0,160.0
2025-06-03--11h-40m-23s,41.0,36.0,69.0,14.0,160.0
2025-06-03--11h-40m-23s,34.0,37.0,75.0,14.0,160.0
2025-06-03--11h-40m-23s,33.0,34.0,79.0,14.0,160.0
2025-06-03--11h-40m-23s,31.0,38.0,71.0,20.0,160.0
2025-06-03--11h-40m-23s,39.0,36.0,71.0,14.0,160.0
2025-06-03--11h-40m-23s,48.0,38.0,61.0,13.0,160.0
2025-06-03--11h-40m-23s,30.0,38.0,81.0,11.0,160.0
2025-06-03--11h-40m-23s,24.0,41.0,78.0,17.0,160.0
2025-06-03--11h-40m-23s,42.0,33.0,71.0,14.0,160.0
2025-06-03--11h-40m-23s,42.0,31.0,73.0,14.0,160.0
2025-06-03--11h-40m-23s,33.0,41.0,71.0,15.0,160.0
