data_dir,C,SB,DB_V,DB_H,N
2025-06-19--18h-42m-38s,63.0,17.0,36.0,44.0,160.0
2025-06-19--18h-42m-38s,63.0,9.0,43.0,45.0,160.0
2025-06-19--18h-42m-38s,73.0,15.0,32.0,40.0,160.0
2025-06-19--18h-42m-38s,63.0,13.0,43.0,41.0,160.0
2025-06-19--18h-42m-38s,64.0,14.0,40.0,42.0,160.0
2025-06-19--18h-42m-38s,62.0,14.0,41.0,43.0,160.0
2025-06-19--18h-42m-38s,63.0,16.0,40.0,41.0,160.0
2025-06-19--18h-42m-38s,64.0,12.0,35.0,49.0,160.0
2025-06-19--18h-42m-38s,61.0,14.0,40.0,45.0,160.0
2025-06-19--18h-42m-38s,52.0,14.0,45.0,49.0,160.0
2025-06-19--18h-42m-38s,72.0,14.0,37.0,37.0,160.0
2025-06-19--18h-42m-38s,55.0,16.0,45.0,44.0,160.0
2025-06-19--18h-42m-38s,69.0,13.0,43.0,35.0,160.0
2025-06-19--18h-42m-38s,56.0,21.0,41.0,42.0,160.0
2025-06-19--18h-42m-38s,58.0,12.0,41.0,49.0,160.0
2025-06-19--18h-42m-38s,70.0,9.0,36.0,45.0,160.0
2025-06-19--18h-42m-38s,59.0,14.0,46.0,41.0,160.0
2025-06-19--18h-42m-38s,69.0,10.0,43.0,38.0,160.0
2025-06-19--18h-42m-38s,63.0,9.0,54.0,34.0,160.0
2025-06-19--18h-42m-38s,67.0,15.0,33.0,45.0,160.0
2025-06-19--18h-42m-38s,65.0,16.0,35.0,44.0,160.0
2025-06-19--18h-42m-38s,62.0,12.0,52.0,34.0,160.0
2025-06-19--18h-42m-38s,72.0,16.0,29.0,43.0,160.0
2025-06-19--18h-42m-38s,56.0,15.0,43.0,46.0,160.0
2025-06-19--18h-42m-38s,57.0,18.0,39.0,46.0,160.0
2025-06-19--18h-42m-38s,58.0,18.0,38.0,46.0,160.0
2025-06-19--18h-42m-38s,70.0,12.0,37.0,41.0,160.0
2025-06-19--18h-42m-38s,58.0,18.0,33.0,51.0,160.0
2025-06-19--18h-42m-38s,70.0,13.0,40.0,37.0,160.0
2025-06-19--18h-42m-38s,69.0,12.0,36.0,43.0,160.0
2025-06-19--18h-42m-38s,61.0,15.0,34.0,50.0,160.0
2025-06-19--18h-42m-38s,68.0,10.0,28.0,54.0,160.0
2025-06-19--18h-42m-38s,65.0,8.0,39.0,48.0,160.0
2025-06-19--18h-42m-38s,58.0,18.0,41.0,43.0,160.0
2025-06-19--18h-42m-38s,69.0,14.0,42.0,35.0,160.0
2025-06-19--18h-42m-38s,64.0,14.0,44.0,38.0,160.0
2025-06-19--18h-42m-38s,61.0,14.0,34.0,51.0,160.0
2025-06-19--18h-42m-38s,65.0,7.0,39.0,49.0,160.0
2025-06-19--18h-42m-38s,61.0,16.0,36.0,47.0,160.0
2025-06-19--18h-42m-38s,63.0,14.0,33.0,50.0,160.0
2025-06-19--18h-42m-38s,78.0,12.0,36.0,34.0,160.0
2025-06-19--18h-42m-38s,57.0,21.0,41.0,41.0,160.0
2025-06-19--18h-42m-38s,63.0,24.0,33.0,40.0,160.0
2025-06-19--18h-42m-38s,69.0,9.0,31.0,51.0,160.0
2025-06-19--18h-42m-38s,65.0,14.0,42.0,39.0,160.0
2025-06-19--18h-42m-38s,60.0,12.0,43.0,45.0,160.0
2025-06-19--18h-42m-38s,68.0,10.0,40.0,42.0,160.0
2025-06-19--18h-42m-38s,52.0,13.0,44.0,51.0,160.0
2025-06-19--18h-42m-38s,81.0,11.0,29.0,39.0,160.0
2025-06-19--18h-42m-38s,61.0,17.0,43.0,39.0,160.0
2025-06-19--18h-42m-38s,64.0,19.0,37.0,40.0,160.0
2025-06-19--18h-42m-38s,59.0,11.0,43.0,47.0,160.0
2025-06-19--18h-42m-38s,68.0,8.0,52.0,32.0,160.0
2025-06-19--18h-42m-38s,62.0,16.0,36.0,46.0,160.0
2025-06-19--18h-42m-38s,63.0,17.0,35.0,45.0,160.0
2025-06-19--18h-42m-38s,57.0,18.0,37.0,48.0,160.0
2025-06-19--18h-42m-38s,72.0,17.0,33.0,38.0,160.0
2025-06-19--18h-42m-38s,56.0,7.0,51.0,46.0,160.0
2025-06-19--18h-42m-38s,75.0,16.0,33.0,36.0,160.0
2025-06-19--18h-42m-38s,62.0,11.0,42.0,45.0,160.0
2025-06-19--18h-42m-38s,58.0,18.0,42.0,42.0,160.0
2025-06-19--18h-42m-38s,51.0,20.0,50.0,39.0,160.0
2025-06-19--18h-42m-38s,70.0,9.0,44.0,37.0,160.0
2025-06-19--18h-42m-38s,65.0,12.0,38.0,45.0,160.0
2025-06-19--18h-42m-38s,71.0,14.0,36.0,39.0,160.0
2025-06-19--18h-42m-38s,66.0,16.0,27.0,51.0,160.0
2025-06-19--18h-42m-38s,60.0,9.0,38.0,53.0,160.0
2025-06-19--18h-42m-38s,66.0,19.0,30.0,45.0,160.0
2025-06-19--18h-42m-38s,62.0,9.0,42.0,47.0,160.0
2025-06-19--18h-42m-38s,62.0,12.0,38.0,48.0,160.0
2025-06-19--18h-42m-38s,69.0,14.0,42.0,35.0,160.0
2025-06-19--18h-42m-38s,63.0,12.0,40.0,45.0,160.0
2025-06-19--18h-42m-38s,57.0,14.0,50.0,39.0,160.0
2025-06-19--18h-42m-38s,59.0,14.0,36.0,51.0,160.0
2025-06-19--18h-42m-38s,69.0,13.0,44.0,34.0,160.0
2025-06-19--18h-42m-38s,66.0,14.0,45.0,35.0,160.0
2025-06-19--18h-42m-38s,65.0,21.0,33.0,41.0,160.0
2025-06-19--18h-42m-38s,70.0,10.0,36.0,44.0,160.0
2025-06-19--18h-42m-38s,59.0,15.0,42.0,44.0,160.0
2025-06-19--18h-42m-38s,70.0,11.0,37.0,42.0,160.0
2025-06-19--18h-42m-38s,69.0,12.0,36.0,43.0,160.0
2025-06-19--18h-42m-38s,69.0,15.0,34.0,42.0,160.0
2025-06-19--18h-42m-38s,65.0,14.0,40.0,41.0,160.0
2025-06-19--18h-42m-38s,52.0,20.0,33.0,55.0,160.0
2025-06-19--18h-42m-38s,64.0,14.0,30.0,52.0,160.0
2025-06-19--18h-42m-38s,62.0,15.0,43.0,40.0,160.0
2025-06-19--18h-42m-38s,65.0,14.0,41.0,40.0,160.0
2025-06-19--18h-42m-38s,61.0,18.0,39.0,42.0,160.0
2025-06-19--18h-42m-38s,54.0,19.0,32.0,55.0,160.0
2025-06-19--18h-42m-38s,72.0,14.0,39.0,35.0,160.0
2025-06-19--18h-42m-38s,70.0,19.0,33.0,38.0,160.0
2025-06-19--18h-42m-38s,71.0,11.0,40.0,38.0,160.0
2025-06-19--18h-42m-38s,64.0,13.0,45.0,38.0,160.0
2025-06-19--18h-42m-38s,55.0,16.0,38.0,51.0,160.0
2025-06-19--18h-42m-38s,73.0,10.0,37.0,40.0,160.0
2025-06-19--18h-42m-38s,66.0,12.0,34.0,48.0,160.0
2025-06-19--18h-42m-38s,61.0,10.0,34.0,55.0,160.0
2025-06-19--18h-42m-38s,62.0,18.0,46.0,34.0,160.0
2025-06-19--18h-42m-38s,53.0,17.0,49.0,41.0,160.0
2025-06-19--18h-42m-38s,60.0,14.0,39.0,47.0,160.0
2025-06-19--18h-42m-38s,59.0,13.0,38.0,50.0,160.0
2025-06-19--18h-42m-38s,64.0,9.0,40.0,47.0,160.0
2025-06-19--18h-42m-38s,51.0,20.0,48.0,41.0,160.0
2025-06-19--18h-42m-38s,55.0,17.0,37.0,51.0,160.0
2025-06-19--18h-42m-38s,66.0,15.0,33.0,46.0,160.0
2025-06-19--18h-42m-38s,74.0,17.0,30.0,39.0,160.0
2025-06-19--18h-42m-38s,69.0,6.0,42.0,43.0,160.0
2025-06-19--18h-42m-38s,51.0,21.0,44.0,44.0,160.0
2025-06-19--18h-42m-38s,57.0,10.0,36.0,57.0,160.0
2025-06-19--18h-42m-38s,62.0,26.0,35.0,37.0,160.0
2025-06-19--18h-42m-38s,65.0,13.0,34.0,48.0,160.0
2025-06-19--18h-42m-38s,57.0,13.0,40.0,50.0,160.0
2025-06-19--18h-42m-38s,65.0,19.0,35.0,41.0,160.0
2025-06-19--18h-42m-38s,57.0,12.0,44.0,47.0,160.0
2025-06-19--18h-42m-38s,67.0,17.0,38.0,38.0,160.0
2025-06-19--18h-42m-38s,58.0,12.0,44.0,46.0,160.0
2025-06-19--18h-42m-38s,63.0,13.0,46.0,38.0,160.0
2025-06-19--18h-42m-38s,74.0,20.0,30.0,36.0,160.0
2025-06-19--18h-42m-38s,68.0,11.0,36.0,45.0,160.0
2025-06-19--18h-42m-38s,60.0,15.0,36.0,49.0,160.0
2025-06-19--18h-42m-38s,58.0,15.0,43.0,44.0,160.0
2025-06-19--18h-42m-38s,71.0,14.0,31.0,44.0,160.0
2025-06-19--18h-42m-38s,61.0,12.0,41.0,46.0,160.0
2025-06-19--18h-42m-38s,59.0,12.0,48.0,41.0,160.0
2025-06-19--18h-42m-38s,62.0,7.0,45.0,46.0,160.0
2025-06-19--18h-42m-38s,70.0,16.0,38.0,36.0,160.0
2025-06-19--18h-42m-38s,67.0,10.0,36.0,47.0,160.0
2025-06-19--18h-42m-38s,62.0,18.0,39.0,41.0,160.0
2025-06-19--18h-42m-38s,63.0,22.0,37.0,38.0,160.0
2025-06-19--18h-42m-38s,64.0,15.0,29.0,52.0,160.0
2025-06-19--18h-42m-38s,58.0,11.0,38.0,53.0,160.0
2025-06-19--18h-42m-38s,61.0,14.0,39.0,46.0,160.0
2025-06-19--18h-42m-38s,71.0,12.0,36.0,41.0,160.0
2025-06-19--18h-42m-38s,68.0,13.0,34.0,45.0,160.0
2025-06-19--18h-42m-38s,57.0,17.0,29.0,57.0,160.0
2025-06-19--18h-42m-38s,65.0,12.0,42.0,41.0,160.0
2025-06-19--18h-42m-38s,67.0,8.0,44.0,41.0,160.0
2025-06-19--18h-42m-38s,61.0,11.0,39.0,49.0,160.0
2025-06-19--18h-42m-38s,70.0,14.0,32.0,44.0,160.0
2025-06-19--18h-42m-38s,68.0,8.0,37.0,47.0,160.0
2025-06-19--18h-42m-38s,62.0,11.0,37.0,50.0,160.0
2025-06-19--18h-42m-38s,61.0,12.0,47.0,40.0,160.0
2025-06-19--18h-42m-38s,66.0,10.0,41.0,43.0,160.0
2025-06-19--18h-42m-38s,57.0,18.0,40.0,45.0,160.0
2025-06-19--18h-42m-38s,59.0,8.0,48.0,45.0,160.0
2025-06-19--18h-42m-38s,64.0,10.0,39.0,47.0,160.0
2025-06-19--18h-42m-38s,68.0,16.0,40.0,36.0,160.0
2025-06-19--18h-42m-38s,74.0,16.0,37.0,33.0,160.0
2025-06-19--18h-42m-38s,65.0,15.0,35.0,45.0,160.0
2025-06-19--18h-42m-38s,75.0,10.0,32.0,43.0,160.0
2025-06-19--18h-42m-38s,68.0,14.0,41.0,37.0,160.0
2025-06-19--18h-42m-38s,75.0,14.0,34.0,37.0,160.0
2025-06-19--18h-42m-38s,69.0,11.0,35.0,45.0,160.0
2025-06-19--18h-42m-38s,69.0,16.0,31.0,44.0,160.0
2025-06-19--18h-42m-38s,59.0,17.0,38.0,46.0,160.0
2025-06-19--18h-42m-38s,60.0,15.0,40.0,45.0,160.0
2025-06-19--18h-42m-38s,57.0,18.0,42.0,43.0,160.0
2025-06-19--18h-42m-38s,65.0,17.0,34.0,44.0,160.0
2025-06-19--18h-42m-38s,61.0,19.0,37.0,43.0,160.0
2025-06-19--18h-42m-38s,56.0,8.0,41.0,55.0,160.0
2025-06-19--18h-42m-38s,55.0,12.0,35.0,58.0,160.0
2025-06-19--18h-42m-38s,74.0,16.0,30.0,40.0,160.0
