data_dir,C',HH,SB,VV,N,theta_estimate,delta_phi_estimate,clipped_delta_phi_estimate
2025-06-20--18h-37m-37s,0.0,5.0,17.0,18.0,40.0,1.9018080548841911,,0.0
2025-06-20--18h-37m-37s,0.0,1.0,15.0,24.0,40.0,2.183400474843519,,0.0
2025-06-20--18h-37m-37s,0.0,2.0,16.0,22.0,40.0,2.0943951023931957,,0.0
2025-06-20--18h-37m-37s,1.0,3.0,16.0,20.0,40.0,2.009758212404657,0.23029570217671502,0.23029570217671502
2025-06-20--18h-37m-37s,0.0,2.0,20.0,18.0,40.0,1.9823131728623846,,0.0
2025-06-20--18h-37m-37s,0.0,3.0,19.0,18.0,40.0,1.9551931012905357,,0.0
2025-06-20--18h-37m-37s,0.0,2.0,17.0,21.0,40.0,2.065760358511791,,0.0
2025-06-20--18h-37m-37s,1.0,3.0,13.0,23.0,40.0,2.0943951023931957,0.25759838024523724,0.25759838024523724
2025-06-20--18h-37m-37s,0.0,2.0,17.0,21.0,40.0,2.065760358511791,,0.0
2025-06-20--18h-37m-37s,0.0,2.0,13.0,25.0,40.0,2.183400474843519,,0.0
2025-06-20--18h-37m-37s,0.0,1.0,11.0,28.0,40.0,2.3117610289979167,,0.0
2025-06-20--18h-37m-37s,0.0,1.0,15.0,24.0,40.0,2.183400474843519,,0.0
2025-06-20--18h-37m-37s,0.0,3.0,19.0,18.0,40.0,1.9551931012905357,,0.0
2025-06-20--18h-37m-37s,1.0,3.0,13.0,23.0,40.0,2.0943951023931957,0.25759838024523724,0.25759838024523724
2025-06-20--18h-37m-37s,0.0,3.0,17.0,20.0,40.0,2.009758212404657,,0.0
2025-06-20--18h-37m-37s,0.0,3.0,13.0,24.0,40.0,2.12351143989168,,0.0
2025-06-20--18h-37m-37s,0.0,4.0,14.0,22.0,40.0,2.037561665842193,,0.0
2025-06-20--18h-37m-37s,0.0,2.0,13.0,25.0,40.0,2.183400474843519,,0.0
2025-06-20--18h-37m-37s,0.0,3.0,14.0,23.0,40.0,2.0943951023931957,,0.0
2025-06-20--18h-37m-37s,0.0,3.0,20.0,17.0,40.0,1.9283674304404068,,0.0
2025-06-20--18h-37m-37s,0.0,2.0,15.0,23.0,40.0,2.12351143989168,,0.0
2025-06-20--18h-37m-37s,1.0,1.0,15.0,23.0,40.0,2.15316056466364,0.23855596415673905,0.23855596415673905
2025-06-20--18h-37m-37s,0.0,4.0,19.0,17.0,40.0,1.9018080548841911,,0.0
2025-06-20--18h-37m-37s,0.0,1.0,18.0,21.0,40.0,2.0943951023931957,,0.0
2025-06-20--18h-37m-37s,0.0,3.0,13.0,24.0,40.0,2.12351143989168,,0.0
2025-06-20--18h-37m-37s,0.0,2.0,14.0,24.0,40.0,2.15316056466364,,0.0
2025-06-20--18h-37m-37s,0.0,0.0,18.0,22.0,40.0,2.15316056466364,,0.0
2025-06-20--18h-37m-37s,0.0,1.0,15.0,24.0,40.0,2.183400474843519,,0.0
2025-06-20--18h-37m-37s,1.0,2.0,15.0,22.0,40.0,2.0943951023931957,0.23855596415673905,0.23855596415673905
2025-06-20--18h-37m-37s,0.0,5.0,13.0,22.0,40.0,2.009758212404657,,0.0
2025-06-20--18h-37m-37s,0.0,6.0,15.0,19.0,40.0,1.9018080548841911,,0.0
2025-06-20--18h-37m-37s,2.0,1.0,11.0,26.0,40.0,2.2459278597319283,0.3956997768880563,0.3956997768880563
2025-06-20--18h-37m-37s,1.0,4.0,16.0,19.0,40.0,1.9551931012905357,0.23029570217671502,0.23029570217671502
