data_dir,C',SB,VV,HH,N
2025-06-20--23h-02m-38s,29.0,0.0,126.0,5.0,160.0
2025-06-20--23h-02m-38s,30.0,1.0,129.0,0.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,125.0,2.0,160.0
2025-06-20--23h-02m-38s,50.0,0.0,108.0,2.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,116.0,3.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,122.0,4.0,160.0
2025-06-20--23h-02m-38s,44.0,0.0,110.0,6.0,160.0
2025-06-20--23h-02m-38s,52.0,0.0,102.0,6.0,160.0
2025-06-20--23h-02m-38s,44.0,1.0,112.0,3.0,160.0
2025-06-20--23h-02m-38s,31.0,0.0,121.0,8.0,160.0
2025-06-20--23h-02m-38s,32.0,0.0,125.0,3.0,160.0
2025-06-20--23h-02m-38s,31.0,1.0,124.0,4.0,160.0
2025-06-20--23h-02m-38s,48.0,0.0,110.0,2.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,117.0,1.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,123.0,3.0,160.0
2025-06-20--23h-02m-38s,44.0,1.0,113.0,2.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,116.0,8.0,160.0
2025-06-20--23h-02m-38s,24.0,0.0,130.0,6.0,160.0
2025-06-20--23h-02m-38s,32.0,0.0,126.0,2.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,115.0,6.0,160.0
2025-06-20--23h-02m-38s,36.0,1.0,119.0,4.0,160.0
2025-06-20--23h-02m-38s,35.0,1.0,121.0,3.0,160.0
2025-06-20--23h-02m-38s,46.0,0.0,109.0,5.0,160.0
2025-06-20--23h-02m-38s,30.0,1.0,124.0,5.0,160.0
2025-06-20--23h-02m-38s,37.0,1.0,119.0,3.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,116.0,6.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,115.0,3.0,160.0
2025-06-20--23h-02m-38s,35.0,2.0,119.0,4.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,113.0,5.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,118.0,6.0,160.0
2025-06-20--23h-02m-38s,44.0,0.0,114.0,2.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,117.0,5.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,122.0,5.0,160.0
2025-06-20--23h-02m-38s,44.0,1.0,111.0,4.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,119.0,4.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,122.0,4.0,160.0
2025-06-20--23h-02m-38s,28.0,0.0,125.0,7.0,160.0
2025-06-20--23h-02m-38s,28.0,0.0,126.0,6.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,123.0,3.0,160.0
2025-06-20--23h-02m-38s,32.0,1.0,121.0,6.0,160.0
2025-06-20--23h-02m-38s,46.0,0.0,114.0,0.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,118.0,4.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,116.0,2.0,160.0
2025-06-20--23h-02m-38s,50.0,1.0,109.0,0.0,160.0
2025-06-20--23h-02m-38s,47.0,0.0,106.0,7.0,160.0
2025-06-20--23h-02m-38s,37.0,1.0,121.0,1.0,160.0
2025-06-20--23h-02m-38s,44.0,1.0,112.0,3.0,160.0
2025-06-20--23h-02m-38s,30.0,2.0,123.0,5.0,160.0
2025-06-20--23h-02m-38s,39.0,2.0,114.0,5.0,160.0
2025-06-20--23h-02m-38s,30.0,0.0,127.0,3.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,124.0,3.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,113.0,4.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,117.0,7.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,109.0,8.0,160.0
2025-06-20--23h-02m-38s,29.0,0.0,127.0,4.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,117.0,6.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,113.0,5.0,160.0
2025-06-20--23h-02m-38s,31.0,1.0,124.0,4.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,116.0,8.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,119.0,4.0,160.0
2025-06-20--23h-02m-38s,46.0,0.0,110.0,4.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,115.0,8.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,121.0,5.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,121.0,5.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,121.0,6.0,160.0
