detector_a_name,detector_b_name,arm_a,arm_b,color_a,color_b,delay_a,delay_b,estimation_label,coincidences
9,12,TT,TT,white,blue,1.0160000000000001e-08,1.1720000000000002e-08,DB_H,1558
9,11,TT,TR,white,white,1.0160000000000001e-08,1.1720000000000002e-08,SB,34
9,10,TT,TR,white,blue,1.0160000000000001e-08,1.0160000000000001e-08,SB,37
11,12,TR,TT,white,blue,1.1720000000000002e-08,1.1720000000000002e-08,SB,48
10,12,TR,TT,blue,blue,1.0160000000000001e-08,1.1720000000000002e-08,SB,48
10,11,TR,TR,blue,white,1.0160000000000001e-08,1.1720000000000002e-08,DB_V,1789
1,9,RT,TT,white,white,0.0,1.0160000000000001e-08,C,17
1,12,RT,TT,white,blue,0.0,1.1720000000000002e-08,C,19
1,11,RT,TR,white,white,0.0,1.1720000000000002e-08,C,1783
1,10,RT,TR,white,blue,0.0,1.0160000000000001e-08,C,1883
1,4,RT,RT,white,blue,0.0,3.910000000000001e-09,DB_H,2234
1,7,RT,RR,white,white,0.0,3.1200000000000004e-09,SB,43
1,2,RT,RR,white,blue,0.0,3.1200000000000004e-09,SB,0
4,9,RT,TT,blue,white,3.910000000000001e-09,1.0160000000000001e-08,C,16
4,12,RT,TT,blue,blue,3.910000000000001e-09,1.1720000000000002e-08,C,20
4,11,RT,TR,blue,white,3.910000000000001e-09,1.1720000000000002e-08,C,1958
4,10,RT,TR,blue,blue,3.910000000000001e-09,1.0160000000000001e-08,C,2092
4,7,RT,RR,blue,white,3.910000000000001e-09,3.1200000000000004e-09,SB,39
7,9,RR,TT,white,white,3.1200000000000004e-09,1.0160000000000001e-08,C,1679
7,12,RR,TT,white,blue,3.1200000000000004e-09,1.1720000000000002e-08,C,2114
7,11,RR,TR,white,white,3.1200000000000004e-09,1.1720000000000002e-08,C,37
7,10,RR,TR,white,blue,3.1200000000000004e-09,1.0160000000000001e-08,C,44
2,9,RR,TT,blue,white,3.1200000000000004e-09,1.0160000000000001e-08,C,1182
2,12,RR,TT,blue,blue,3.1200000000000004e-09,1.1720000000000002e-08,C,0
2,11,RR,TR,blue,white,3.1200000000000004e-09,1.1720000000000002e-08,C,0
2,10,RR,TR,blue,blue,3.1200000000000004e-09,1.0160000000000001e-08,C,40
2,4,RR,RT,blue,blue,3.1200000000000004e-09,3.910000000000001e-09,SB,0
2,7,RR,RR,blue,white,3.1200000000000004e-09,3.1200000000000004e-09,DB_V,1243
