data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-23--16h-55m-12s,0,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-12s,1,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-12s,2,0.0,2.0,0.0,0.5,2.5
2025-05-23--16h-55m-12s,3,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-12s,5,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-12s,6,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-12s,7,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-12s,8,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-12s,9,0.0,5.0,0.0,0.5,5.5
2025-05-23--16h-55m-12s,10,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-12s,11,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-12s,12,0.0,3.0,0.0,0.0,3.0
2025-05-23--16h-55m-12s,13,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-12s,14,0.0,0.0,0.0,0.5,0.5
2025-05-23--16h-55m-12s,16,0.0,1.0,0.0,1.0,2.0
2025-05-23--16h-55m-12s,17,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-12s,18,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-12s,19,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-12s,20,0.0,2.0,0.0,0.5,2.5
2025-05-23--16h-55m-12s,21,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-12s,22,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-12s,23,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-12s,24,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-12s,25,0.0,0.0,0.0,0.5,0.5
2025-05-23--16h-55m-12s,26,0.0,2.0,0.0,0.5,2.5
2025-05-23--16h-55m-12s,27,0.0,1.0,1.0,1.0,3.0
2025-05-23--16h-55m-12s,28,0.0,2.0,0.0,0.5,2.5
2025-05-23--16h-55m-12s,31,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-12s,32,0.0,1.0,0.0,0.5,1.5
2025-05-23--16h-55m-12s,33,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-12s,36,0.0,2.0,0.0,0.0,2.0
2025-05-23--16h-55m-12s,37,0.0,1.0,0.0,0.0,1.0
2025-05-23--16h-55m-12s,38,0.0,2.0,0.0,0.5,2.5
2025-05-23--16h-55m-12s,40,0.0,0.0,0.0,0.5,0.5
2025-05-23--16h-55m-12s,41,0.0,1.0,0.0,0.0,1.0
