detector_a_name,detector_b_name,estimation_label,repetition,coincidences,timestamp
9,12,DB_H,0,0,2025-05-23--16h-55m-26s-431354
9,11,SB,0,0,2025-05-23--16h-55m-26s-431354
9,10,SB,0,0,2025-05-23--16h-55m-26s-431354
11,12,SB,0,1,2025-05-23--16h-55m-26s-431354
10,12,SB,0,0,2025-05-23--16h-55m-26s-431354
10,11,DB_V,0,0,2025-05-23--16h-55m-26s-431354
1,9,C,0,0,2025-05-23--16h-55m-26s-431354
1,12,C,0,0,2025-05-23--16h-55m-26s-431354
1,11,C,0,0,2025-05-23--16h-55m-26s-431354
1,10,C,0,0,2025-05-23--16h-55m-26s-431354
1,4,DB_H,0,0,2025-05-23--16h-55m-26s-431354
1,7,SB,0,0,2025-05-23--16h-55m-26s-431354
1,2,SB,0,0,2025-05-23--16h-55m-26s-431354
4,9,C,0,0,2025-05-23--16h-55m-26s-431354
4,12,C,0,0,2025-05-23--16h-55m-26s-431354
4,11,C,0,0,2025-05-23--16h-55m-26s-431354
4,10,C,0,0,2025-05-23--16h-55m-26s-431354
4,7,SB,0,0,2025-05-23--16h-55m-26s-431354
7,9,C,0,0,2025-05-23--16h-55m-26s-431354
7,12,C,0,0,2025-05-23--16h-55m-26s-431354
7,11,C,0,0,2025-05-23--16h-55m-26s-431354
7,10,C,0,0,2025-05-23--16h-55m-26s-431354
2,9,C,0,0,2025-05-23--16h-55m-26s-431354
2,12,C,0,0,2025-05-23--16h-55m-26s-431354
2,11,C,0,0,2025-05-23--16h-55m-26s-431354
2,10,C,0,0,2025-05-23--16h-55m-26s-431354
2,4,SB,0,0,2025-05-23--16h-55m-26s-431354
2,7,DB_V,0,0,2025-05-23--16h-55m-26s-431354
9,12,DB_H,3,1,2025-05-23--16h-55m-26s-497465
9,11,SB,3,0,2025-05-23--16h-55m-26s-497465
9,10,SB,3,0,2025-05-23--16h-55m-26s-497465
11,12,SB,3,0,2025-05-23--16h-55m-26s-497465
10,12,SB,3,1,2025-05-23--16h-55m-26s-497465
10,11,DB_V,3,0,2025-05-23--16h-55m-26s-497465
1,9,C,3,0,2025-05-23--16h-55m-26s-497465
1,12,C,3,0,2025-05-23--16h-55m-26s-497465
1,11,C,3,0,2025-05-23--16h-55m-26s-497465
1,10,C,3,0,2025-05-23--16h-55m-26s-497465
1,4,DB_H,3,0,2025-05-23--16h-55m-26s-497465
1,7,SB,3,0,2025-05-23--16h-55m-26s-497465
1,2,SB,3,0,2025-05-23--16h-55m-26s-497465
4,9,C,3,0,2025-05-23--16h-55m-26s-497465
4,12,C,3,0,2025-05-23--16h-55m-26s-497465
4,11,C,3,0,2025-05-23--16h-55m-26s-497465
4,10,C,3,0,2025-05-23--16h-55m-26s-497465
4,7,SB,3,0,2025-05-23--16h-55m-26s-497465
7,9,C,3,0,2025-05-23--16h-55m-26s-497465
7,12,C,3,0,2025-05-23--16h-55m-26s-497465
7,11,C,3,0,2025-05-23--16h-55m-26s-497465
7,10,C,3,0,2025-05-23--16h-55m-26s-497465
2,9,C,3,0,2025-05-23--16h-55m-26s-497465
2,12,C,3,0,2025-05-23--16h-55m-26s-497465
2,11,C,3,0,2025-05-23--16h-55m-26s-497465
2,10,C,3,0,2025-05-23--16h-55m-26s-497465
2,4,SB,3,0,2025-05-23--16h-55m-26s-497465
2,7,DB_V,3,0,2025-05-23--16h-55m-26s-497465
9,12,DB_H,4,1,2025-05-23--16h-55m-26s-516153
9,11,SB,4,0,2025-05-23--16h-55m-26s-516153
9,10,SB,4,0,2025-05-23--16h-55m-26s-516153
11,12,SB,4,0,2025-05-23--16h-55m-26s-516153
10,12,SB,4,0,2025-05-23--16h-55m-26s-516153
10,11,DB_V,4,0,2025-05-23--16h-55m-26s-516153
1,9,C,4,0,2025-05-23--16h-55m-26s-516153
1,12,C,4,0,2025-05-23--16h-55m-26s-516153
1,11,C,4,0,2025-05-23--16h-55m-26s-516153
1,10,C,4,0,2025-05-23--16h-55m-26s-516153
1,4,DB_H,4,4,2025-05-23--16h-55m-26s-516153
1,7,SB,4,0,2025-05-23--16h-55m-26s-516153
1,2,SB,4,0,2025-05-23--16h-55m-26s-516153
4,9,C,4,0,2025-05-23--16h-55m-26s-516153
4,12,C,4,0,2025-05-23--16h-55m-26s-516153
4,11,C,4,0,2025-05-23--16h-55m-26s-516153
4,10,C,4,0,2025-05-23--16h-55m-26s-516153
4,7,SB,4,0,2025-05-23--16h-55m-26s-516153
7,9,C,4,0,2025-05-23--16h-55m-26s-516153
7,12,C,4,0,2025-05-23--16h-55m-26s-516153
7,11,C,4,0,2025-05-23--16h-55m-26s-516153
7,10,C,4,0,2025-05-23--16h-55m-26s-516153
