data_dir,C,DB_H,DB_V,SB,N
2025-05-23--18h-35m-16s,2.0,12.0,67.0,39.0,120.0
2025-05-23--18h-35m-16s,3.0,18.0,62.0,37.0,120.0
2025-05-23--18h-35m-16s,3.0,5.0,60.0,52.0,120.0
2025-05-23--18h-35m-16s,2.5,13.0,60.0,44.5,120.0
2025-05-23--18h-35m-16s,2.5,10.0,68.0,39.5,120.0
2025-05-23--18h-35m-16s,2.5,11.0,67.0,39.5,120.0
2025-05-23--18h-35m-16s,3.5,8.0,67.0,41.5,120.0
2025-05-23--18h-35m-16s,0.5,12.0,62.0,45.5,120.0
2025-05-23--18h-35m-16s,1.0,11.0,64.0,44.0,120.0
2025-05-23--18h-35m-16s,2.0,10.0,66.0,42.0,120.0
2025-05-23--18h-35m-16s,3.0,8.0,71.0,38.0,120.0
2025-05-23--18h-35m-16s,0.0,15.0,64.0,41.0,120.0
2025-05-23--18h-35m-16s,1.5,10.0,65.0,43.5,120.0
2025-05-23--18h-35m-16s,2.5,9.0,67.0,41.5,120.0
2025-05-23--18h-35m-16s,1.0,12.0,56.0,51.0,120.0
2025-05-23--18h-35m-16s,2.0,10.0,62.0,46.0,120.0
2025-05-23--18h-35m-16s,1.5,14.0,63.0,41.5,120.0
2025-05-23--18h-35m-16s,1.0,5.0,73.0,41.0,120.0
2025-05-23--18h-35m-16s,5.0,9.0,61.0,45.0,120.0
2025-05-23--18h-35m-16s,1.5,9.0,66.0,43.5,120.0
2025-05-23--18h-35m-16s,1.5,10.0,57.0,51.5,120.0
2025-05-23--18h-35m-16s,1.5,9.0,62.0,47.5,120.0
2025-05-23--18h-35m-16s,1.0,11.0,61.0,47.0,120.0
2025-05-23--18h-35m-16s,3.0,8.0,64.0,45.0,120.0
2025-05-23--18h-35m-16s,2.5,9.0,62.0,46.5,120.0
2025-05-23--18h-35m-16s,3.0,6.0,66.0,45.0,120.0
2025-05-23--18h-35m-16s,1.5,9.0,72.0,37.5,120.0
2025-05-23--18h-35m-16s,2.0,9.0,62.0,47.0,120.0
2025-05-23--18h-35m-16s,0.5,10.0,71.0,38.5,120.0
2025-05-23--18h-35m-16s,2.0,10.0,62.0,46.0,120.0
2025-05-23--18h-35m-16s,1.0,7.0,75.0,37.0,120.0
2025-05-23--18h-35m-16s,2.5,11.0,72.0,34.5,120.0
2025-05-23--18h-35m-16s,2.0,9.0,60.0,49.0,120.0
2025-05-23--18h-35m-16s,2.5,11.0,53.0,53.5,120.0
2025-05-23--18h-35m-16s,2.5,9.0,65.0,43.5,120.0
2025-05-23--18h-35m-16s,1.0,14.0,56.0,49.0,120.0
2025-05-23--18h-35m-16s,1.0,13.0,54.0,52.0,120.0
2025-05-23--18h-35m-16s,1.5,16.0,61.0,41.5,120.0
2025-05-23--18h-35m-16s,4.5,12.0,57.0,46.5,120.0
2025-05-23--18h-35m-16s,1.0,7.0,72.0,40.0,120.0
2025-05-23--18h-35m-16s,2.5,7.0,65.0,45.5,120.0
2025-05-23--18h-35m-16s,2.0,15.0,57.0,46.0,120.0
2025-05-23--18h-35m-16s,2.5,13.0,66.0,38.5,120.0
2025-05-23--18h-35m-16s,2.0,10.0,68.0,40.0,120.0
2025-05-23--18h-35m-16s,2.5,10.0,57.0,50.5,120.0
2025-05-23--18h-35m-16s,1.0,10.0,68.0,41.0,120.0
2025-05-23--18h-35m-16s,2.5,14.0,55.0,48.5,120.0
2025-05-23--18h-35m-16s,2.0,9.0,59.0,50.0,120.0
2025-05-23--18h-35m-16s,3.0,11.0,71.0,35.0,120.0
2025-05-23--18h-35m-16s,2.0,13.0,70.0,35.0,120.0
2025-05-23--18h-35m-16s,1.0,15.0,59.0,45.0,120.0
2025-05-23--18h-35m-16s,3.0,9.0,67.0,41.0,120.0
2025-05-23--18h-35m-16s,2.0,11.0,64.0,43.0,120.0
2025-05-23--18h-35m-16s,3.5,8.0,68.0,40.5,120.0
2025-05-23--18h-35m-16s,2.5,12.0,60.0,45.5,120.0
2025-05-23--18h-35m-16s,4.5,12.0,63.0,40.5,120.0
2025-05-23--18h-35m-16s,1.5,10.0,71.0,37.5,120.0
