data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-06-01--01h-03m-47s,8.0,10.0,9.0,12.5,39.5,,1.545477166002274,0.6747409422235527
2025-06-01--01h-03m-47s,3.5,14.0,14.0,8.5,40.0,,1.5707963267948966,0.5705104477451844
2025-06-01--01h-03m-47s,3.0,12.0,16.0,10.0,41.0,,1.6685127356440028,0.5010930132653572
2025-06-01--01h-03m-47s,7.5,10.0,9.0,12.5,39.0,,1.5451524906547789,0.659058035826409
2025-06-01--01h-03m-47s,3.0,14.0,12.0,11.5,40.5,,1.521393517472283,0.4722136857815051
2025-06-01--01h-03m-47s,6.0,13.0,8.0,12.5,39.5,,1.443873547896691,0.6058911188392463
2025-06-01--01h-03m-47s,5.0,11.0,10.0,13.5,39.5,,1.545477166002274,0.5467049023791275
2025-06-01--01h-03m-47s,7.5,11.0,10.0,12.5,41.0,,1.5464036640172414,0.659058035826409
2025-06-01--01h-03m-47s,6.0,12.0,8.0,15.0,41.0,,1.4730799179457903,0.5639426413606289
2025-06-01--01h-03m-47s,8.5,7.0,8.0,17.0,40.5,,1.5954901944100486,0.6154797086703874
2025-06-01--01h-03m-47s,8.5,9.0,8.0,14.0,39.5,,1.545477166002274,0.6619248061172318
2025-06-01--01h-03m-47s,5.5,12.0,11.0,12.0,40.5,,1.5461024591797445,0.5951245675525385
2025-06-01--01h-03m-47s,9.0,9.0,11.0,11.5,40.5,,1.6201991361175103,0.7242703938775575
2025-06-01--01h-03m-47s,8.0,9.0,10.0,13.5,40.5,,1.5954901944100486,0.6560533740603397
2025-06-01--01h-03m-47s,8.0,12.0,9.0,11.5,40.5,,1.4966543445611338,0.6951655931994405
2025-06-01--01h-03m-47s,8.5,10.0,5.0,15.5,39.0,,1.4422373667534711,0.6374137617179826
2025-06-01--01h-03m-47s,4.0,14.0,8.0,14.5,40.5,,1.4221008325273343,0.48362394264896114
2025-06-01--01h-03m-47s,8.0,9.0,11.0,11.5,39.5,,1.6214508977136237,0.6951655931994405
