data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate,theta_estimate_degrees,delta_phi_estimate_degrees
2025-05-23--16h-54m-21s,2.0,38.0,0.0,0.0,40.0,0.26737780095162794,1.5707963267948966,15.319619530017288,90.0
2025-05-23--16h-54m-21s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--16h-54m-30s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--16h-54m-30s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--16h-54m-30s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--16h-54m-34s,2.0,38.0,0.0,0.0,40.0,0.26737780095162794,1.5707963267948966,15.319619530017288,90.0
2025-05-23--16h-54m-34s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--16h-54m-34s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--16h-54m-34s,0.0,39.0,0.0,1.0,40.0,0.14261492957058086,0.0,8.171233559949766,0.0
2025-05-23--16h-54m-37s,2.0,38.0,0.0,0.0,40.0,0.26737780095162794,1.5707963267948966,15.319619530017288,90.0
2025-05-23--16h-54m-37s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--16h-54m-37s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--16h-54m-41s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--16h-54m-41s,0.0,39.0,0.0,1.0,40.0,0.14261492957058086,0.0,8.171233559949766,0.0
2025-05-23--16h-54m-45s,0.5,37.0,0.0,2.5,40.0,0.35083433461154634,0.4149717231447266,20.101326681522107,23.776128353464095
2025-05-23--16h-54m-45s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--16h-54m-45s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--16h-54m-49s,0.0,38.0,0.0,2.0,40.0,0.26737780095162794,0.0,15.319619530017288,0.0
2025-05-23--16h-54m-49s,0.0,38.0,1.0,1.0,40.0,0.35083433461154634,0.0,20.101326681522107,0.0
2025-05-23--16h-54m-49s,1.0,37.0,0.0,2.0,40.0,0.35083433461154634,0.6084259956212019,20.101326681522107,34.860241695139976
2025-05-23--16h-54m-53s,2.0,36.0,0.0,2.0,40.0,0.4184851612640373,0.7778978821189679,23.97743352928098,44.57026553758209
2025-05-23--16h-54m-53s,0.0,37.0,0.0,3.0,40.0,0.35083433461154634,0.0,20.101326681522107,0.0
2025-05-23--16h-54m-53s,1.0,37.0,0.0,2.0,40.0,0.35083433461154634,0.6084259956212019,20.101326681522107,34.860241695139976
2025-05-23--16h-54m-53s,0.0,37.0,0.0,3.0,40.0,0.35083433461154634,0.0,20.101326681522107,0.0
2025-05-23--16h-54m-57s,0.5,35.0,0.0,4.5,40.0,0.4771119283134781,0.3172771730595597,27.33649984771058,18.178642952154597
2025-05-23--16h-54m-57s,0.5,35.0,0.0,4.5,40.0,0.4771119283134781,0.3172771730595597,27.33649984771058,18.178642952154597
2025-05-23--16h-54m-57s,0.5,35.0,0.0,4.5,40.0,0.4771119283134781,0.3172771730595597,27.33649984771058,18.178642952154597
2025-05-23--16h-55m-01s,1.0,36.0,0.0,3.0,40.0,0.4184851612640373,0.517127578698283,23.97743352928098,29.629227729230948
2025-05-23--16h-55m-01s,0.0,38.0,0.0,2.0,40.0,0.26737780095162794,0.0,15.319619530017288,0.0
2025-05-23--16h-55m-05s,0.5,34.0,0.0,5.5,40.0,0.529728754461008,0.28872253391069386,30.351221917337636,16.54258264340555
2025-05-23--16h-55m-05s,0.5,33.0,0.0,6.5,40.0,0.5779882351930726,0.2667111521503259,33.11628648477786,15.281423367285226
2025-05-23--16h-55m-05s,0.0,32.0,1.0,7.0,40.0,0.6651859482529922,0.0,38.11234742630403,0.0
2025-05-23--16h-55m-05s,2.0,36.0,0.0,2.0,40.0,0.4184851612640373,0.7778978821189679,23.97743352928098,44.57026553758209
2025-05-23--16h-55m-08s,0.0,33.0,0.0,7.0,40.0,0.5779882351930726,0.0,33.11628648477786,0.0
2025-05-23--16h-55m-08s,1.0,36.0,0.0,3.0,40.0,0.4184851612640373,0.517127578698283,23.97743352928098,29.629227729230948
2025-05-23--16h-55m-08s,0.5,35.0,1.0,3.5,40.0,0.529728754461008,0.3564338525814142,30.351221917337636,20.422155428503196
2025-05-23--16h-55m-12s,0.0,36.0,0.0,4.0,40.0,0.4184851612640373,0.0,23.97743352928098,0.0
2025-05-23--16h-55m-12s,0.0,32.0,1.0,7.0,40.0,0.6651859482529922,0.0,38.11234742630403,0.0
2025-05-23--16h-55m-12s,1.0,34.0,0.0,5.0,40.0,0.529728754461008,0.4149717231447266,30.351221917337636,23.776128353464095
2025-05-23--16h-55m-16s,0.0,34.0,0.0,6.0,40.0,0.529728754461008,0.0,30.351221917337636,0.0
2025-05-23--16h-55m-16s,1.0,31.0,1.0,7.0,40.0,0.7052935019057298,0.3564338525814142,40.410340977200406,20.422155428503196
2025-05-23--16h-55m-16s,0.5,28.0,2.0,9.5,40.0,0.8501126936578869,0.2222659806251162,48.70786945709479,12.734902619155687
2025-05-23--16h-55m-20s,0.5,33.0,0.0,6.5,40.0,0.5779882351930726,0.2667111521503259,33.11628648477786,15.281423367285226
2025-05-23--16h-55m-20s,2.0,29.0,1.0,8.0,40.0,0.7803605868680022,0.45767422457177315,44.71136812588858,26.22280145988524
2025-05-23--16h-55m-20s,1.5,29.0,1.0,8.5,40.0,0.7803605868680022,0.3923710685423601,44.71136812588858,22.481206230515575
2025-05-23--16h-55m-24s,0.5,30.0,1.0,8.5,40.0,0.743593696754468,0.2345277804372816,42.604780496561794,13.437451997627068
2025-05-23--16h-55m-24s,0.0,30.0,2.0,8.0,40.0,0.7803605868680022,0.0,44.71136812588858,0.0
2025-05-23--16h-55m-24s,0.5,33.0,0.0,6.5,40.0,0.5779882351930726,0.2667111521503259,33.11628648477786,15.281423367285226
2025-05-23--16h-55m-28s,1.5,29.0,1.0,8.5,40.0,0.7803605868680022,0.3923710685423601,44.71136812588858,22.481206230515575
2025-05-23--16h-55m-28s,1.0,30.0,0.0,9.0,40.0,0.7052935019057298,0.3172771730595597,40.410340977200406,18.178642952154597
2025-05-23--16h-55m-28s,1.0,30.0,0.0,9.0,40.0,0.7052935019057298,0.3172771730595597,40.410340977200406,18.178642952154597
2025-05-23--16h-55m-32s,1.0,27.0,2.0,10.0,40.0,0.8834118874085803,0.30199125879106337,50.615772720197924,17.30282457857095
2025-05-23--16h-55m-32s,0.5,25.0,0.0,14.5,40.0,0.8834118874085803,0.18093000192997485,50.615772720197924,10.366525497881398
2025-05-23--16h-55m-32s,0.5,24.0,5.0,10.5,40.0,1.0675938620934229,0.2117463452419459,61.16862253202477,12.13217190968354
2025-05-23--16h-55m-36s,0.0,30.0,1.0,9.0,40.0,0.743593696754468,0.0,42.604780496561794,0.0
2025-05-23--16h-55m-36s,0.0,29.0,1.0,10.0,40.0,0.7803605868680022,0.0,44.71136812588858,0.0
2025-05-23--16h-55m-36s,0.5,21.0,3.0,15.5,40.0,1.0963423642624226,0.1751187949816745,62.81579037363115,10.03356786586669
2025-05-23--16h-55m-40s,1.5,26.0,1.0,11.5,40.0,0.8834118874085803,0.3418149295377484,50.615772720197924,19.5845528370746
2025-05-23--16h-55m-40s,1.0,26.0,1.0,12.0,40.0,0.8834118874085803,0.277062865907599,50.615772720197924,15.874532876304485
2025-05-23--16h-55m-40s,0.0,29.0,0.0,11.0,40.0,0.743593696754468,0.0,42.604780496561794,0.0
2025-05-23--16h-55m-44s,1.5,21.0,6.0,11.5,40.0,1.1802316167641536,0.3418149295377484,67.62229048848762,19.5845528370746
2025-05-23--16h-55m-44s,0.5,26.0,3.0,10.5,40.0,0.9474488427308994,0.2117463452419459,54.28481999303462,12.13217190968354
2025-05-23--16h-55m-44s,0.0,25.0,4.0,11.0,40.0,1.0086600878650032,0.0,57.791965997959466,0.0
2025-05-23--16h-55m-47s,0.5,25.0,3.0,11.5,40.0,0.9783698582266241,0.20259184530918437,56.05646367919827,11.607657699983509
2025-05-23--16h-55m-47s,0.5,26.0,1.0,12.5,40.0,0.8834118874085803,0.1945306253576709,50.615772720197924,11.145783819035133
2025-05-23--16h-55m-47s,1.0,22.0,2.0,15.0,40.0,1.0383828714675545,0.24907281986978974,59.4949560537663,14.270821369961142
2025-05-23--16h-55m-51s,0.0,12.0,5.0,23.0,40.0,1.392183159977425,0.0,79.76621937589276,0.0
2025-05-23--16h-55m-51s,0.5,20.0,4.0,15.5,40.0,1.1526235340514657,0.1751187949816745,66.04046386860252,10.03356786586669
2025-05-23--16h-55m-51s,0.0,25.0,2.0,13.0,40.0,0.9474488427308994,0.0,54.28481999303462,0.0
2025-05-23--16h-55m-55s,0.0,16.0,8.0,16.0,40.0,1.3663289246478492,0.0,78.28488080897003,0.0
2025-05-23--16h-55m-55s,0.0,21.0,5.0,14.0,40.0,1.1526235340514657,0.0,66.04046386860252,0.0
2025-05-23--16h-55m-55s,1.0,23.0,2.0,14.0,40.0,1.0086600878650032,0.25743972657095276,57.791965997959466,14.75020981151751
2025-05-23--16h-55m-59s,0.0,20.0,4.0,16.0,40.0,1.1526235340514657,0.0,66.04046386860252,0.0
2025-05-23--16h-55m-59s,1.0,22.0,6.0,11.0,40.0,1.1526235340514657,0.28872253391069386,66.04046386860252,16.54258264340555
2025-05-23--16h-55m-59s,0.5,19.0,6.0,14.5,40.0,1.234546524913781,0.18093000192997485,70.73430549010199,10.366525497881398
2025-05-23--16h-56m-03s,1.0,15.0,7.0,17.0,40.0,1.3663289246478492,0.2345277804372816,78.28488080897003,13.437451997627068
2025-05-23--16h-56m-03s,0.0,16.0,7.0,17.0,40.0,1.340335289368688,0.0,76.79555521327174,0.0
2025-05-23--16h-56m-07s,0.0,18.0,2.0,20.0,40.0,1.1526235340514657,0.0,66.04046386860252,0.0
2025-05-23--16h-56m-07s,1.5,15.0,9.0,14.5,40.0,1.4179172430137281,0.3068383014885344,81.24067372351213,17.580539668255746
2025-05-23--16h-56m-07s,0.5,14.0,9.0,16.5,40.0,1.4435496611240408,0.1698338530039141,82.70930309994775,9.730762995569496
2025-05-23--16h-56m-11s,0.0,17.0,9.0,14.0,40.0,1.3663289246478492,0.0,78.28488080897003,0.0
2025-05-23--16h-56m-11s,0.0,13.0,8.0,19.0,40.0,1.4435496611240408,0.0,82.70930309994775,0.0
2025-05-23--16h-56m-11s,0.5,13.0,8.0,18.5,40.0,1.4435496611240408,0.1605571994952417,82.70930309994775,9.19924990151734
2025-05-23--16h-56m-15s,0.5,10.0,7.0,22.5,40.0,1.4945804282889525,0.14580946590508773,85.63315068381198,8.354267009418201
