data_dir,C,SB,DB_V,DB_H,N
2025-07-03--16h-16m-56s,1.0,13.0,2.0,64.0,80.0
2025-07-03--16h-16m-56s,3.0,20.0,2.0,55.0,80.0
2025-07-03--16h-16m-56s,1.0,23.0,3.0,53.0,80.0
2025-07-03--16h-16m-56s,1.0,17.0,2.0,60.0,80.0
2025-07-03--16h-16m-56s,1.0,23.0,0.0,56.0,80.0
2025-07-03--16h-16m-56s,0.0,21.0,5.0,54.0,80.0
2025-07-03--16h-16m-56s,2.0,13.0,0.0,65.0,80.0
2025-07-03--16h-16m-56s,0.0,22.0,1.0,57.0,80.0
2025-07-03--16h-16m-56s,3.0,19.0,1.0,57.0,80.0
2025-07-03--16h-16m-56s,1.0,24.0,4.0,51.0,80.0
2025-07-03--16h-16m-56s,2.0,22.0,1.0,55.0,80.0
2025-07-03--16h-16m-56s,3.0,19.0,3.0,55.0,80.0
2025-07-03--16h-16m-56s,1.0,20.0,1.0,58.0,80.0
2025-07-03--16h-16m-56s,0.0,18.0,1.0,61.0,80.0
2025-07-03--16h-16m-56s,1.0,20.0,3.0,56.0,80.0
2025-07-03--16h-16m-56s,0.0,14.0,2.0,64.0,80.0
2025-07-03--16h-16m-56s,2.0,21.0,4.0,53.0,80.0
2025-07-03--16h-16m-56s,2.0,15.0,1.0,62.0,80.0
2025-07-03--16h-16m-56s,1.0,15.0,0.0,64.0,80.0
2025-07-03--16h-16m-56s,2.0,23.0,2.0,53.0,80.0
2025-07-03--16h-16m-56s,2.0,17.0,2.0,59.0,80.0
2025-07-03--16h-16m-56s,2.0,12.0,1.0,65.0,80.0
2025-07-03--16h-16m-56s,3.0,18.0,2.0,57.0,80.0
2025-07-03--16h-16m-56s,1.0,15.0,0.0,64.0,80.0
2025-07-03--16h-16m-56s,0.0,17.0,4.0,59.0,80.0
2025-07-03--16h-16m-56s,1.0,19.0,2.0,58.0,80.0
2025-07-03--16h-16m-56s,1.0,19.0,1.0,59.0,80.0
2025-07-03--16h-16m-56s,2.0,18.0,4.0,56.0,80.0
2025-07-03--16h-16m-56s,2.0,17.0,2.0,59.0,80.0
2025-07-03--16h-16m-56s,0.0,20.0,0.0,60.0,80.0
2025-07-03--16h-16m-56s,2.0,19.0,1.0,58.0,80.0
2025-07-03--16h-16m-56s,1.0,13.0,1.0,65.0,80.0
2025-07-03--16h-16m-56s,1.0,18.0,1.0,60.0,80.0
2025-07-03--16h-16m-56s,3.0,15.0,1.0,61.0,80.0
2025-07-03--16h-16m-56s,3.0,23.0,2.0,52.0,80.0
2025-07-03--16h-16m-56s,1.0,16.0,1.0,62.0,80.0
2025-07-03--16h-16m-56s,0.0,19.0,1.0,60.0,80.0
2025-07-03--16h-16m-56s,1.0,15.0,2.0,62.0,80.0
2025-07-03--16h-16m-56s,0.0,15.0,4.0,61.0,80.0
2025-07-03--16h-16m-56s,1.0,17.0,0.0,62.0,80.0
2025-07-03--16h-16m-56s,1.0,23.0,2.0,54.0,80.0
2025-07-03--16h-16m-56s,2.0,25.0,2.0,51.0,80.0
2025-07-03--16h-16m-56s,1.0,17.0,1.0,61.0,80.0
2025-07-03--16h-16m-56s,2.0,14.0,1.0,63.0,80.0
2025-07-03--16h-16m-56s,0.0,13.0,0.0,67.0,80.0
2025-07-03--16h-16m-56s,0.0,21.0,1.0,58.0,80.0
2025-07-03--16h-16m-56s,2.0,18.0,1.0,59.0,80.0
2025-07-03--16h-16m-56s,3.0,22.0,4.0,51.0,80.0
2025-07-03--16h-16m-56s,3.0,14.0,3.0,60.0,80.0
2025-07-03--16h-16m-56s,0.0,14.0,3.0,63.0,80.0
2025-07-03--16h-16m-56s,3.0,16.0,0.0,61.0,80.0
2025-07-03--16h-16m-56s,2.0,13.0,0.0,65.0,80.0
