data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate,theta_estimate_degrees,delta_phi_estimate_degrees
2025-05-23--18h-20m-26s,1.5,14.0,11.0,13.5,40.0,1.4945804282889525,0.3172771730595597,85.63315068381198,18.178642952154597
2025-05-23--18h-20m-26s,0.5,10.0,8.0,21.5,40.0,1.5200130804813765,0.14911291655672884,87.090334316262,8.543540789586979
2025-05-23--18h-20m-26s,1.0,9.0,12.0,18.0,40.0,1.6470122253008406,0.2281500639200517,94.36684931618802,13.07203575825892
2025-05-23--18h-20m-26s,0.5,10.0,12.0,17.5,40.0,1.6215795731084166,0.16500025197837404,92.909665683738,9.453818056955944
2025-05-23--18h-20m-26s,0.5,15.0,6.0,18.5,40.0,1.340335289368688,0.1605571994952417,76.79555521327174,9.19924990151734
2025-05-23--18h-20m-26s,1.5,8.0,10.0,20.5,40.0,1.6215795731084166,0.26042190721772407,92.909665683738,14.9210761763231
2025-05-23--18h-20m-26s,0.5,12.0,10.0,17.5,40.0,1.5200130804813765,0.16500025197837404,87.090334316262,9.453818056955944
2025-05-23--18h-20m-26s,1.5,15.0,9.0,14.5,40.0,1.4179172430137281,0.3068383014885344,81.24067372351213,17.580539668255746
2025-05-23--18h-20m-26s,1.5,13.0,13.0,12.5,40.0,1.5707963267948966,0.3288607044945678,90.0,18.842330415237676
2025-05-23--18h-20m-26s,0.5,4.0,15.0,20.5,40.0,1.8537445165690392,0.1526515855116385,106.21173709492504,8.746291585797271
2025-05-23--18h-20m-26s,1.0,18.0,7.0,14.0,40.0,1.2878481370207542,0.25743972657095276,73.78826290507496,14.75020981151751
2025-05-23--18h-20m-26s,0.5,11.0,12.0,16.5,40.0,1.596179763204715,0.1698338530039141,91.4543637758213,9.730762995569496
2025-05-23--18h-20m-26s,0.5,17.0,7.0,15.5,40.0,1.3141821007608674,0.1751187949816745,75.29708788523399,10.03356786586669
2025-05-23--18h-20m-26s,0.5,12.0,9.0,18.5,40.0,1.4945804282889525,0.1605571994952417,85.63315068381198,9.19924990151734
2025-05-23--18h-20m-26s,2.0,11.0,8.0,19.0,40.0,1.4945804282889525,0.30935108892340313,85.63315068381198,17.72451178308723
2025-05-23--18h-20m-26s,1.0,13.0,7.0,19.0,40.0,1.4179172430137281,0.2222659806251162,81.24067372351213,12.734902619155687
2025-05-23--18h-20m-26s,0.0,13.0,6.0,21.0,40.0,1.392183159977425,0.0,79.76621937589276,0.0
2025-05-23--18h-20m-26s,1.5,14.0,10.0,14.5,40.0,1.4690982728642359,0.3068383014885344,84.1731307250793,17.580539668255746
2025-05-23--18h-20m-26s,2.0,12.0,8.0,18.0,40.0,1.4690982728642359,0.3172771730595597,84.1731307250793,18.178642952154597
2025-05-23--18h-20m-26s,0.0,9.0,10.0,21.0,40.0,1.596179763204715,0.0,91.4543637758213,0.0
2025-05-23--18h-20m-26s,0.0,14.0,10.0,16.0,40.0,1.4690982728642359,0.0,84.1731307250793,0.0
2025-05-23--18h-20m-26s,0.5,11.0,8.0,20.5,40.0,1.4945804282889525,0.1526515855116385,85.63315068381198,8.746291585797271
2025-05-23--18h-20m-26s,2.5,17.0,4.0,16.5,40.0,1.234546524913781,0.3661616062010482,70.73430549010199,20.979514655051336
2025-05-23--18h-20m-26s,1.0,13.0,9.0,17.0,40.0,1.4690982728642359,0.2345277804372816,84.1731307250793,13.437451997627068
2025-05-23--18h-20m-26s,0.0,15.0,10.0,15.0,40.0,1.4435496611240408,0.0,82.70930309994775,0.0
2025-05-23--18h-20m-26s,1.5,13.0,8.0,17.5,40.0,1.4435496611240408,0.2807909935801022,82.70930309994775,16.08813885742485
2025-05-23--18h-20m-26s,0.5,17.0,7.0,15.5,40.0,1.3141821007608674,0.1751187949816745,75.29708788523399,10.03356786586669
2025-05-23--18h-20m-26s,0.0,13.0,9.0,18.0,40.0,1.4690982728642359,0.0,84.1731307250793,0.0
2025-05-23--18h-20m-26s,1.5,22.0,4.0,12.5,40.0,1.0963423642624226,0.3288607044945678,62.81579037363115,18.842330415237676
2025-05-23--18h-20m-26s,0.5,12.0,7.0,20.5,40.0,1.4435496611240408,0.1526515855116385,82.70930309994775,8.746291585797271
2025-05-23--18h-20m-26s,0.5,12.0,15.0,12.5,40.0,1.6470122253008406,0.1945306253576709,94.36684931618802,11.145783819035133
