data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate
2025-05-23--18h-27m-01s,0.5,5.0,18.0,16.5,40.0,1.9070461286760123,0.1698338530039141
2025-05-23--18h-27m-01s,1.5,11.0,11.0,16.5,40.0,1.5707963267948966,0.28872253391069386
2025-05-23--18h-27m-01s,0.0,6.0,19.0,15.0,40.0,1.9070461286760123,0.0
2025-05-23--18h-27m-01s,1.0,6.0,15.0,18.0,40.0,1.8012573642211054,0.2281500639200517
2025-05-23--18h-27m-01s,1.0,6.0,19.0,14.0,40.0,1.9070461286760123,0.25743972657095276
2025-05-23--18h-27m-01s,1.0,2.0,16.0,21.0,40.0,1.9340633550810982,0.2117463452419459
2025-05-23--18h-27m-01s,0.0,12.0,10.0,18.0,40.0,1.5200130804813765,0.0
2025-05-23--18h-27m-01s,0.5,6.0,14.0,19.5,40.0,1.7752637289419442,0.15645478250875602
2025-05-23--18h-27m-01s,1.0,6.0,13.0,20.0,40.0,1.7494094936123683,0.21681495800151976
2025-05-23--18h-27m-01s,0.5,11.0,12.0,16.5,40.0,1.596179763204715,0.1698338530039141
2025-05-23--18h-27m-01s,1.0,11.0,11.0,17.0,40.0,1.5707963267948966,0.2345277804372816
2025-05-23--18h-27m-01s,0.0,10.0,12.0,18.0,40.0,1.6215795731084166,0.0
2025-05-23--18h-27m-01s,0.5,5.0,14.0,20.5,40.0,1.8012573642211054,0.1526515855116385
2025-05-23--18h-27m-01s,1.5,6.0,17.0,15.5,40.0,1.8537445165690392,0.2973670565919592
2025-05-23--18h-27m-01s,1.0,6.0,16.0,17.0,40.0,1.8274105528289257,0.2345277804372816
2025-05-23--18h-27m-01s,0.5,8.0,13.0,18.5,40.0,1.6980429924657525,0.1605571994952417
2025-05-23--18h-27m-01s,1.0,6.0,14.0,19.0,40.0,1.7752637289419442,0.2222659806251162
2025-05-23--18h-27m-01s,0.5,8.0,10.0,21.5,40.0,1.6215795731084166,0.14911291655672884
2025-05-23--18h-27m-01s,0.5,5.0,21.0,13.5,40.0,1.9889691195383277,0.18736105494478966
2025-05-23--18h-27m-01s,0.5,7.0,13.0,19.5,40.0,1.7236754105760652,0.15645478250875602
2025-05-23--18h-27m-01s,0.0,6.0,18.0,16.0,40.0,1.8802817296301395,0.0
2025-05-23--18h-27m-01s,0.0,8.0,12.0,20.0,40.0,1.6724943807255575,0.0
2025-05-23--18h-27m-01s,0.5,12.0,13.0,14.5,40.0,1.596179763204715,0.18093000192997485
2025-05-23--18h-27m-01s,1.0,4.0,17.0,18.0,40.0,1.9070461286760123,0.2281500639200517
2025-05-23--18h-27m-01s,1.0,7.0,15.0,17.0,40.0,1.7752637289419442,0.2345277804372816
2025-05-23--18h-27m-01s,0.5,7.0,11.0,21.5,40.0,1.6724943807255575,0.14911291655672884
2025-05-23--18h-27m-01s,0.5,6.0,15.0,18.5,40.0,1.8012573642211054,0.1605571994952417
2025-05-23--18h-27m-01s,0.5,8.0,14.0,17.5,40.0,1.7236754105760652,0.16500025197837404
2025-05-23--18h-27m-01s,0.5,4.0,20.0,15.5,40.0,1.9889691195383277,0.1751187949816745
2025-05-23--18h-27m-01s,1.5,7.0,12.0,19.5,40.0,1.6980429924657525,0.2667111521503259
2025-05-23--18h-27m-01s,1.0,6.0,12.0,21.0,40.0,1.7236754105760652,0.2117463452419459
2025-05-23--18h-27m-01s,0.5,7.0,19.0,13.5,40.0,1.8802817296301395,0.18736105494478966
2025-05-23--18h-27m-01s,0.5,10.0,11.0,18.5,40.0,1.596179763204715,0.1605571994952417
2025-05-23--18h-27m-01s,0.5,7.0,16.0,16.5,40.0,1.8012573642211054,0.1698338530039141
2025-05-23--18h-27m-01s,0.5,5.0,21.0,13.5,40.0,1.9889691195383277,0.18736105494478966
2025-05-23--18h-27m-01s,1.0,10.0,13.0,16.0,40.0,1.6470122253008406,0.2414722726357701
2025-05-23--18h-27m-01s,0.0,11.0,14.0,15.0,40.0,1.6470122253008406,0.0
2025-05-23--18h-27m-01s,0.0,8.0,15.0,17.0,40.0,1.7494094936123683,0.0
2025-05-23--18h-27m-01s,1.0,11.0,10.0,18.0,40.0,1.5454128903850783,0.2281500639200517
2025-05-23--18h-27m-01s,0.5,8.0,14.0,17.5,40.0,1.7236754105760652,0.16500025197837404
2025-05-23--18h-27m-01s,0.0,5.0,18.0,17.0,40.0,1.9070461286760123,0.0
2025-05-23--18h-27m-01s,0.5,6.0,14.0,19.5,40.0,1.7752637289419442,0.15645478250875602
2025-05-23--18h-27m-01s,2.0,13.0,7.0,18.0,40.0,1.4179172430137281,0.3172771730595597
2025-05-23--18h-27m-01s,1.5,8.0,12.0,18.5,40.0,1.6724943807255575,0.27347947429872654
2025-05-23--18h-27m-01s,1.0,7.0,15.0,17.0,40.0,1.7752637289419442,0.2345277804372816
2025-05-23--18h-27m-01s,0.5,10.0,8.0,21.5,40.0,1.5200130804813765,0.14911291655672884
2025-05-23--18h-27m-01s,0.5,10.0,15.0,14.5,40.0,1.6980429924657525,0.18093000192997485
2025-05-23--18h-27m-01s,0.0,7.0,16.0,17.0,40.0,1.8012573642211054,0.0
2025-05-23--18h-27m-01s,1.5,9.0,9.0,20.5,40.0,1.5707963267948966,0.26042190721772407
2025-05-23--18h-27m-01s,2.0,9.0,13.0,16.0,40.0,1.6724943807255575,0.3351499755574887
2025-05-23--18h-27m-01s,1.5,7.0,16.0,15.5,40.0,1.8012573642211054,0.2973670565919592
2025-05-23--18h-27m-01s,0.0,11.0,16.0,13.0,40.0,1.6980429924657525,0.0
2025-05-23--18h-27m-01s,2.0,9.0,14.0,15.0,40.0,1.6980429924657525,0.34530025960764427
2025-05-23--18h-27m-01s,0.5,7.0,12.0,20.5,40.0,1.6980429924657525,0.1526515855116385
2025-05-23--18h-27m-01s,1.0,7.0,11.0,21.0,40.0,1.6724943807255575,0.2117463452419459
2025-05-23--18h-27m-01s,1.0,11.0,13.0,15.0,40.0,1.6215795731084166,0.24907281986978974
2025-05-23--18h-27m-01s,0.5,10.0,15.0,14.5,40.0,1.6980429924657525,0.18093000192997485
2025-05-23--18h-27m-01s,0.0,9.0,13.0,18.0,40.0,1.6724943807255575,0.0
2025-05-23--18h-27m-01s,1.5,7.0,14.0,17.5,40.0,1.7494094936123683,0.2807909935801022
2025-05-23--18h-27m-01s,1.5,10.0,15.0,13.5,40.0,1.6980429924657525,0.3172771730595597
2025-05-23--18h-27m-01s,0.5,7.0,15.0,17.5,40.0,1.7752637289419442,0.16500025197837404
2025-05-23--18h-27m-01s,1.0,5.0,17.0,17.0,40.0,1.8802817296301395,0.2345277804372816
2025-05-23--18h-27m-01s,0.0,9.0,13.0,18.0,40.0,1.6724943807255575,0.0
2025-05-23--18h-27m-01s,0.0,3.0,19.0,18.0,40.0,1.9889691195383277,0.0
2025-05-23--18h-27m-01s,0.0,8.0,11.0,21.0,40.0,1.6470122253008406,0.0
2025-05-23--18h-27m-01s,0.5,8.0,13.0,18.5,40.0,1.6980429924657525,0.1605571994952417
2025-05-23--18h-27m-01s,0.0,5.0,16.0,19.0,40.0,1.8537445165690392,0.0
2025-05-23--18h-27m-01s,0.0,7.0,13.0,20.0,40.0,1.7236754105760652,0.0
2025-05-23--18h-27m-01s,0.0,8.0,17.0,15.0,40.0,1.8012573642211054,0.0
2025-05-23--18h-27m-01s,0.5,11.0,14.0,14.5,40.0,1.6470122253008406,0.18093000192997485
2025-05-23--18h-27m-01s,1.0,10.0,12.0,17.0,40.0,1.6215795731084166,0.2345277804372816
2025-05-23--18h-27m-01s,1.0,6.0,12.0,21.0,40.0,1.7236754105760652,0.2117463452419459
2025-05-23--18h-27m-01s,0.5,10.0,11.0,18.5,40.0,1.596179763204715,0.1605571994952417
2025-05-23--18h-27m-01s,1.0,4.0,18.0,17.0,40.0,1.9340633550810982,0.2345277804372816
2025-05-23--18h-27m-01s,1.0,6.0,16.0,17.0,40.0,1.8274105528289257,0.2345277804372816
2025-05-23--18h-27m-01s,0.5,10.0,12.0,17.5,40.0,1.6215795731084166,0.16500025197837404
2025-05-23--18h-27m-01s,0.5,13.0,9.0,17.5,40.0,1.4690982728642359,0.16500025197837404
2025-05-23--18h-27m-01s,1.0,5.0,14.0,20.0,40.0,1.8012573642211054,0.21681495800151976
2025-05-23--18h-27m-01s,3.0,4.0,12.0,21.0,40.0,1.7752637289419442,0.3564338525814142
2025-05-23--18h-27m-01s,1.0,5.0,14.0,20.0,40.0,1.8012573642211054,0.21681495800151976
2025-05-23--18h-27m-01s,1.5,3.0,11.0,24.5,40.0,1.7752637289419442,0.23908933466398485
2025-05-23--18h-27m-01s,1.0,10.0,13.0,16.0,40.0,1.6470122253008406,0.2414722726357701
2025-05-23--18h-27m-01s,0.5,9.0,15.0,15.5,40.0,1.7236754105760652,0.1751187949816745
2025-05-23--18h-27m-01s,0.0,14.0,6.0,20.0,40.0,1.3663289246478492,0.0
2025-05-23--18h-27m-01s,0.5,6.0,14.0,19.5,40.0,1.7752637289419442,0.15645478250875602
2025-05-23--18h-27m-01s,0.5,10.0,13.0,16.5,40.0,1.6470122253008406,0.1698338530039141
2025-05-23--18h-27m-01s,0.0,6.0,18.0,16.0,40.0,1.8802817296301395,0.0
2025-05-23--18h-27m-01s,1.0,11.0,10.0,18.0,40.0,1.5454128903850783,0.2281500639200517
2025-05-23--18h-27m-01s,1.0,7.0,14.0,18.0,40.0,1.7494094936123683,0.2281500639200517
2025-05-23--18h-27m-01s,1.5,6.0,14.0,18.5,40.0,1.7752637289419442,0.27347947429872654
2025-05-23--18h-27m-01s,1.0,12.0,10.0,17.0,40.0,1.5200130804813765,0.2345277804372816
2025-05-23--18h-27m-01s,0.5,6.0,15.0,18.5,40.0,1.8012573642211054,0.1605571994952417
2025-05-23--18h-27m-01s,0.0,6.0,13.0,21.0,40.0,1.7494094936123683,0.0
2025-05-23--18h-27m-01s,1.0,10.0,11.0,18.0,40.0,1.596179763204715,0.2281500639200517
2025-05-23--18h-27m-01s,0.0,9.0,16.0,15.0,40.0,1.7494094936123683,0.0
2025-05-23--18h-27m-01s,0.5,6.0,14.0,19.5,40.0,1.7752637289419442,0.15645478250875602
2025-05-23--18h-27m-01s,1.5,10.0,15.0,13.5,40.0,1.6980429924657525,0.3172771730595597
2025-05-23--18h-27m-01s,1.0,7.0,13.0,19.0,40.0,1.7236754105760652,0.2222659806251162
2025-05-23--18h-27m-01s,0.5,8.0,12.0,19.5,40.0,1.6724943807255575,0.15645478250875602
2025-05-23--18h-27m-01s,0.0,5.0,14.0,21.0,40.0,1.8012573642211054,0.0
2025-05-23--18h-27m-01s,1.0,6.0,9.0,24.0,40.0,1.6470122253008406,0.1984385210822072
2025-05-23--18h-27m-01s,1.0,6.0,17.0,16.0,40.0,1.8537445165690392,0.2414722726357701
2025-05-23--18h-27m-01s,0.0,8.0,14.0,18.0,40.0,1.7236754105760652,0.0
2025-05-23--18h-27m-01s,0.0,5.0,18.0,17.0,40.0,1.9070461286760123,0.0
2025-05-23--18h-27m-01s,0.5,9.0,14.0,16.5,40.0,1.6980429924657525,0.1698338530039141
2025-05-23--18h-27m-01s,0.5,5.0,13.0,21.5,40.0,1.7752637289419442,0.14911291655672884
2025-05-23--18h-27m-01s,0.5,8.0,13.0,18.5,40.0,1.6980429924657525,0.1605571994952417
2025-05-23--18h-27m-01s,0.5,8.0,12.0,19.5,40.0,1.6724943807255575,0.15645478250875602
2025-05-23--18h-27m-01s,0.0,8.0,14.0,18.0,40.0,1.7236754105760652,0.0
2025-05-23--18h-27m-01s,0.5,7.0,13.0,19.5,40.0,1.7236754105760652,0.15645478250875602
2025-05-23--18h-27m-01s,0.5,3.0,16.0,20.5,40.0,1.9070461286760123,0.1526515855116385
2025-05-23--18h-27m-01s,1.0,6.0,16.0,17.0,40.0,1.8274105528289257,0.2345277804372816
2025-05-23--18h-27m-01s,0.5,3.0,14.0,22.5,40.0,1.8537445165690392,0.14580946590508773
2025-05-23--18h-27m-01s,0.0,7.0,16.0,17.0,40.0,1.8012573642211054,0.0
2025-05-23--18h-27m-01s,0.5,14.0,12.0,13.5,40.0,1.5200130804813765,0.18736105494478966
2025-05-23--18h-27m-01s,1.0,6.0,18.0,15.0,40.0,1.8802817296301395,0.24907281986978974
2025-05-23--18h-27m-01s,0.0,5.0,17.0,18.0,40.0,1.8802817296301395,0.0
2025-05-23--18h-27m-01s,2.0,7.0,10.0,21.0,40.0,1.6470122253008406,0.29513327136964934
2025-05-23--18h-27m-01s,1.0,4.0,13.0,22.0,40.0,1.8012573642211054,0.20701741667234583
2025-05-23--18h-27m-01s,1.5,3.0,19.0,16.5,40.0,1.9889691195383277,0.28872253391069386
2025-05-23--18h-27m-01s,0.5,8.0,16.0,15.5,40.0,1.7752637289419442,0.1751187949816745
2025-05-23--18h-27m-01s,1.0,2.0,16.0,21.0,40.0,1.9340633550810982,0.2117463452419459
2025-05-23--18h-27m-01s,0.0,7.0,13.0,20.0,40.0,1.7236754105760652,0.0
2025-05-23--18h-27m-01s,0.0,5.0,17.0,18.0,40.0,1.8802817296301395,0.0
2025-05-23--18h-27m-01s,0.5,8.0,16.0,15.5,40.0,1.7752637289419442,0.1751187949816745
2025-05-23--18h-27m-01s,1.0,13.0,10.0,16.0,40.0,1.4945804282889525,0.2414722726357701
2025-05-23--18h-27m-01s,0.5,7.0,15.0,17.5,40.0,1.7752637289419442,0.16500025197837404
2025-05-23--18h-27m-01s,0.0,9.0,19.0,12.0,40.0,1.8274105528289257,0.0
2025-05-23--18h-27m-01s,1.0,6.0,20.0,13.0,40.0,1.9340633550810982,0.2667111521503259
2025-05-23--18h-27m-01s,2.0,3.0,10.0,25.0,40.0,1.7494094936123683,0.27173916843537416
2025-05-23--18h-27m-01s,0.0,10.0,17.0,13.0,40.0,1.7494094936123683,0.0
2025-05-23--18h-27m-01s,1.5,7.0,14.0,17.5,40.0,1.7494094936123683,0.2807909935801022
2025-05-23--18h-27m-01s,1.0,9.0,18.0,12.0,40.0,1.8012573642211054,0.277062865907599
2025-05-23--18h-27m-01s,1.5,4.0,20.0,14.5,40.0,1.9889691195383277,0.3068383014885344
2025-05-23--18h-27m-01s,0.0,9.0,17.0,14.0,40.0,1.7752637289419442,0.0
2025-05-23--18h-27m-01s,0.5,14.0,11.0,14.5,40.0,1.4945804282889525,0.18093000192997485
2025-05-23--18h-27m-01s,2.0,4.0,20.0,14.0,40.0,1.9889691195383277,0.3564338525814142
2025-05-23--18h-27m-01s,1.0,9.0,13.0,17.0,40.0,1.6724943807255575,0.2345277804372816
2025-05-23--18h-27m-01s,0.0,7.0,13.0,20.0,40.0,1.7236754105760652,0.0
2025-05-23--18h-27m-01s,0.0,7.0,18.0,15.0,40.0,1.8537445165690392,0.0
2025-05-23--18h-27m-01s,0.0,8.0,15.0,17.0,40.0,1.7494094936123683,0.0
2025-05-23--18h-27m-01s,0.0,9.0,15.0,16.0,40.0,1.7236754105760652,0.0
2025-05-23--18h-27m-01s,1.0,5.0,16.0,18.0,40.0,1.8537445165690392,0.2281500639200517
2025-05-23--18h-27m-01s,0.0,12.0,13.0,15.0,40.0,1.596179763204715,0.0
2025-05-23--18h-27m-01s,1.0,8.0,12.0,19.0,40.0,1.6724943807255575,0.2222659806251162
2025-05-23--18h-27m-01s,0.5,9.0,12.0,18.5,40.0,1.6470122253008406,0.1605571994952417
2025-05-23--18h-27m-01s,0.5,12.0,15.0,12.5,40.0,1.6470122253008406,0.1945306253576709
2025-05-23--18h-27m-01s,0.0,7.0,11.0,22.0,40.0,1.6724943807255575,0.0
2025-05-23--18h-27m-01s,0.0,6.0,14.0,20.0,40.0,1.7752637289419442,0.0
2025-05-23--18h-27m-01s,0.5,10.0,14.0,15.5,40.0,1.6724943807255575,0.1751187949816745
2025-05-23--18h-27m-01s,0.5,5.0,13.0,21.5,40.0,1.7752637289419442,0.14911291655672884
2025-05-23--18h-27m-01s,0.5,9.0,11.0,19.5,40.0,1.6215795731084166,0.15645478250875602
2025-05-23--18h-27m-01s,1.5,7.0,16.0,15.5,40.0,1.8012573642211054,0.2973670565919592
2025-05-23--18h-27m-01s,0.0,13.0,13.0,14.0,40.0,1.5707963267948966,0.0
2025-05-23--18h-27m-01s,1.0,13.0,10.0,16.0,40.0,1.4945804282889525,0.2414722726357701
2025-05-23--18h-27m-01s,0.0,5.0,17.0,18.0,40.0,1.8802817296301395,0.0
2025-05-23--18h-27m-01s,0.0,6.0,14.0,20.0,40.0,1.7752637289419442,0.0
2025-05-23--18h-27m-01s,1.5,4.0,18.0,16.5,40.0,1.9340633550810982,0.28872253391069386
2025-05-23--18h-27m-01s,1.0,8.0,11.0,20.0,40.0,1.6470122253008406,0.21681495800151976
2025-05-23--18h-27m-01s,0.0,6.0,15.0,19.0,40.0,1.8012573642211054,0.0
2025-05-23--18h-27m-01s,0.0,4.0,20.0,16.0,40.0,1.9889691195383277,0.0
2025-05-23--18h-27m-01s,0.5,10.0,17.0,12.5,40.0,1.7494094936123683,0.1945306253576709
2025-05-23--18h-27m-01s,0.5,9.0,15.0,15.5,40.0,1.7236754105760652,0.1751187949816745
2025-05-23--18h-27m-01s,1.0,6.0,15.0,18.0,40.0,1.8012573642211054,0.2281500639200517
2025-05-23--18h-27m-01s,0.5,11.0,11.0,17.5,40.0,1.5707963267948966,0.16500025197837404
2025-05-23--18h-27m-01s,0.5,6.0,17.0,16.5,40.0,1.8537445165690392,0.1698338530039141
2025-05-23--18h-27m-01s,2.0,16.0,29.0,33.0,80.0,1.7365286047356838,0.2379240274333956
2025-05-23--18h-27m-01s,1.0,12.0,34.0,33.0,80.0,1.8537445165690392,0.1698338530039141
2025-05-23--18h-27m-01s,2.0,8.0,35.0,35.0,80.0,1.9205214618840323,0.23127297773942243
2025-05-23--18h-27m-01s,0.5,18.0,24.0,37.5,80.0,1.6470122253008406,0.11326395830626709
2025-05-23--18h-27m-01s,1.5,17.0,25.0,36.5,80.0,1.6724943807255575,0.1971098350241604
