data_dir,C,DB_H,DB_V,SB,N
2025-05-27--13h-54m-02s,2.5,13.0,57.0,47.5,120.0
2025-05-27--13h-54m-02s,2.25,14.0,61.0,42.75,120.0
2025-05-27--13h-54m-02s,2.75,11.0,56.0,50.25,120.0
2025-05-27--13h-54m-02s,1.0,12.0,56.0,51.0,120.0
2025-05-27--13h-54m-02s,2.0,8.0,63.0,47.0,120.0
2025-05-27--13h-54m-02s,1.25,8.0,66.0,44.75,120.0
2025-05-27--13h-54m-02s,2.75,7.0,68.0,42.25,120.0
2025-05-27--13h-54m-02s,4.0,7.0,58.0,51.0,120.0
2025-05-27--13h-54m-02s,3.5,18.0,58.0,40.5,120.0
2025-05-27--13h-54m-02s,1.75,14.0,58.0,46.25,120.0
2025-05-27--13h-54m-02s,2.75,25.0,59.0,33.25,120.0
2025-05-27--13h-54m-02s,3.0,17.0,51.0,49.0,120.0
2025-05-27--13h-54m-02s,2.75,7.0,62.0,48.25,120.0
2025-05-27--13h-54m-02s,2.75,11.0,55.0,51.25,120.0
2025-05-27--13h-54m-02s,3.0,10.0,55.0,52.0,120.0
2025-05-27--13h-54m-02s,3.25,14.0,55.0,47.75,120.0
2025-05-27--13h-54m-02s,2.75,11.0,60.0,46.25,120.0
2025-05-27--13h-54m-02s,1.0,11.0,61.0,47.0,120.0
2025-05-27--13h-54m-02s,2.5,20.0,57.0,40.5,120.0
2025-05-27--13h-54m-02s,1.75,15.0,63.0,40.25,120.0
2025-05-27--13h-54m-02s,2.75,11.0,62.0,44.25,120.0
2025-05-27--13h-54m-02s,2.75,9.0,59.0,49.25,120.0
2025-05-27--13h-54m-02s,2.0,19.0,58.0,41.0,120.0
