data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-28--11h-40m-23s,0,0.0,1.0,0.0,1.0,2.0
2025-05-28--11h-40m-23s,1,0.0,0.0,4.0,1.5,5.5
2025-05-28--11h-40m-23s,2,0.0,1.0,1.0,1.5,3.5
2025-05-28--11h-40m-23s,3,0.0,1.0,2.0,0.5,3.5
2025-05-28--11h-40m-23s,4,0.0,0.0,0.0,2.0,2.0
2025-05-28--11h-40m-23s,5,0.0,2.0,0.0,1.5,3.5
2025-05-28--11h-40m-23s,6,0.0,0.0,1.0,1.5,2.5
2025-05-28--11h-40m-23s,7,0.0,1.0,0.0,2.0,3.0
2025-05-28--11h-40m-23s,8,0.0,2.0,2.0,2.0,6.0
2025-05-28--11h-40m-23s,9,0.0,0.0,3.0,0.5,3.5
2025-05-28--11h-40m-23s,10,0.0,2.0,2.0,0.5,4.5
2025-05-28--11h-40m-23s,11,0.0,3.0,1.0,2.5,6.5
2025-05-28--11h-40m-23s,12,0.0,0.0,4.0,2.5,6.5
2025-05-28--11h-40m-23s,13,0.0,0.0,0.0,2.0,2.0
2025-05-28--11h-40m-23s,14,0.0,1.0,0.0,1.5,2.5
2025-05-28--11h-40m-23s,15,0.0,0.0,1.0,1.5,2.5
2025-05-28--11h-40m-23s,16,0.0,0.0,4.0,2.0,6.0
2025-05-28--11h-40m-23s,17,0.0,0.0,1.0,0.5,1.5
2025-05-28--11h-40m-23s,18,0.0,1.0,1.0,3.5,5.5
2025-05-28--11h-40m-23s,19,0.5,1.0,3.0,1.5,6.0
2025-05-28--11h-40m-23s,20,0.0,1.0,0.0,2.0,3.0
2025-05-28--11h-40m-23s,21,0.0,2.0,3.0,1.5,6.5
2025-05-28--11h-40m-23s,22,0.0,1.0,1.0,1.5,3.5
2025-05-28--11h-40m-23s,23,0.0,0.0,4.0,3.0,7.0
2025-05-28--11h-40m-23s,24,0.0,0.0,4.0,1.0,5.0
2025-05-28--11h-40m-23s,25,0.0,0.0,0.0,1.5,1.5
2025-05-28--11h-40m-23s,26,0.5,0.0,3.0,2.5,6.0
2025-05-28--11h-40m-23s,27,0.0,1.0,6.0,2.5,9.5
2025-05-28--11h-40m-23s,28,0.0,0.0,1.0,4.0,5.0
2025-05-28--11h-40m-23s,29,0.0,1.0,3.0,2.0,6.0
2025-05-28--11h-40m-23s,30,0.5,2.0,2.0,2.5,7.0
2025-05-28--11h-40m-23s,31,0.5,0.0,2.0,2.0,4.5
