data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-05-28--11h-41m-17s,0.5,0.0,31.0,8.5,40.0,,2.4764067053368013,0.2345277804372816
2025-05-28--11h-41m-17s,1.0,0.0,32.0,7.0,40.0,,2.5186801516870747,0.3564338525814142
2025-05-28--11h-41m-17s,1.0,1.0,33.0,5.0,40.0,,2.5186801516870747,0.4149717231447266
2025-05-28--11h-41m-17s,0.5,0.0,34.0,5.5,40.0,,2.6118638991287852,0.28872253391069386
2025-05-28--11h-41m-17s,1.0,1.0,32.0,6.0,40.0,,2.4764067053368013,0.38237550466972126
2025-05-28--11h-41m-17s,1.0,1.0,30.0,8.0,40.0,,2.397998956835325,0.3351499755574887
2025-05-28--11h-41m-17s,0.5,1.0,37.0,1.5,40.0,,2.723107492325756,0.517127578698283
2025-05-28--11h-41m-17s,0.0,0.0,35.0,5.0,40.0,,2.664480725276315,0.0
2025-05-28--11h-41m-17s,0.5,0.0,33.0,6.5,40.0,,2.5636044183967206,0.2667111521503259
2025-05-28--11h-41m-17s,1.5,0.0,63.0,15.5,80.0,,2.497245997640392,0.2973670565919592
2025-05-28--11h-41m-17s,1.5,1.0,67.0,10.5,80.0,,2.5636044183967206,0.3564338525814142
2025-05-28--11h-41m-17s,2.0,2.0,62.0,14.0,80.0,,2.4362991516840635,0.3564338525814142
2025-05-28--11h-41m-17s,0.5,1.0,72.0,6.5,80.0,,2.6929005650406266,0.2667111521503259
2025-05-28--11h-41m-17s,2.5,1.0,96.0,20.5,120.0,,2.5043216347459243,0.331333611531513
2025-05-28--11h-41m-17s,2.5,2.0,96.0,19.5,120.0,,2.4902363784676944,0.33910149069374784
2025-05-28--11h-41m-17s,1.0,1.0,105.0,13.0,120.0,,2.6463736102555173,0.2667111521503259
2025-05-28--11h-41m-17s,3.0,1.0,130.0,26.0,160.0,,2.529640129732977,0.3229130631921223
2025-05-28--11h-41m-17s,2.5,3.0,134.0,20.5,160.0,,2.552091787281002,0.331333611531513
2025-05-28--11h-41m-17s,4.0,2.0,162.0,32.0,200.0,,2.5186801516870747,0.3351499755574887
2025-05-28--11h-41m-17s,10.0,7.0,483.0,92.5,592.5,7643.0,2.5245784389128767,0.3132388790388261
