detector_a_name,detector_b_name,estimation_label,tomography_setting_a,tomography_setting_b,repetition,coincidences,timestamp
9,12,DB_H,H,H,0,0,2025-05-28--11h-42m-25s-420202
9,11,SB,H,H,0,0,2025-05-28--11h-42m-25s-420202
9,10,SB,H,H,0,0,2025-05-28--11h-42m-25s-420202
11,12,SB,H,H,0,0,2025-05-28--11h-42m-25s-420202
10,12,SB,H,H,0,0,2025-05-28--11h-42m-25s-420202
10,11,DB_V,H,H,0,2,2025-05-28--11h-42m-25s-420202
1,9,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
1,12,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
1,11,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
1,10,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
1,4,DB_H,H,H,0,0,2025-05-28--11h-42m-25s-420202
1,7,SB,H,H,0,0,2025-05-28--11h-42m-25s-420202
1,2,SB,H,H,0,0,2025-05-28--11h-42m-25s-420202
4,9,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
4,12,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
4,11,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
4,10,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
4,7,SB,H,H,0,0,2025-05-28--11h-42m-25s-420202
7,9,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
7,12,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
7,11,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
7,10,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
2,9,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
2,12,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
2,11,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
2,10,C,H,H,0,0,2025-05-28--11h-42m-25s-420202
2,4,SB,H,H,0,0,2025-05-28--11h-42m-25s-420202
2,7,DB_V,H,H,0,0,2025-05-28--11h-42m-25s-420202
9,12,DB_H,H,H,1,0,2025-05-28--11h-42m-25s-447042
9,11,SB,H,H,1,0,2025-05-28--11h-42m-25s-447042
9,10,SB,H,H,1,0,2025-05-28--11h-42m-25s-447042
11,12,SB,H,H,1,0,2025-05-28--11h-42m-25s-447042
10,12,SB,H,H,1,0,2025-05-28--11h-42m-25s-447042
10,11,DB_V,H,H,1,0,2025-05-28--11h-42m-25s-447042
1,9,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
1,12,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
1,11,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
1,10,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
1,4,DB_H,H,H,1,0,2025-05-28--11h-42m-25s-447042
1,7,SB,H,H,1,0,2025-05-28--11h-42m-25s-447042
1,2,SB,H,H,1,0,2025-05-28--11h-42m-25s-447042
4,9,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
4,12,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
4,11,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
4,10,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
4,7,SB,H,H,1,0,2025-05-28--11h-42m-25s-447042
7,9,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
7,12,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
7,11,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
7,10,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
2,9,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
2,12,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
2,11,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
2,10,C,H,H,1,0,2025-05-28--11h-42m-25s-447042
2,4,SB,H,H,1,0,2025-05-28--11h-42m-25s-447042
2,7,DB_V,H,H,1,2,2025-05-28--11h-42m-25s-447042
9,12,DB_H,H,H,2,0,2025-05-28--11h-42m-25s-466754
9,11,SB,H,H,2,0,2025-05-28--11h-42m-25s-466754
9,10,SB,H,H,2,0,2025-05-28--11h-42m-25s-466754
11,12,SB,H,H,2,0,2025-05-28--11h-42m-25s-466754
10,12,SB,H,H,2,0,2025-05-28--11h-42m-25s-466754
10,11,DB_V,H,H,2,2,2025-05-28--11h-42m-25s-466754
1,9,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
1,12,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
1,11,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
1,10,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
1,4,DB_H,H,H,2,0,2025-05-28--11h-42m-25s-466754
1,7,SB,H,H,2,0,2025-05-28--11h-42m-25s-466754
1,2,SB,H,H,2,0,2025-05-28--11h-42m-25s-466754
4,9,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
4,12,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
4,11,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
4,10,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
4,7,SB,H,H,2,0,2025-05-28--11h-42m-25s-466754
7,9,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
7,12,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
7,11,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
7,10,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
2,9,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
2,12,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
2,11,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
2,10,C,H,H,2,0,2025-05-28--11h-42m-25s-466754
2,4,SB,H,H,2,0,2025-05-28--11h-42m-25s-466754
2,7,DB_V,H,H,2,0,2025-05-28--11h-42m-25s-466754
9,12,DB_H,H,H,3,0,2025-05-28--11h-42m-25s-485015
9,11,SB,H,H,3,0,2025-05-28--11h-42m-25s-485015
9,10,SB,H,H,3,0,2025-05-28--11h-42m-25s-485015
11,12,SB,H,H,3,0,2025-05-28--11h-42m-25s-485015
10,12,SB,H,H,3,0,2025-05-28--11h-42m-25s-485015
10,11,DB_V,H,H,3,1,2025-05-28--11h-42m-25s-485015
1,9,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
1,12,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
1,11,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
1,10,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
1,4,DB_H,H,H,3,0,2025-05-28--11h-42m-25s-485015
1,7,SB,H,H,3,0,2025-05-28--11h-42m-25s-485015
1,2,SB,H,H,3,0,2025-05-28--11h-42m-25s-485015
4,9,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
4,12,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
4,11,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
4,10,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
4,7,SB,H,H,3,0,2025-05-28--11h-42m-25s-485015
7,9,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
7,12,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
7,11,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
7,10,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
2,9,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
2,12,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
2,11,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
2,10,C,H,H,3,0,2025-05-28--11h-42m-25s-485015
2,4,SB,H,H,3,0,2025-05-28--11h-42m-25s-485015
2,7,DB_V,H,H,3,0,2025-05-28--11h-42m-25s-485015
9,12,DB_H,H,H,4,0,2025-05-28--11h-42m-25s-506557
9,11,SB,H,H,4,0,2025-05-28--11h-42m-25s-506557
9,10,SB,H,H,4,0,2025-05-28--11h-42m-25s-506557
11,12,SB,H,H,4,0,2025-05-28--11h-42m-25s-506557
10,12,SB,H,H,4,0,2025-05-28--11h-42m-25s-506557
10,11,DB_V,H,H,4,0,2025-05-28--11h-42m-25s-506557
1,9,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
1,12,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
1,11,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
1,10,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
1,4,DB_H,H,H,4,0,2025-05-28--11h-42m-25s-506557
1,7,SB,H,H,4,0,2025-05-28--11h-42m-25s-506557
1,2,SB,H,H,4,0,2025-05-28--11h-42m-25s-506557
4,9,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
4,12,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
4,11,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
4,10,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
4,7,SB,H,H,4,0,2025-05-28--11h-42m-25s-506557
7,9,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
7,12,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
7,11,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
7,10,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
2,9,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
2,12,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
2,11,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
2,10,C,H,H,4,0,2025-05-28--11h-42m-25s-506557
2,4,SB,H,H,4,0,2025-05-28--11h-42m-25s-506557
2,7,DB_V,H,H,4,0,2025-05-28--11h-42m-25s-506557
9,12,DB_H,H,H,5,0,2025-05-28--11h-42m-25s-525190
9,11,SB,H,H,5,0,2025-05-28--11h-42m-25s-525190
9,10,SB,H,H,5,0,2025-05-28--11h-42m-25s-525190
11,12,SB,H,H,5,0,2025-05-28--11h-42m-25s-525190
10,12,SB,H,H,5,0,2025-05-28--11h-42m-25s-525190
10,11,DB_V,H,H,5,0,2025-05-28--11h-42m-25s-525190
1,9,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
1,12,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
1,11,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
1,10,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
1,4,DB_H,H,H,5,0,2025-05-28--11h-42m-25s-525190
1,7,SB,H,H,5,0,2025-05-28--11h-42m-25s-525190
1,2,SB,H,H,5,0,2025-05-28--11h-42m-25s-525190
4,9,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
4,12,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
4,11,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
4,10,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
4,7,SB,H,H,5,0,2025-05-28--11h-42m-25s-525190
7,9,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
7,12,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
7,11,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
7,10,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
2,9,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
2,12,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
2,11,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
2,10,C,H,H,5,0,2025-05-28--11h-42m-25s-525190
2,4,SB,H,H,5,0,2025-05-28--11h-42m-25s-525190
2,7,DB_V,H,H,5,0,2025-05-28--11h-42m-25s-525190
9,12,DB_H,H,H,6,0,2025-05-28--11h-42m-25s-545047
9,11,SB,H,H,6,0,2025-05-28--11h-42m-25s-545047
9,10,SB,H,H,6,0,2025-05-28--11h-42m-25s-545047
11,12,SB,H,H,6,0,2025-05-28--11h-42m-25s-545047
10,12,SB,H,H,6,0,2025-05-28--11h-42m-25s-545047
10,11,DB_V,H,H,6,0,2025-05-28--11h-42m-25s-545047
1,9,C,H,H,6,0,2025-05-28--11h-42m-25s-545047
1,12,C,H,H,6,0,2025-05-28--11h-42m-25s-545047
1,11,C,H,H,6,0,2025-05-28--11h-42m-25s-545047
1,10,C,H,H,6,0,2025-05-28--11h-42m-25s-545047
1,4,DB_H,H,H,6,0,2025-05-28--11h-42m-25s-545047
1,7,SB,H,H,6,0,2025-05-28--11h-42m-25s-545047
1,2,SB,H,H,6,0,2025-05-28--11h-42m-25s-545047
4,9,C,H,H,6,0,2025-05-28--11h-42m-25s-545047
4,12,C,H,H,6,0,2025-05-28--11h-42m-25s-545047
