detector_a_name,detector_b_name,tomography_setting_a,tomography_setting_b,repetition,coincidences,timestamp,tomography_setting_t,tomography_setting_r,data_dir,estimation_label
9,12,,,0,1,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,DB_H
9,11,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,SB
9,10,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,SB
11,12,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,SB
10,12,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,SB
10,11,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,DB_V
1,9,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
1,12,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
1,11,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
1,10,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
1,4,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,DB_H
1,7,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,SB
1,2,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,SB
4,9,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
4,12,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
4,11,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
4,10,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
4,7,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,SB
7,9,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
7,12,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
7,11,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
7,10,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
2,9,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
2,12,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
2,11,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
2,10,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,C
2,4,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,SB
2,7,,,0,0,2025-05-28--14h-06m-37s-848027,H,H,2025-05-28--14h-06m-26s,DB_V
9,12,,,1,1,2025-05-28--14h-06m-37s-874875,H,H,2025-05-28--14h-06m-26s,DB_H
9,11,,,1,0,2025-05-28--14h-06m-37s-874875,H,H,2025-05-28--14h-06m-26s,SB
9,10,,,1,0,2025-05-28--14h-06m-37s-874875,H,H,2025-05-28--14h-06m-26s,SB
11,12,,,1,0,2025-05-28--14h-06m-37s-874875,H,H,2025-05-28--14h-06m-26s,SB
10,12,,,1,0,2025-05-28--14h-06m-37s-874875,H,H,2025-05-28--14h-06m-26s,SB
10,11,,,1,0,2025-05-28--14h-06m-37s-874875,H,H,2025-05-28--14h-06m-26s,DB_V
1,9,,,1,0,2025-05-28--14h-06m-37s-874875,H,H,2025-05-28--14h-06m-26s,C
1,12,,,1,0,2025-05-28--14h-06m-37s-874875,H,H,2025-05-28--14h-06m-26s,C
