data_dir,C,DB_H,DB_V,SB,N
2025-05-28--20h-05m-04s,5.5,106.0,4.0,44.5,160.0
2025-05-28--20h-05m-04s,3.0,112.0,5.0,40.0,160.0
2025-05-28--20h-05m-04s,2.5,125.0,2.0,30.5,160.0
2025-05-28--20h-05m-04s,5.0,113.0,5.0,37.0,160.0
2025-05-28--20h-05m-04s,3.5,111.0,5.0,40.5,160.0
2025-05-28--20h-05m-04s,3.5,115.0,1.0,40.5,160.0
2025-05-28--20h-05m-04s,1.5,119.0,6.0,33.5,160.0
2025-05-28--20h-05m-04s,1.5,118.0,5.0,35.5,160.0
2025-05-28--20h-05m-04s,4.0,113.0,5.0,38.0,160.0
2025-05-28--20h-05m-04s,1.5,119.0,6.0,33.5,160.0
2025-05-28--20h-05m-04s,3.0,115.0,4.0,38.0,160.0
2025-05-28--20h-05m-04s,1.5,111.0,4.0,43.5,160.0
2025-05-28--20h-05m-04s,3.0,108.0,5.0,44.0,160.0
2025-05-28--20h-05m-04s,1.5,122.0,4.0,32.5,160.0
2025-05-28--20h-05m-04s,3.0,117.0,5.0,35.0,160.0
2025-05-28--20h-05m-04s,2.0,115.0,3.0,40.0,160.0
2025-05-28--20h-05m-04s,3.0,110.0,6.0,41.0,160.0
2025-05-28--20h-05m-04s,2.0,117.0,6.0,35.0,160.0
2025-05-28--20h-05m-04s,2.0,122.0,1.0,35.0,160.0
2025-05-28--20h-05m-04s,2.0,116.0,4.0,38.0,160.0
2025-05-28--20h-05m-04s,4.5,104.0,8.0,43.5,160.0
2025-05-28--20h-05m-04s,2.0,114.0,5.0,39.0,160.0
2025-05-28--20h-05m-04s,1.5,112.0,5.0,41.5,160.0
