data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-29--01h-41m-15s,0,0.0,0.0,6.0,0.5,6.5
2025-05-29--01h-41m-15s,1,0.0,0.0,5.0,1.0,6.0
2025-05-29--01h-41m-15s,2,0.5,0.0,3.0,0.5,4.0
2025-05-29--01h-41m-15s,3,0.0,1.0,0.0,0.0,1.0
2025-05-29--01h-41m-15s,4,0.0,0.0,4.0,0.0,4.0
2025-05-29--01h-41m-15s,5,0.0,0.0,6.0,0.0,6.0
2025-05-29--01h-41m-15s,6,0.0,0.0,4.0,1.0,5.0
2025-05-29--01h-41m-15s,7,0.5,0.0,6.0,0.0,6.5
2025-05-29--01h-41m-15s,8,0.0,0.0,4.0,1.0,5.0
2025-05-29--01h-41m-15s,9,0.0,0.0,1.0,1.0,2.0
2025-05-29--01h-41m-15s,10,0.0,0.0,3.0,1.5,4.5
2025-05-29--01h-41m-15s,11,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,12,0.5,0.0,1.0,1.0,2.5
2025-05-29--01h-41m-15s,13,0.0,0.0,7.0,1.0,8.0
2025-05-29--01h-41m-15s,14,0.0,0.0,6.0,1.0,7.0
2025-05-29--01h-41m-15s,15,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,16,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,17,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,18,0.0,0.0,3.0,1.0,4.0
2025-05-29--01h-41m-15s,19,0.0,0.0,8.0,1.5,9.5
2025-05-29--01h-41m-15s,20,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,21,0.0,0.0,4.0,0.5,4.5
2025-05-29--01h-41m-15s,22,0.5,0.0,3.0,1.0,4.5
2025-05-29--01h-41m-15s,23,0.0,0.0,3.0,1.0,4.0
2025-05-29--01h-41m-15s,24,0.0,0.0,2.0,1.5,3.5
2025-05-29--01h-41m-15s,25,0.0,0.0,4.0,1.5,5.5
2025-05-29--01h-41m-15s,26,0.0,0.0,3.0,2.0,5.0
2025-05-29--01h-41m-15s,27,0.0,0.0,4.0,2.5,6.5
2025-05-29--01h-41m-15s,28,0.0,0.0,5.0,1.0,6.0
2025-05-29--01h-41m-15s,29,0.0,0.0,1.0,0.0,1.0
2025-05-29--01h-41m-15s,30,0.0,0.0,2.0,0.0,2.0
2025-05-29--01h-41m-15s,31,0.0,0.0,4.0,0.0,4.0
2025-05-29--01h-41m-15s,32,0.0,0.0,5.0,0.0,5.0
2025-05-29--01h-41m-15s,33,0.0,0.0,2.0,1.0,3.0
2025-05-29--01h-41m-15s,34,0.0,0.0,3.0,1.0,4.0
2025-05-29--01h-41m-15s,35,0.5,0.0,3.0,0.5,4.0
2025-05-29--01h-41m-15s,36,0.0,0.0,1.0,1.0,2.0
2025-05-29--01h-41m-15s,37,0.0,0.0,6.0,1.0,7.0
2025-05-29--01h-41m-15s,38,0.0,1.0,1.0,0.0,2.0
2025-05-29--01h-41m-15s,39,0.0,0.0,6.0,0.0,6.0
2025-05-29--01h-41m-15s,40,0.0,0.0,3.0,0.5,3.5
2025-05-29--01h-41m-15s,41,0.5,0.0,3.0,0.0,3.5
2025-05-29--01h-41m-15s,42,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,43,0.0,0.0,2.0,0.0,2.0
2025-05-29--01h-41m-15s,44,0.0,1.0,1.0,0.0,2.0
2025-05-29--01h-41m-15s,45,0.0,0.0,5.0,1.0,6.0
2025-05-29--01h-41m-15s,46,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,47,0.0,0.0,4.0,1.0,5.0
2025-05-29--01h-41m-15s,48,0.5,0.0,5.0,1.0,6.5
2025-05-29--01h-41m-15s,49,0.0,0.0,5.0,0.5,5.5
2025-05-29--01h-41m-15s,50,0.0,0.0,4.0,1.0,5.0
2025-05-29--01h-41m-15s,51,0.0,0.0,5.0,0.5,5.5
2025-05-29--01h-41m-15s,52,0.0,0.0,4.0,0.5,4.5
2025-05-29--01h-41m-15s,53,0.5,0.0,0.0,1.5,2.0
2025-05-29--01h-41m-15s,54,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,55,0.5,0.0,3.0,2.5,6.0
2025-05-29--01h-41m-15s,56,0.5,0.0,4.0,1.0,5.5
2025-05-29--01h-41m-15s,57,0.0,0.0,5.0,0.5,5.5
2025-05-29--01h-41m-15s,58,0.5,0.0,7.0,1.0,8.5
2025-05-29--01h-41m-15s,59,0.0,0.0,2.0,1.5,3.5
2025-05-29--01h-41m-15s,60,0.0,0.0,5.0,1.5,6.5
2025-05-29--01h-41m-15s,61,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,62,0.0,0.0,4.0,0.5,4.5
2025-05-29--01h-41m-15s,63,0.0,0.0,1.0,0.5,1.5
2025-05-29--01h-41m-15s,64,0.0,1.0,5.0,1.0,7.0
2025-05-29--01h-41m-15s,65,0.0,0.0,0.0,0.5,0.5
2025-05-29--01h-41m-15s,66,0.0,0.0,4.0,0.5,4.5
2025-05-29--01h-41m-15s,67,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,68,0.0,1.0,2.0,0.5,3.5
2025-05-29--01h-41m-15s,69,0.5,0.0,2.0,0.0,2.5
2025-05-29--01h-41m-15s,70,0.0,0.0,5.0,0.5,5.5
2025-05-29--01h-41m-15s,71,0.0,0.0,2.0,0.0,2.0
2025-05-29--01h-41m-15s,72,0.0,0.0,1.0,0.5,1.5
2025-05-29--01h-41m-15s,73,0.0,0.0,2.0,1.0,3.0
