data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-05-29--05h-16m-29s,1.0,29.0,2.0,8.0,40.0,,0.8298316245918765,0.339836909454122
2025-05-29--05h-16m-29s,0.0,34.0,0.0,6.0,40.0,,0.5548110329800715,0.0
2025-05-29--05h-16m-29s,2.0,27.0,1.0,10.0,40.0,,0.863211890069541,0.4205343352839651
2025-05-29--05h-16m-29s,2.0,31.0,1.0,6.0,40.0,,0.7227342478134156,0.5235987755982988
2025-05-29--05h-16m-29s,0.5,32.0,1.0,6.5,40.0,,0.6840812317953292,0.2705497629785729
2025-05-29--05h-16m-29s,1.0,29.0,2.0,8.0,40.0,,0.8298316245918765,0.339836909454122
2025-05-29--05h-16m-29s,1.5,28.0,1.0,9.5,40.0,,0.8298316245918765,0.37822819233418564
2025-05-29--05h-16m-29s,0.0,34.0,1.0,5.0,40.0,,0.6005941268660511,0.0
2025-05-29--05h-16m-29s,0.0,33.0,1.0,6.0,40.0,,0.6435011087932843,0.0
2025-05-29--05h-16m-29s,1.0,28.0,2.0,9.0,40.0,,0.863211890069541,0.3217505543966422
2025-05-29--05h-16m-29s,2.5,27.0,0.0,10.5,40.0,,0.8298316245918765,0.45396125157238043
2025-05-29--05h-16m-29s,2.0,28.0,1.0,9.0,40.0,,0.8298316245918765,0.4405106630046985
2025-05-29--05h-16m-29s,2.0,29.0,3.0,6.0,40.0,,0.863211890069541,0.5235987755982988
2025-05-29--05h-16m-29s,0.0,34.0,0.0,6.0,40.0,,0.5548110329800715,0.0
2025-05-29--05h-16m-29s,0.5,26.0,2.0,11.5,40.0,,0.9272952180016122,0.20556893116117386
2025-05-29--05h-16m-29s,1.0,31.0,0.0,8.0,40.0,,0.6840812317953292,0.339836909454122
2025-05-29--05h-16m-29s,1.5,31.0,0.0,7.5,40.0,,0.6840812317953292,0.4205343352839651
2025-05-29--05h-16m-29s,1.0,32.0,0.0,7.0,40.0,,0.6435011087932843,0.3613671239067078
2025-05-29--05h-16m-29s,1.5,30.0,0.0,8.5,40.0,,0.7227342478134156,0.3976994150920718
2025-05-29--05h-16m-29s,1.0,24.0,0.0,15.0,40.0,,0.9272952180016122,0.25268025514207865
2025-05-29--05h-16m-29s,1.5,32.0,0.0,6.5,40.0,,0.6435011087932843,0.4478323969289325
2025-05-29--05h-16m-29s,0.0,30.0,1.0,9.0,40.0,,0.759761932507315,0.0
2025-05-29--05h-16m-29s,0.0,29.0,0.0,11.0,40.0,,0.759761932507315,0.0
2025-05-29--05h-16m-29s,1.0,28.0,2.0,9.0,40.0,,0.863211890069541,0.3217505543966422
2025-05-29--05h-16m-29s,0.0,33.0,1.0,6.0,40.0,,0.6435011087932843,0.0
2025-05-29--05h-16m-29s,0.5,30.0,0.0,9.5,40.0,,0.7227342478134156,0.2255134058981312
2025-05-29--05h-16m-29s,0.5,31.0,1.0,7.5,40.0,,0.7227342478134156,0.25268025514207865
2025-05-29--05h-16m-29s,0.5,32.0,0.0,7.5,40.0,,0.6435011087932843,0.25268025514207865
2025-05-29--05h-16m-29s,1.0,33.0,1.0,5.0,40.0,,0.6435011087932843,0.4205343352839651
2025-05-29--05h-16m-29s,1.0,30.0,1.0,8.0,40.0,,0.759761932507315,0.339836909454122
2025-05-29--05h-16m-29s,1.0,27.0,0.0,12.0,40.0,,0.8298316245918765,0.28103490150281357
2025-05-29--05h-16m-29s,1.0,25.0,0.0,14.0,40.0,,0.8956647938578649,0.2611574109030243
2025-05-29--05h-16m-29s,0.5,33.0,1.0,5.5,40.0,,0.6435011087932843,0.2928427717285755
2025-05-29--05h-16m-29s,0.5,27.0,2.0,10.5,40.0,,0.8956647938578649,0.21484983307571223
2025-05-29--05h-16m-29s,1.5,31.0,0.0,7.5,40.0,,0.6840812317953292,0.4205343352839651
2025-05-29--05h-16m-29s,0.0,30.0,0.0,10.0,40.0,,0.7227342478134156,0.0
2025-05-29--05h-16m-29s,1.5,32.0,3.0,3.5,40.0,,0.759761932507315,0.5796397403637042
2025-05-29--05h-16m-29s,0.5,27.0,1.0,11.5,40.0,,0.863211890069541,0.20556893116117386
2025-05-29--05h-16m-29s,1.5,32.0,0.0,6.5,40.0,,0.6435011087932843,0.4478323969289325
2025-05-29--05h-16m-29s,1.0,33.0,1.0,5.0,40.0,,0.6435011087932843,0.4205343352839651
2025-05-29--05h-16m-29s,1.5,32.0,0.0,6.5,40.0,,0.6435011087932843,0.4478323969289325
2025-05-29--05h-16m-29s,1.0,28.0,0.0,11.0,40.0,,0.7953988301841436,0.2928427717285755
2025-05-29--05h-16m-29s,1.5,32.0,0.0,6.5,40.0,,0.6435011087932843,0.4478323969289325
2025-05-29--05h-16m-29s,0.5,30.0,1.0,8.5,40.0,,0.759761932507315,0.23794112483020827
2025-05-29--05h-16m-29s,1.5,26.0,1.0,11.5,40.0,,0.8956647938578649,0.3465799537883769
2025-05-29--05h-16m-29s,1.5,26.0,2.0,10.5,40.0,,0.9272952180016122,0.3613671239067078
2025-05-29--05h-16m-29s,1.0,30.0,1.0,8.0,40.0,,0.759761932507315,0.339836909454122
2025-05-29--05h-16m-29s,2.0,30.0,0.0,8.0,40.0,,0.7227342478134156,0.4636476090008061
2025-05-29--05h-16m-29s,1.5,29.0,2.0,7.5,40.0,,0.8298316245918765,0.4205343352839651
2025-05-29--05h-16m-29s,0.5,27.0,3.0,9.5,40.0,,0.9272952180016122,0.2255134058981312
2025-05-29--05h-16m-29s,1.0,33.0,1.0,5.0,40.0,,0.6435011087932843,0.4205343352839651
2025-05-29--05h-16m-29s,0.0,31.0,1.0,8.0,40.0,,0.7227342478134156,0.0
2025-05-29--05h-16m-29s,0.5,30.0,0.0,9.5,40.0,,0.7227342478134156,0.2255134058981312
2025-05-29--05h-16m-29s,0.0,33.0,1.0,6.0,40.0,,0.6435011087932843,0.0
2025-05-29--05h-16m-29s,0.5,30.0,0.0,9.5,40.0,,0.7227342478134156,0.2255134058981312
2025-05-29--05h-16m-29s,0.5,33.0,1.0,5.5,40.0,,0.6435011087932843,0.2928427717285755
2025-05-29--05h-16m-29s,1.5,28.0,2.0,8.5,40.0,,0.863211890069541,0.3976994150920718
2025-05-29--05h-16m-29s,0.5,31.0,2.0,6.5,40.0,,0.759761932507315,0.2705497629785729
2025-05-29--05h-16m-29s,0.5,27.0,2.0,10.5,40.0,,0.8956647938578649,0.21484983307571223
2025-05-29--05h-16m-29s,1.5,32.0,0.0,6.5,40.0,,0.6435011087932843,0.4478323969289325
2025-05-29--05h-16m-29s,0.0,34.0,0.0,6.0,40.0,,0.5548110329800715,0.0
2025-05-29--05h-16m-29s,0.5,30.0,0.0,9.5,40.0,,0.7227342478134156,0.2255134058981312
2025-05-29--05h-16m-29s,1.5,26.0,2.0,10.5,40.0,,0.9272952180016122,0.3613671239067078
2025-05-29--05h-16m-29s,2.0,27.0,2.0,9.0,40.0,,0.8956647938578649,0.4405106630046985
2025-05-29--05h-16m-29s,1.0,30.0,0.0,9.0,40.0,,0.7227342478134156,0.3217505543966422
2025-05-29--05h-16m-29s,1.0,29.0,1.0,9.0,40.0,,0.7953988301841436,0.3217505543966422
2025-05-29--05h-16m-29s,0.5,30.0,0.0,9.5,40.0,,0.7227342478134156,0.2255134058981312
2025-05-29--05h-16m-29s,0.5,33.0,0.0,6.5,40.0,,0.6005941268660511,0.2705497629785729
2025-05-29--05h-16m-29s,0.0,30.0,0.0,10.0,40.0,,0.7227342478134156,0.0
2025-05-29--05h-16m-29s,1.0,29.0,1.0,9.0,40.0,,0.7953988301841436,0.3217505543966422
2025-05-29--05h-16m-29s,1.0,31.0,1.0,7.0,40.0,,0.7227342478134156,0.3613671239067078
2025-05-29--05h-16m-29s,1.0,28.0,0.0,11.0,40.0,,0.7953988301841436,0.2928427717285755
2025-05-29--05h-16m-29s,0.5,26.0,2.0,11.5,40.0,,0.9272952180016122,0.20556893116117386
2025-05-29--05h-16m-29s,0.5,30.0,1.0,8.5,40.0,,0.759761932507315,0.23794112483020827
2025-05-29--05h-16m-29s,0.0,32.0,0.0,8.0,40.0,,0.6435011087932843,0.0
2025-05-29--05h-16m-29s,0.5,34.0,0.0,5.5,40.0,,0.5548110329800715,0.2928427717285755
2025-05-29--05h-16m-29s,0.5,35.0,0.0,4.5,40.0,,0.5053605102841573,0.3217505543966422
2025-05-29--05h-16m-29s,2.0,28.0,0.0,10.0,40.0,,0.7953988301841436,0.4205343352839651
2025-05-29--05h-16m-29s,0.0,30.0,2.0,8.0,40.0,,0.7953988301841436,0.0
2025-05-29--05h-16m-29s,0.0,29.0,3.0,8.0,40.0,,0.863211890069541,0.0
2025-05-29--05h-16m-29s,0.5,32.0,0.0,7.5,40.0,,0.6435011087932843,0.25268025514207865
2025-05-29--05h-16m-29s,1.0,30.0,2.0,7.0,40.0,,0.7953988301841436,0.3613671239067078
2025-05-29--05h-16m-29s,2.0,29.0,2.0,7.0,40.0,,0.8298316245918765,0.49088267828931137
2025-05-29--05h-16m-29s,1.0,31.0,2.0,6.0,40.0,,0.759761932507315,0.38759668665518066
2025-05-29--05h-16m-29s,1.0,32.0,0.0,7.0,40.0,,0.6435011087932843,0.3613671239067078
2025-05-29--05h-16m-29s,2.0,27.0,2.0,9.0,40.0,,0.8956647938578649,0.4405106630046985
2025-05-29--05h-16m-29s,0.5,32.0,2.0,5.5,40.0,,0.7227342478134156,0.2928427717285755
2025-05-29--05h-16m-29s,1.5,30.0,2.0,6.5,40.0,,0.7953988301841436,0.4478323969289325
2025-05-29--05h-16m-29s,0.5,31.0,0.0,8.5,40.0,,0.6840812317953292,0.23794112483020827
2025-05-29--05h-16m-29s,2.0,27.0,1.0,10.0,40.0,,0.863211890069541,0.4205343352839651
2025-05-29--05h-16m-29s,1.0,29.0,1.0,9.0,40.0,,0.7953988301841436,0.3217505543966422
2025-05-29--05h-16m-29s,0.0,30.0,2.0,8.0,40.0,,0.7953988301841436,0.0
2025-05-29--05h-16m-29s,0.5,33.0,0.0,6.5,40.0,,0.6005941268660511,0.2705497629785729
2025-05-29--05h-16m-29s,1.0,29.0,1.0,9.0,40.0,,0.7953988301841436,0.3217505543966422
2025-05-29--05h-16m-29s,0.5,29.0,1.0,9.5,40.0,,0.7953988301841436,0.2255134058981312
2025-05-29--05h-16m-29s,1.0,28.0,0.0,11.0,40.0,,0.7953988301841436,0.2928427717285755
2025-05-29--05h-16m-29s,0.0,29.0,2.0,9.0,40.0,,0.8298316245918765,0.0
2025-05-29--05h-16m-29s,1.0,31.0,2.0,6.0,40.0,,0.759761932507315,0.38759668665518066
2025-05-29--05h-16m-29s,1.0,30.0,2.0,7.0,40.0,,0.7953988301841436,0.3613671239067078
2025-05-29--05h-16m-29s,2.0,29.0,1.0,8.0,40.0,,0.7953988301841436,0.4636476090008061
