data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate
2025-05-23--17h-32m-32s,1.5,37.0,0.0,1.5,40.0,0.35083433461154634,0.7778978821189679
2025-05-23--17h-32m-32s,1.5,38.0,0.0,0.5,40.0,0.26737780095162794,1.0406776362569188
2025-05-23--17h-32m-32s,0.5,38.0,0.0,1.5,40.0,0.26737780095162794,0.517127578698283
2025-05-23--17h-32m-32s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966
2025-05-23--17h-32m-32s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966
2025-05-23--17h-32m-32s,2.0,38.0,0.0,0.0,40.0,0.26737780095162794,1.5707963267948966
2025-05-23--17h-32m-32s,1.5,38.0,0.0,0.5,40.0,0.26737780095162794,1.0406776362569188
2025-05-23--17h-32m-32s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679
2025-05-23--17h-32m-32s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679
2025-05-23--17h-32m-32s,0.0,40.0,0.0,0.0,40.0,0.0,
2025-05-23--17h-32m-32s,0.5,38.0,0.0,1.5,40.0,0.26737780095162794,0.517127578698283
2025-05-23--17h-32m-32s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679
2025-05-23--17h-32m-32s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679
2025-05-23--17h-32m-32s,1.0,38.0,0.0,1.0,40.0,0.26737780095162794,0.7778978821189679
2025-05-23--17h-32m-32s,0.0,40.0,0.0,0.0,40.0,0.0,
2025-05-23--17h-32m-32s,0.0,40.0,0.0,0.0,40.0,0.0,
2025-05-23--17h-32m-32s,0.0,40.0,0.0,0.0,40.0,0.0,
2025-05-23--17h-32m-32s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679
2025-05-23--17h-32m-32s,0.0,40.0,0.0,0.0,40.0,0.0,
2025-05-23--17h-32m-32s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679
2025-05-23--17h-32m-32s,0.0,40.0,0.0,0.0,40.0,0.0,
2025-05-23--17h-32m-32s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679
2025-05-23--17h-32m-32s,0.0,39.0,0.0,1.0,40.0,0.14261492957058086,0.0
2025-05-23--17h-32m-32s,0.0,40.0,0.0,0.0,40.0,0.0,
2025-05-23--17h-32m-32s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966
2025-05-23--17h-32m-32s,1.0,38.0,0.0,1.0,40.0,0.26737780095162794,0.7778978821189679
2025-05-23--17h-32m-32s,0.0,40.0,0.0,0.0,40.0,0.0,
2025-05-23--17h-32m-32s,0.0,39.0,0.0,1.0,40.0,0.14261492957058086,0.0
2025-05-23--17h-32m-32s,0.0,40.0,0.0,0.0,40.0,0.0,
2025-05-23--17h-32m-32s,0.0,39.0,0.0,1.0,40.0,0.14261492957058086,0.0
2025-05-23--17h-32m-32s,0.0,40.0,0.0,0.0,40.0,0.0,
2025-05-23--17h-32m-32s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679
2025-05-23--17h-32m-32s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679
2025-05-23--17h-32m-32s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966
2025-05-23--17h-32m-32s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679
2025-05-23--17h-32m-32s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679
2025-05-23--17h-32m-32s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966
2025-05-23--17h-32m-32s,0.0,40.0,0.0,0.0,40.0,0.0,
2025-05-23--17h-32m-32s,0.0,39.0,0.0,1.0,40.0,0.14261492957058086,0.0
2025-05-23--17h-32m-32s,0.0,39.0,0.0,1.0,40.0,0.14261492957058086,0.0
2025-05-23--17h-32m-32s,0.0,40.0,0.0,0.0,40.0,0.0,
2025-05-23--17h-32m-32s,0.5,38.0,0.0,1.5,40.0,0.26737780095162794,0.517127578698283
