data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-23--18h-02m-09s,2,0.0,1.0,1.0,0.0,2.0
2025-05-23--18h-02m-09s,3,0.5,0.0,0.0,0.0,0.5
2025-05-23--18h-02m-09s,4,0.0,0.0,1.0,0.0,1.0
2025-05-23--18h-02m-09s,5,0.0,0.0,0.0,1.0,1.0
2025-05-23--18h-02m-09s,6,0.0,2.0,0.0,0.0,2.0
2025-05-23--18h-02m-09s,7,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,8,0.0,1.0,0.0,1.0,2.0
2025-05-23--18h-02m-09s,9,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,10,0.0,1.0,0.0,1.0,2.0
2025-05-23--18h-02m-09s,11,0.0,0.0,0.0,1.0,1.0
2025-05-23--18h-02m-09s,12,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,13,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,14,0.0,2.0,0.0,0.5,2.5
2025-05-23--18h-02m-09s,15,0.0,2.0,0.0,0.0,2.0
2025-05-23--18h-02m-09s,16,0.0,1.0,0.0,1.0,2.0
2025-05-23--18h-02m-09s,17,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,18,0.0,2.0,0.0,0.0,2.0
2025-05-23--18h-02m-09s,19,0.0,0.0,1.0,0.5,1.5
2025-05-23--18h-02m-09s,20,0.0,0.0,1.0,0.5,1.5
2025-05-23--18h-02m-09s,21,0.0,0.0,1.0,1.0,2.0
2025-05-23--18h-02m-09s,22,0.5,0.0,0.0,0.0,0.5
2025-05-23--18h-02m-09s,23,0.0,2.0,0.0,0.0,2.0
2025-05-23--18h-02m-09s,24,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,25,0.0,0.0,0.0,1.0,1.0
2025-05-23--18h-02m-09s,27,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,28,0.0,4.0,0.0,0.5,4.5
2025-05-23--18h-02m-09s,29,0.0,0.0,1.0,0.5,1.5
2025-05-23--18h-02m-09s,30,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,31,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,32,0.0,3.0,0.0,0.5,3.5
2025-05-23--18h-02m-09s,33,0.0,1.0,0.0,1.0,2.0
2025-05-23--18h-02m-09s,34,0.0,0.0,1.0,0.0,1.0
2025-05-23--18h-02m-09s,35,0.0,2.0,0.0,0.5,2.5
2025-05-23--18h-02m-09s,36,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,37,0.0,1.0,0.0,1.0,2.0
2025-05-23--18h-02m-09s,38,0.0,2.0,0.0,0.0,2.0
2025-05-23--18h-02m-09s,39,0.0,2.0,0.0,0.0,2.0
2025-05-23--18h-02m-09s,40,0.0,2.0,0.0,0.0,2.0
2025-05-23--18h-02m-09s,41,0.5,0.0,0.0,0.5,1.0
2025-05-23--18h-02m-09s,42,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,43,0.0,1.0,0.0,1.0,2.0
2025-05-23--18h-02m-09s,44,0.0,3.0,0.0,0.0,3.0
2025-05-23--18h-02m-09s,45,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,47,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,49,0.0,3.0,0.0,1.5,4.5
2025-05-23--18h-02m-09s,51,0.0,1.0,0.0,1.0,2.0
2025-05-23--18h-02m-09s,53,0.0,1.0,1.0,0.5,2.5
2025-05-23--18h-02m-09s,54,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,55,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,56,0.0,2.0,0.0,1.5,3.5
2025-05-23--18h-02m-09s,57,0.0,2.0,0.0,0.5,2.5
2025-05-23--18h-02m-09s,58,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,59,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,60,0.0,2.0,0.0,0.5,2.5
2025-05-23--18h-02m-09s,61,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,62,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,63,0.0,1.0,0.0,1.5,2.5
2025-05-23--18h-02m-09s,64,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,65,0.0,2.0,0.0,0.5,2.5
2025-05-23--18h-02m-09s,66,0.0,1.0,0.0,2.0,3.0
2025-05-23--18h-02m-09s,67,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,68,0.5,0.0,0.0,0.0,0.5
2025-05-23--18h-02m-09s,69,0.0,1.0,0.0,1.0,2.0
2025-05-23--18h-02m-09s,70,0.0,2.0,0.0,1.0,3.0
2025-05-23--18h-02m-09s,71,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,72,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,73,0.0,0.0,0.0,1.0,1.0
2025-05-23--18h-02m-09s,74,0.5,0.0,0.0,1.0,1.5
2025-05-23--18h-02m-09s,75,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,76,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,78,0.0,2.0,0.0,1.0,3.0
2025-05-23--18h-02m-09s,79,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,80,0.0,0.0,0.0,1.0,1.0
2025-05-23--18h-02m-09s,81,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,82,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,83,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,84,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,85,0.0,1.0,0.0,1.0,2.0
2025-05-23--18h-02m-09s,86,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,87,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,88,0.0,2.0,1.0,1.0,4.0
2025-05-23--18h-02m-09s,90,0.0,1.0,0.0,1.0,2.0
2025-05-23--18h-02m-09s,91,0.0,1.0,0.0,1.0,2.0
2025-05-23--18h-02m-09s,92,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,93,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,94,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,95,0.0,2.0,1.0,0.5,3.5
2025-05-23--18h-02m-09s,96,0.0,0.0,0.0,1.0,1.0
2025-05-23--18h-02m-09s,97,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,98,0.0,1.0,0.0,1.5,2.5
2025-05-23--18h-02m-09s,99,0.0,2.0,0.0,0.0,2.0
2025-05-23--18h-02m-09s,100,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,102,0.5,3.0,0.0,0.0,3.5
2025-05-23--18h-02m-09s,103,1.0,2.0,0.0,0.5,3.5
2025-05-23--18h-02m-09s,108,0.0,2.0,0.0,0.0,2.0
2025-05-23--18h-02m-09s,110,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,111,0.0,2.0,0.0,0.0,2.0
2025-05-23--18h-02m-09s,112,0.0,1.0,0.0,0.0,1.0
2025-05-23--18h-02m-09s,113,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,114,0.0,1.0,0.0,0.5,1.5
2025-05-23--18h-02m-09s,116,0.0,3.0,0.0,1.0,4.0
2025-05-23--18h-02m-09s,117,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,118,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,119,0.0,0.0,0.0,0.5,0.5
2025-05-23--18h-02m-09s,120,0.0,1.0,0.0,1.0,2.0
2025-05-23--18h-02m-09s,121,1.0,2.0,0.0,0.0,3.0
2025-05-23--18h-02m-09s,123,0.0,2.0,0.0,1.0,3.0
2025-05-23--18h-02m-09s,124,0.0,2.0,0.0,0.5,2.5
2025-05-23--18h-02m-09s,125,0.5,2.0,0.0,0.0,2.5
