data_dir,C,DB_H,DB_V,SB,N
2025-05-23--18h-20m-26s,3.5,43.0,43.0,70.5,160.0
2025-05-23--18h-20m-26s,4.0,50.0,35.0,71.0,160.0
2025-05-23--18h-20m-26s,3.5,46.0,47.0,63.5,160.0
2025-05-23--18h-20m-26s,4.0,53.0,31.0,72.0,160.0
2025-05-23--18h-20m-26s,3.5,48.0,34.0,74.5,160.0
2025-05-23--18h-20m-26s,4.0,55.0,31.0,70.0,160.0
2025-05-23--18h-20m-26s,2.0,58.0,34.0,66.0,160.0
2025-05-23--18h-20m-26s,3.5,58.0,33.0,65.5,160.0
2025-05-23--18h-20m-26s,2.5,47.0,43.0,67.5,160.0
2025-05-23--18h-20m-26s,4.0,45.0,36.0,75.0,160.0
2025-05-23--18h-20m-26s,3.0,53.0,35.0,69.0,160.0
2025-05-23--18h-20m-26s,1.5,47.0,47.0,64.5,160.0
2025-05-23--18h-20m-26s,0.5,49.0,37.0,73.5,160.0
2025-05-23--18h-20m-26s,2.0,47.0,35.0,76.0,160.0
2025-05-23--18h-20m-26s,1.5,47.0,44.0,67.5,160.0
2025-05-23--18h-20m-26s,1.0,57.0,39.0,63.0,160.0
2025-05-23--18h-20m-26s,3.0,44.0,33.0,80.0,160.0
2025-05-23--18h-20m-26s,1.0,54.0,37.0,68.0,160.0
2025-05-23--18h-20m-26s,3.5,40.0,34.0,82.5,160.0
2025-05-23--18h-20m-26s,2.5,50.0,45.0,62.5,160.0
2025-05-23--18h-20m-26s,3.0,38.0,47.0,72.0,160.0
2025-05-23--18h-20m-26s,2.0,46.0,38.0,74.0,160.0
2025-05-23--18h-20m-26s,2.5,48.0,47.0,62.5,160.0
2025-05-23--18h-20m-26s,4.0,48.0,31.0,77.0,160.0
2025-05-23--18h-20m-26s,2.0,44.0,44.0,70.0,160.0
2025-05-23--18h-20m-26s,3.5,48.0,34.0,74.5,160.0
2025-05-23--18h-20m-26s,4.0,48.0,42.0,66.0,160.0
2025-05-23--18h-20m-26s,2.5,47.0,42.0,68.5,160.0
2025-05-23--18h-20m-26s,2.0,46.0,44.0,68.0,160.0
2025-05-23--18h-20m-26s,0.5,41.0,41.0,77.5,160.0
2025-05-23--18h-20m-26s,1.5,53.0,37.0,68.5,160.0
2025-05-23--18h-20m-26s,3.5,46.0,38.0,72.5,160.0
2025-05-23--18h-20m-26s,2.5,48.0,39.0,70.5,160.0
2025-05-23--18h-20m-26s,6.0,41.0,40.0,73.0,160.0
2025-05-23--18h-20m-26s,2.5,46.0,39.0,72.5,160.0
2025-05-23--18h-20m-26s,1.5,46.0,46.0,66.5,160.0
2025-05-23--18h-20m-26s,1.0,67.0,30.0,62.0,160.0
2025-05-23--18h-20m-26s,2.5,50.0,40.0,67.5,160.0
2025-05-23--18h-20m-26s,5.5,47.0,38.0,69.5,160.0
2025-05-23--18h-20m-26s,2.5,53.0,32.0,72.5,160.0
2025-05-23--18h-20m-26s,1.0,43.0,37.0,79.0,160.0
2025-05-23--18h-20m-26s,2.0,46.0,45.0,67.0,160.0
