data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate
2025-05-23--17h-58m-27s,1.5,19.0,2.0,17.5,40.0,1.131834441185136,0.28481065953646517
2025-05-23--17h-58m-27s,0.0,28.0,0.0,12.0,40.0,0.7953988301841436,0.0
2025-05-23--17h-58m-27s,0.0,27.0,2.0,11.0,40.0,0.8956647938578649,0.0
2025-05-23--17h-58m-27s,1.5,24.0,2.0,12.5,40.0,0.9884320889261531,0.3334731722518321
2025-05-23--17h-58m-27s,1.0,22.0,0.0,17.0,40.0,0.9884320889261531,0.23794112483020827
2025-05-23--17h-58m-27s,0.5,28.0,3.0,8.5,40.0,0.8956647938578649,0.23794112483020827
2025-05-23--17h-58m-27s,0.0,30.0,2.0,8.0,40.0,0.7953988301841436,0.0
2025-05-23--17h-58m-27s,0.5,30.0,0.0,9.5,40.0,0.7227342478134156,0.2255134058981312
2025-05-23--17h-58m-27s,1.0,26.0,2.0,11.0,40.0,0.9272952180016122,0.2928427717285755
2025-05-23--17h-58m-27s,0.5,28.0,2.0,9.5,40.0,0.863211890069541,0.2255134058981312
2025-05-23--17h-58m-27s,0.0,29.0,4.0,7.0,40.0,0.8956647938578649,0.0
2025-05-23--17h-58m-27s,0.5,26.0,0.0,13.5,40.0,0.863211890069541,0.19012560334646678
2025-05-23--17h-58m-27s,0.0,28.0,1.0,11.0,40.0,0.8298316245918765,0.0
2025-05-23--17h-58m-27s,0.0,27.0,3.0,10.0,40.0,0.9272952180016122,0.0
2025-05-23--17h-58m-27s,1.0,27.0,0.0,12.0,40.0,0.8298316245918765,0.28103490150281357
2025-05-23--17h-58m-27s,1.5,26.0,2.0,10.5,40.0,0.9272952180016122,0.3613671239067078
2025-05-23--17h-58m-27s,0.5,28.0,0.0,11.5,40.0,0.7953988301841436,0.20556893116117386
2025-05-23--17h-58m-27s,1.0,26.0,3.0,10.0,40.0,0.9581921787462742,0.30627736916966947
2025-05-23--17h-58m-27s,0.0,28.0,2.0,10.0,40.0,0.863211890069541,0.0
2025-05-23--17h-58m-27s,1.5,28.0,1.0,9.5,40.0,0.8298316245918765,0.37822819233418564
2025-05-23--17h-58m-27s,0.0,29.0,3.0,8.0,40.0,0.863211890069541,0.0
2025-05-23--17h-58m-27s,0.5,31.0,1.0,7.5,40.0,0.7227342478134156,0.25268025514207865
2025-05-23--17h-58m-27s,0.0,24.0,2.0,14.0,40.0,0.9884320889261531,0.0
2025-05-23--17h-58m-27s,0.5,31.0,1.0,7.5,40.0,0.7227342478134156,0.25268025514207865
2025-05-23--17h-58m-27s,0.0,29.0,0.0,11.0,40.0,0.759761932507315,0.0
2025-05-23--17h-58m-27s,1.0,29.0,0.0,10.0,40.0,0.759761932507315,0.30627736916966947
2025-05-23--17h-58m-27s,1.0,28.0,1.0,10.0,40.0,0.8298316245918765,0.30627736916966947
2025-05-23--17h-58m-27s,1.0,29.0,2.0,8.0,40.0,0.8298316245918765,0.339836909454122
2025-05-23--17h-58m-27s,0.5,31.0,1.0,7.5,40.0,0.7227342478134156,0.25268025514207865
2025-05-23--17h-58m-27s,0.5,28.0,2.0,9.5,40.0,0.863211890069541,0.2255134058981312
2025-05-23--17h-58m-27s,0.5,27.0,4.0,8.5,40.0,0.9581921787462742,0.23794112483020827
2025-05-23--17h-58m-27s,0.5,30.0,1.0,8.5,40.0,0.759761932507315,0.23794112483020827
2025-05-23--17h-58m-27s,0.5,27.0,0.0,12.5,40.0,0.8298316245918765,0.19739555984988078
2025-05-23--17h-58m-27s,0.5,30.0,2.0,7.5,40.0,0.7953988301841436,0.25268025514207865
2025-05-23--17h-58m-27s,0.0,32.0,2.0,6.0,40.0,0.7227342478134156,0.0
2025-05-23--17h-58m-27s,2.0,27.0,2.0,9.0,40.0,0.8956647938578649,0.4405106630046985
2025-05-23--17h-58m-27s,0.0,25.0,3.0,12.0,40.0,0.9884320889261531,0.0
2025-05-23--17h-58m-27s,1.5,32.0,0.0,6.5,40.0,0.6435011087932843,0.4478323969289325
2025-05-23--17h-58m-27s,0.0,29.0,0.0,11.0,40.0,0.759761932507315,0.0
2025-05-23--17h-58m-27s,0.5,30.0,1.0,8.5,40.0,0.759761932507315,0.23794112483020827
2025-05-23--17h-58m-27s,1.5,24.0,2.0,12.5,40.0,0.9884320889261531,0.3334731722518321
2025-05-23--17h-58m-27s,0.0,24.0,4.0,12.0,40.0,1.0471975511965976,0.0
2025-05-23--17h-58m-27s,1.0,28.0,2.0,9.0,40.0,0.863211890069541,0.3217505543966422
2025-05-23--17h-58m-27s,0.5,23.0,1.0,15.5,40.0,0.9884320889261531,0.17771060084511175
2025-05-23--17h-58m-27s,0.0,31.0,1.0,8.0,40.0,0.7227342478134156,0.0
2025-05-23--17h-58m-27s,0.5,24.0,1.0,14.5,40.0,0.9581921787462742,0.18360401027891857
2025-05-23--17h-58m-27s,0.0,29.0,2.0,9.0,40.0,0.8298316245918765,0.0
2025-05-23--17h-58m-27s,1.0,26.0,0.0,13.0,40.0,0.863211890069541,0.2705497629785729
2025-05-23--17h-58m-27s,0.0,32.0,1.0,7.0,40.0,0.6840812317953292,0.0
2025-05-23--17h-58m-27s,1.5,29.0,1.0,8.5,40.0,0.7953988301841436,0.3976994150920718
2025-05-23--17h-58m-27s,0.0,31.0,0.0,9.0,40.0,0.6840812317953292,0.0
2025-05-23--17h-58m-27s,1.0,28.0,1.0,10.0,40.0,0.8298316245918765,0.30627736916966947
2025-05-23--17h-58m-27s,0.0,30.0,2.0,8.0,40.0,0.7953988301841436,0.0
2025-05-23--17h-58m-27s,0.0,26.0,3.0,11.0,40.0,0.9581921787462742,0.0
2025-05-23--17h-58m-27s,1.0,24.0,0.0,15.0,40.0,0.9272952180016122,0.25268025514207865
2025-05-23--17h-58m-27s,0.0,30.0,1.0,9.0,40.0,0.759761932507315,0.0
2025-05-23--17h-58m-27s,0.0,28.0,3.0,9.0,40.0,0.8956647938578649,0.0
2025-05-23--17h-58m-27s,0.5,27.0,3.0,9.5,40.0,0.9272952180016122,0.2255134058981312
2025-05-23--17h-58m-27s,1.0,26.0,1.0,12.0,40.0,0.8956647938578649,0.28103490150281357
2025-05-23--17h-58m-27s,0.5,25.0,1.0,13.5,40.0,0.9272952180016122,0.19012560334646678
2025-05-23--17h-58m-27s,0.5,26.0,4.0,9.5,40.0,0.9884320889261531,0.2255134058981312
2025-05-23--17h-58m-27s,0.5,30.0,1.0,8.5,40.0,0.759761932507315,0.23794112483020827
2025-05-23--17h-58m-27s,1.5,29.0,0.0,9.5,40.0,0.759761932507315,0.37822819233418564
2025-05-23--17h-58m-27s,1.0,27.0,3.0,9.0,40.0,0.9272952180016122,0.3217505543966422
2025-05-23--17h-58m-27s,0.5,27.0,4.0,8.5,40.0,0.9581921787462742,0.23794112483020827
2025-05-23--17h-58m-27s,1.0,30.0,0.0,9.0,40.0,0.7227342478134156,0.3217505543966422
