data_dir,C,DB_H,DB_V,SB,N
2025-05-23--18h-18m-47s,1.0,32.0,6.0,41.0,80.0
2025-05-23--18h-18m-47s,3.0,25.0,19.0,33.0,80.0
2025-05-23--18h-18m-47s,0.5,33.0,11.0,35.5,80.0
2025-05-23--18h-18m-47s,0.5,25.0,17.0,37.5,80.0
2025-05-23--18h-18m-47s,0.0,23.0,12.0,45.0,80.0
2025-05-23--18h-18m-47s,2.5,29.0,12.0,36.5,80.0
2025-05-23--18h-18m-47s,1.0,34.0,14.0,31.0,80.0
2025-05-23--18h-18m-47s,1.0,26.0,18.0,35.0,80.0
2025-05-23--18h-18m-47s,1.0,20.0,22.0,37.0,80.0
2025-05-23--18h-18m-47s,0.5,24.0,22.0,33.5,80.0
2025-05-23--18h-18m-47s,1.0,24.0,13.0,42.0,80.0
2025-05-23--18h-18m-47s,1.0,31.0,15.0,33.0,80.0
2025-05-23--18h-18m-47s,0.5,23.0,19.0,37.5,80.0
2025-05-23--18h-18m-47s,2.0,24.0,22.0,32.0,80.0
2025-05-23--18h-18m-47s,1.5,28.0,18.0,32.5,80.0
2025-05-23--18h-18m-47s,0.5,25.0,17.0,37.5,80.0
2025-05-23--18h-18m-47s,0.5,30.0,11.0,38.5,80.0
2025-05-23--18h-18m-47s,0.5,30.0,18.0,31.5,80.0
2025-05-23--18h-18m-47s,1.0,26.0,16.0,37.0,80.0
2025-05-23--18h-18m-47s,2.0,22.0,17.0,39.0,80.0
2025-05-23--18h-18m-47s,2.0,31.0,15.0,32.0,80.0
2025-05-23--18h-18m-47s,1.5,22.0,15.0,41.5,80.0
2025-05-23--18h-18m-47s,1.5,29.0,14.0,35.5,80.0
2025-05-23--18h-18m-47s,2.0,20.0,11.0,47.0,80.0
2025-05-23--18h-18m-47s,1.5,31.0,16.0,31.5,80.0
2025-05-23--18h-18m-47s,2.0,24.0,16.0,38.0,80.0
2025-05-23--18h-18m-47s,2.0,26.0,16.0,36.0,80.0
2025-05-23--18h-18m-47s,2.0,22.0,23.0,33.0,80.0
2025-05-23--18h-18m-47s,1.0,22.0,18.0,39.0,80.0
2025-05-23--18h-18m-47s,0.5,22.0,17.0,40.5,80.0
2025-05-23--18h-18m-47s,1.5,25.0,25.0,28.5,80.0
2025-05-23--18h-18m-47s,0.5,23.0,23.0,33.5,80.0
