detector_a_name,detector_b_name,estimation_label,repetition,coincidences,timestamp
9,12,DB_H,0,2,2025-05-23--16h-55m-30s-334110
9,11,SB,0,0,2025-05-23--16h-55m-30s-334110
9,10,SB,0,0,2025-05-23--16h-55m-30s-334110
11,12,SB,0,0,2025-05-23--16h-55m-30s-334110
10,12,SB,0,0,2025-05-23--16h-55m-30s-334110
10,11,DB_V,0,0,2025-05-23--16h-55m-30s-334110
1,9,C,0,0,2025-05-23--16h-55m-30s-334110
1,12,C,0,0,2025-05-23--16h-55m-30s-334110
1,11,C,0,0,2025-05-23--16h-55m-30s-334110
1,10,C,0,0,2025-05-23--16h-55m-30s-334110
1,4,DB_H,0,1,2025-05-23--16h-55m-30s-334110
1,7,SB,0,0,2025-05-23--16h-55m-30s-334110
1,2,SB,0,0,2025-05-23--16h-55m-30s-334110
4,9,C,0,0,2025-05-23--16h-55m-30s-334110
4,12,C,0,0,2025-05-23--16h-55m-30s-334110
4,11,C,0,0,2025-05-23--16h-55m-30s-334110
4,10,C,0,0,2025-05-23--16h-55m-30s-334110
4,7,SB,0,0,2025-05-23--16h-55m-30s-334110
7,9,C,0,0,2025-05-23--16h-55m-30s-334110
7,12,C,0,0,2025-05-23--16h-55m-30s-334110
7,11,C,0,0,2025-05-23--16h-55m-30s-334110
7,10,C,0,0,2025-05-23--16h-55m-30s-334110
2,9,C,0,1,2025-05-23--16h-55m-30s-334110
2,12,C,0,0,2025-05-23--16h-55m-30s-334110
2,11,C,0,0,2025-05-23--16h-55m-30s-334110
2,10,C,0,0,2025-05-23--16h-55m-30s-334110
2,4,SB,0,0,2025-05-23--16h-55m-30s-334110
2,7,DB_V,0,0,2025-05-23--16h-55m-30s-334110
9,12,DB_H,2,1,2025-05-23--16h-55m-30s-378855
9,11,SB,2,0,2025-05-23--16h-55m-30s-378855
9,10,SB,2,0,2025-05-23--16h-55m-30s-378855
11,12,SB,2,0,2025-05-23--16h-55m-30s-378855
10,12,SB,2,0,2025-05-23--16h-55m-30s-378855
10,11,DB_V,2,0,2025-05-23--16h-55m-30s-378855
1,9,C,2,0,2025-05-23--16h-55m-30s-378855
1,12,C,2,0,2025-05-23--16h-55m-30s-378855
