data_dir,C,DB_H,DB_V,SB,N
2025-05-30--12h-37m-20s,5.5,193.0,0.0,1.5,200.0
2025-05-30--12h-37m-20s,4.5,195.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,3.5,196.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,4.5,195.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,7.5,192.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,5.5,194.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,4.0,195.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,5.5,194.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,2.5,194.0,0.0,3.5,200.0
2025-05-30--12h-37m-20s,2.5,197.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,2.0,196.0,0.0,2.0,200.0
2025-05-30--12h-37m-20s,3.0,196.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,2.5,197.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,4.0,195.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,5.0,194.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,3.0,196.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,2.5,196.0,0.0,1.5,200.0
2025-05-30--12h-37m-20s,3.5,195.0,0.0,1.5,200.0
2025-05-30--12h-37m-20s,5.5,194.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,4.5,195.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,2.5,197.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,4.5,195.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,3.0,195.0,0.0,2.0,200.0
2025-05-30--12h-37m-20s,5.5,193.0,0.0,1.5,200.0
2025-05-30--12h-37m-20s,3.0,196.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,7.0,192.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,3.0,197.0,0.0,0.0,200.0
2025-05-30--12h-37m-20s,6.0,193.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,5.0,193.0,0.0,2.0,200.0
2025-05-30--12h-37m-20s,3.0,195.0,0.0,2.0,200.0
2025-05-30--12h-37m-20s,6.5,193.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,6.0,192.0,0.0,2.0,200.0
2025-05-30--12h-37m-20s,3.0,196.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,4.0,195.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,8.0,191.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,5.0,193.0,0.0,2.0,200.0
2025-05-30--12h-37m-20s,4.5,195.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,3.0,196.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,5.0,194.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,4.5,195.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,3.0,197.0,0.0,0.0,200.0
2025-05-30--12h-37m-20s,4.0,195.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,6.5,193.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,7.5,192.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,4.5,195.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,1.5,198.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,3.5,195.0,0.0,1.5,200.0
2025-05-30--12h-37m-20s,4.0,195.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,3.0,197.0,0.0,0.0,200.0
2025-05-30--12h-37m-20s,4.0,194.0,0.0,2.0,200.0
2025-05-30--12h-37m-20s,2.5,197.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,4.0,195.0,0.0,1.0,200.0
2025-05-30--12h-37m-20s,6.5,193.0,0.0,0.5,200.0
2025-05-30--12h-37m-20s,5.5,192.0,0.0,2.5,200.0
