detector_a_name,detector_b_name,tomography_setting_t,tomography_setting_r,repetition,coincidences,timestamp
9,12,H,H,0,0,2025-05-30--14h-05m-20s-483802
9,11,H,H,0,0,2025-05-30--14h-05m-20s-483802
9,10,H,H,0,0,2025-05-30--14h-05m-20s-483802
11,12,H,H,0,0,2025-05-30--14h-05m-20s-483802
10,12,H,H,0,0,2025-05-30--14h-05m-20s-483802
10,11,H,H,0,0,2025-05-30--14h-05m-20s-483802
1,9,H,H,0,0,2025-05-30--14h-05m-20s-483802
1,12,H,H,0,0,2025-05-30--14h-05m-20s-483802
1,11,H,H,0,0,2025-05-30--14h-05m-20s-483802
1,10,H,H,0,0,2025-05-30--14h-05m-20s-483802
1,4,H,H,0,0,2025-05-30--14h-05m-20s-483802
1,7,H,H,0,0,2025-05-30--14h-05m-20s-483802
1,2,H,H,0,0,2025-05-30--14h-05m-20s-483802
4,9,H,H,0,0,2025-05-30--14h-05m-20s-483802
4,12,H,H,0,0,2025-05-30--14h-05m-20s-483802
4,11,H,H,0,0,2025-05-30--14h-05m-20s-483802
4,10,H,H,0,0,2025-05-30--14h-05m-20s-483802
4,7,H,H,0,0,2025-05-30--14h-05m-20s-483802
7,9,H,H,0,0,2025-05-30--14h-05m-20s-483802
7,12,H,H,0,0,2025-05-30--14h-05m-20s-483802
7,11,H,H,0,0,2025-05-30--14h-05m-20s-483802
7,10,H,H,0,0,2025-05-30--14h-05m-20s-483802
2,9,H,H,0,0,2025-05-30--14h-05m-20s-483802
2,12,H,H,0,0,2025-05-30--14h-05m-20s-483802
2,11,H,H,0,0,2025-05-30--14h-05m-20s-483802
2,10,H,H,0,0,2025-05-30--14h-05m-20s-483802
2,4,H,H,0,0,2025-05-30--14h-05m-20s-483802
2,7,H,H,0,0,2025-05-30--14h-05m-20s-483802
9,12,H,H,1,0,2025-05-30--14h-05m-20s-502107
9,11,H,H,1,0,2025-05-30--14h-05m-20s-502107
9,10,H,H,1,0,2025-05-30--14h-05m-20s-502107
11,12,H,H,1,0,2025-05-30--14h-05m-20s-502107
10,12,H,H,1,0,2025-05-30--14h-05m-20s-502107
10,11,H,H,1,0,2025-05-30--14h-05m-20s-502107
1,9,H,H,1,0,2025-05-30--14h-05m-20s-502107
1,12,H,H,1,0,2025-05-30--14h-05m-20s-502107
1,11,H,H,1,0,2025-05-30--14h-05m-20s-502107
1,10,H,H,1,0,2025-05-30--14h-05m-20s-502107
1,4,H,H,1,0,2025-05-30--14h-05m-20s-502107
1,7,H,H,1,0,2025-05-30--14h-05m-20s-502107
1,2,H,H,1,0,2025-05-30--14h-05m-20s-502107
4,9,H,H,1,0,2025-05-30--14h-05m-20s-502107
4,12,H,H,1,0,2025-05-30--14h-05m-20s-502107
4,11,H,H,1,0,2025-05-30--14h-05m-20s-502107
4,10,H,H,1,0,2025-05-30--14h-05m-20s-502107
4,7,H,H,1,0,2025-05-30--14h-05m-20s-502107
7,9,H,H,1,0,2025-05-30--14h-05m-20s-502107
7,12,H,H,1,0,2025-05-30--14h-05m-20s-502107
7,11,H,H,1,0,2025-05-30--14h-05m-20s-502107
7,10,H,H,1,0,2025-05-30--14h-05m-20s-502107
2,9,H,H,1,0,2025-05-30--14h-05m-20s-502107
2,12,H,H,1,0,2025-05-30--14h-05m-20s-502107
2,11,H,H,1,0,2025-05-30--14h-05m-20s-502107
2,10,H,H,1,0,2025-05-30--14h-05m-20s-502107
2,4,H,H,1,0,2025-05-30--14h-05m-20s-502107
2,7,H,H,1,0,2025-05-30--14h-05m-20s-502107
9,12,H,H,2,0,2025-05-30--14h-05m-20s-515188
9,11,H,H,2,0,2025-05-30--14h-05m-20s-515188
9,10,H,H,2,0,2025-05-30--14h-05m-20s-515188
11,12,H,H,2,0,2025-05-30--14h-05m-20s-515188
10,12,H,H,2,0,2025-05-30--14h-05m-20s-515188
10,11,H,H,2,0,2025-05-30--14h-05m-20s-515188
1,9,H,H,2,0,2025-05-30--14h-05m-20s-515188
1,12,H,H,2,0,2025-05-30--14h-05m-20s-515188
