data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-30--14h-24m-36s,0,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,2,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-24m-36s,3,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-24m-36s,5,0.0,6.0,0.0,0.0,6.0
2025-05-30--14h-24m-36s,6,0.5,2.0,0.0,0.0,2.5
2025-05-30--14h-24m-36s,7,0.5,5.0,0.0,0.0,5.5
2025-05-30--14h-24m-36s,8,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,9,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,10,0.0,3.0,0.0,0.5,3.5
2025-05-30--14h-24m-36s,11,0.5,2.0,0.0,0.5,3.0
2025-05-30--14h-24m-36s,12,0.0,2.0,0.0,1.0,3.0
2025-05-30--14h-24m-36s,13,0.0,2.0,0.0,0.5,2.5
2025-05-30--14h-24m-36s,14,0.0,6.0,0.0,0.0,6.0
2025-05-30--14h-24m-36s,15,0.0,0.0,0.0,0.5,0.5
2025-05-30--14h-24m-36s,16,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-24m-36s,17,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,18,0.0,2.0,0.0,0.5,2.5
2025-05-30--14h-24m-36s,19,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,20,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,21,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-24m-36s,22,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,23,0.5,2.0,0.0,0.5,3.0
2025-05-30--14h-24m-36s,24,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,25,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-24m-36s,26,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-24m-36s,27,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,28,0.0,2.0,0.0,0.5,2.5
2025-05-30--14h-24m-36s,29,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,30,0.5,1.0,0.0,0.5,2.0
2025-05-30--14h-24m-36s,31,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,32,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,33,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-24m-36s,34,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,35,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,36,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,37,0.0,9.0,0.0,1.0,10.0
2025-05-30--14h-24m-36s,38,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,39,0.5,2.0,0.0,0.0,2.5
2025-05-30--14h-24m-36s,40,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,41,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,42,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,43,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-24m-36s,44,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,45,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,46,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,48,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-24m-36s,49,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,50,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,51,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,52,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,53,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-24m-36s,54,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-24m-36s,55,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,56,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,57,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-24m-36s,58,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,59,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,60,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-24m-36s,61,0.0,5.0,0.0,0.5,5.5
2025-05-30--14h-24m-36s,62,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,63,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-24m-36s,64,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-24m-36s,66,0.5,3.0,0.0,0.0,3.5
2025-05-30--14h-24m-36s,67,0.0,2.0,0.0,0.5,2.5
2025-05-30--14h-24m-36s,68,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-24m-36s,69,0.0,2.0,0.0,1.0,3.0
2025-05-30--14h-24m-36s,70,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-24m-36s,71,0.0,1.0,0.0,0.0,1.0
