data_dir,C,SB,DB_V,DB_H,N
2025-06-18--17h-22m-30s,105.0,0.0,0.0,95.0,200.0
2025-06-18--17h-22m-30s,99.0,0.0,0.0,101.0,200.0
2025-06-18--17h-22m-30s,95.0,1.0,0.0,104.0,200.0
2025-06-18--17h-22m-30s,95.0,1.0,0.0,104.0,200.0
2025-06-18--17h-22m-30s,97.0,1.0,0.0,102.0,200.0
2025-06-18--17h-22m-30s,99.0,1.0,0.0,100.0,200.0
2025-06-18--17h-22m-30s,93.0,0.0,0.0,107.0,200.0
2025-06-18--17h-22m-30s,95.0,2.0,0.0,103.0,200.0
2025-06-18--17h-22m-30s,99.0,0.0,0.0,101.0,200.0
2025-06-18--17h-22m-30s,101.0,1.0,0.0,98.0,200.0
2025-06-18--17h-22m-30s,102.0,0.0,0.0,98.0,200.0
2025-06-18--17h-22m-30s,103.0,1.0,0.0,96.0,200.0
2025-06-18--17h-22m-30s,110.0,1.0,0.0,89.0,200.0
2025-06-18--17h-22m-30s,105.0,1.0,0.0,94.0,200.0
2025-06-18--17h-22m-30s,95.0,1.0,0.0,104.0,200.0
2025-06-18--17h-22m-30s,93.0,0.0,1.0,106.0,200.0
2025-06-18--17h-22m-30s,106.0,1.0,0.0,93.0,200.0
2025-06-18--17h-22m-30s,103.0,2.0,0.0,95.0,200.0
2025-06-18--17h-22m-30s,98.0,1.0,0.0,101.0,200.0
2025-06-18--17h-22m-30s,90.0,0.0,0.0,110.0,200.0
2025-06-18--17h-22m-30s,104.0,3.0,0.0,93.0,200.0
2025-06-18--17h-22m-30s,97.0,1.0,0.0,102.0,200.0
2025-06-18--17h-22m-30s,83.0,2.0,0.0,115.0,200.0
2025-06-18--17h-22m-30s,122.0,1.0,0.0,77.0,200.0
2025-06-18--17h-22m-30s,103.0,0.0,0.0,97.0,200.0
2025-06-18--17h-22m-30s,93.0,2.0,0.0,105.0,200.0
2025-06-18--17h-22m-30s,103.0,5.0,0.0,92.0,200.0
2025-06-18--17h-22m-30s,95.0,0.0,0.0,105.0,200.0
2025-06-18--17h-22m-30s,99.0,0.0,0.0,101.0,200.0
2025-06-18--17h-22m-30s,115.0,2.0,0.0,83.0,200.0
2025-06-18--17h-22m-30s,98.0,2.0,0.0,100.0,200.0
2025-06-18--17h-22m-30s,104.0,1.0,0.0,95.0,200.0
2025-06-18--17h-22m-30s,92.0,1.0,0.0,107.0,200.0
2025-06-18--17h-22m-30s,93.0,0.0,0.0,107.0,200.0
2025-06-18--17h-22m-30s,99.0,0.0,0.0,101.0,200.0
