data_dir,C,DB_H,DB_V,SB,N
2025-06-18--17h-44m-55s,20.0,19.0,0.0,1.0,40.0
2025-06-18--17h-44m-55s,20.0,20.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,26.0,14.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,19.0,20.0,0.0,1.0,40.0
2025-06-18--17h-44m-55s,14.0,25.0,0.0,1.0,40.0
2025-06-18--17h-44m-55s,12.0,28.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,22.0,18.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,21.0,18.0,0.0,1.0,40.0
2025-06-18--17h-44m-55s,15.0,25.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,22.0,18.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,23.0,17.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,21.0,19.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,16.0,24.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,20.0,20.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,23.0,17.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,20.0,20.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,21.0,19.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,21.0,19.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,22.0,18.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,20.0,20.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,21.0,19.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,21.0,19.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,19.0,20.0,0.0,1.0,40.0
2025-06-18--17h-44m-55s,17.0,23.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,20.0,20.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,21.0,19.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,17.0,23.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,15.0,25.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,20.0,20.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,26.0,14.0,0.0,0.0,40.0
2025-06-18--17h-44m-55s,26.0,14.0,0.0,0.0,40.0
