detector_a_name,detector_b_name,detector_a_time_tag,detector_b_time_tag,timestamp,tomography_setting_t,tomography_setting_r,data_dir,estimation_label,corrected_estimation_label
1,4,2554318921001148928,2554318921001148928,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,4,2554318921009248256,2554318921009248256,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,10,2554318921009963008,2554318921009963008,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,C'
1,12,2554318921024846848,2554318921024846848,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921032760832,2554318921032760832,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921034347520,2554318921034347520,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,12,2554318921040030720,2554318921040030720,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921040880128,2554318921040880128,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
7,9,2554318921047427584,2554318921047427584,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,C'
1,4,2554318921056293888,2554318921056293888,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,9,2554318921069452800,2554318921069452800,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
11,12,2554318921069997568,2554318921069997568,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,SB,SB
1,10,2554318921072579072,2554318921072579072,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,C'
1,9,2554318921080482816,2554318921080482816,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921081906688,2554318921081906688,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
9,12,2554318921083051520,2554318921083051520,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
9,12,2554318921092057088,2554318921092057088,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,9,2554318921095151616,2554318921095151616,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921098929152,2554318921098929152,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,10,2554318921116112384,2554318921116112384,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,SB,SB
