detector_a_name,detector_b_name,detector_a_time_tag,detector_b_time_tag,timestamp,tomography_setting_t,tomography_setting_r,data_dir
4,9,2554326308880074240,2554326308880074240,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326308888350208,2554326308888350208,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326308906767872,2554326308906767872,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326308913017856,2554326308913017856,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326308923485184,2554326308923485184,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326308929622016,2554326308929622016,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326308930058240,2554326308930058240,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326308932797440,2554326308932797440,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326308941490688,2554326308941490688,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326308942149632,2554326308942149632,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326308944340480,2554326308944340480,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326308952030720,2554326308952030720,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326308954769408,2554326308954769408,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326308955323904,2554326308955323904,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326308955665920,2554326308955665920,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326308959146496,2554326308959146496,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326308964376576,2554326308964376576,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326308966917120,2554326308966917120,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326308967790080,2554326308967790080,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326308981169664,2554326308981169664,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326308987209728,2554326308987209728,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326308987408384,2554326308987408384,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326308993480704,2554326308993480704,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309003560960,2554326309003560960,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,10,2554326309006170624,2554326309006170624,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309011376640,2554326309011376640,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309012532736,2554326309012532736,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309035141632,2554326309035141632,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309040816128,2554326309040816128,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309053310464,2554326309053310464,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309057470464,2554326309057470464,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309064577024,2554326309064577024,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309075048448,2554326309075048448,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
2,12,2554326309080972800,2554326309080972800,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309083393536,2554326309083393536,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309092788224,2554326309092788224,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309093948416,2554326309093948416,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309095562752,2554326309095562752,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309101733888,2554326309101733888,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309109441536,2554326309109441536,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309119035392,2554326309119035392,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309119986176,2554326309119986176,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309126287360,2554326309126287360,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309128394752,2554326309128394752,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309131282944,2554326309131282944,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309135689728,2554326309135689728,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309141251072,2554326309141251072,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309148192256,2554326309148192256,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
7,12,2554326309148828672,2554326309148828672,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309150503936,2554326309150503936,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309150663168,2554326309150663168,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309156445184,2554326309156445184,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309158702080,2554326309158702080,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309176320512,2554326309176320512,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309177921024,2554326309177921024,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309192501760,2554326309192501760,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309200317952,2554326309200317952,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309204596224,2554326309204596224,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309206647296,2554326309206647296,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309213266944,2554326309213266944,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309213641216,2554326309213641216,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309218332672,2554326309218332672,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309221629952,2554326309221629952,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309224551936,2554326309224551936,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309229626880,2554326309229626880,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309234041344,2554326309234041344,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309236937216,2554326309236937216,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309237545984,2554326309237545984,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309255674368,2554326309255674368,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309259231744,2554326309259231744,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309261638144,2554326309261638144,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309262717440,2554326309262717440,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309263439872,2554326309263439872,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309265007104,2554326309265007104,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309277187584,2554326309277187584,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309278563328,2554326309278563328,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309281207296,2554326309281207296,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309283883008,2554326309283883008,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309286924800,2554326309286924800,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309289958400,2554326309289958400,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309296235520,2554326309296235520,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309304138240,2554326309304138240,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309308114432,2554326309308114432,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309313871872,2554326309313871872,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309315804160,2554326309315804160,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309319170048,2554326309319170048,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309328990720,2554326309328990720,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309339435520,2554326309339435520,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309354788352,2554326309354788352,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309358042624,2554326309358042624,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309362933760,2554326309362933760,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309368544768,2554326309368544768,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,9,2554326309386737664,2554326309386737664,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309390653440,2554326309390653440,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309398451712,2554326309398451712,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309399794176,2554326309399794176,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309401999872,2554326309401999872,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309423462912,2554326309423462912,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309436796416,2554326309436796416,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
