data_dir,C',SB,VV,HH,N
2025-06-18--18h-11m-21s,5.0,5.0,0.0,70.0,80.0
2025-06-18--18h-11m-21s,5.0,8.0,0.0,67.0,80.0
2025-06-18--18h-11m-21s,8.0,6.0,0.0,66.0,80.0
2025-06-18--18h-11m-21s,7.0,5.0,0.0,68.0,80.0
2025-06-18--18h-11m-21s,6.0,7.0,0.0,67.0,80.0
2025-06-18--18h-11m-21s,4.0,9.0,2.0,65.0,80.0
2025-06-18--18h-11m-21s,5.0,5.0,0.0,70.0,80.0
2025-06-18--18h-11m-21s,3.0,8.0,1.0,68.0,80.0
2025-06-18--18h-11m-21s,5.0,6.0,0.0,69.0,80.0
2025-06-18--18h-11m-21s,4.0,5.0,1.0,70.0,80.0
2025-06-18--18h-11m-21s,7.0,4.0,0.0,69.0,80.0
2025-06-18--18h-11m-21s,5.0,2.0,1.0,72.0,80.0
2025-06-18--18h-11m-21s,5.0,7.0,0.0,68.0,80.0
2025-06-18--18h-11m-21s,3.0,6.0,0.0,71.0,80.0
2025-06-18--18h-11m-21s,8.0,4.0,0.0,68.0,80.0
2025-06-18--18h-11m-21s,5.0,5.0,2.0,68.0,80.0
2025-06-18--18h-11m-21s,7.0,8.0,0.0,65.0,80.0
2025-06-18--18h-11m-21s,10.0,11.0,1.0,58.0,80.0
2025-06-18--18h-11m-21s,8.0,5.0,1.0,66.0,80.0
2025-06-18--18h-11m-21s,3.0,10.0,0.0,67.0,80.0
2025-06-18--18h-11m-21s,2.0,7.0,1.0,70.0,80.0
2025-06-18--18h-11m-21s,2.0,11.0,0.0,67.0,80.0
2025-06-18--18h-11m-21s,11.0,5.0,1.0,63.0,80.0
2025-06-18--18h-11m-21s,7.0,1.0,0.0,72.0,80.0
2025-06-18--18h-11m-21s,4.0,5.0,0.0,71.0,80.0
2025-06-18--18h-11m-21s,3.0,4.0,0.0,73.0,80.0
2025-06-18--18h-11m-21s,3.0,7.0,0.0,70.0,80.0
2025-06-18--18h-11m-21s,4.0,2.0,0.0,74.0,80.0
2025-06-18--18h-11m-21s,6.0,3.0,0.0,71.0,80.0
2025-06-18--18h-11m-21s,1.0,9.0,0.0,70.0,80.0
2025-06-18--18h-11m-21s,2.0,9.0,0.0,69.0,80.0
2025-06-18--18h-11m-21s,4.0,1.0,0.0,75.0,80.0
