data_dir,C',HH,SB,VV,N,theta_estimate,delta_phi_estimate,clipped_delta_phi_estimate
2025-06-18--18h-21m-51s,8.0,1.0,9.0,22.0,40.0,2.12351143989168,0.7555207266854926,0.7555207266854926
2025-06-18--18h-21m-51s,8.0,1.0,8.0,23.0,40.0,2.15316056466364,0.7853981633974483,0.7853981633974483
2025-06-18--18h-21m-51s,4.0,0.0,8.0,28.0,40.0,2.34619382340565,0.6127850976142151,0.6127850976142151
2025-06-18--18h-21m-51s,9.0,4.0,4.0,23.0,40.0,2.065760358511791,0.9859705385042258,0.9859705385042258
2025-06-18--18h-21m-51s,6.0,0.0,9.0,25.0,40.0,2.2459278597319283,0.6831644623239246,0.6831644623239246
2025-06-18--18h-21m-51s,9.0,6.0,6.0,19.0,40.0,1.9018080548841911,0.8876318644709721,0.8876318644709721
2025-06-18--18h-21m-51s,8.0,3.0,9.0,20.0,40.0,2.009758212404657,0.7555207266854926,0.7555207266854926
2025-06-18--18h-21m-51s,8.0,6.0,5.0,21.0,40.0,1.9551931012905357,0.9036388997985472,0.9036388997985472
2025-06-18--18h-21m-51s,13.0,3.0,6.0,18.0,40.0,1.9551931012905357,0.9770743045873937,0.9770743045873937
2025-06-18--18h-21m-51s,5.0,3.0,8.0,24.0,40.0,2.12351143989168,0.6671574269963495,0.6671574269963495
2025-06-18--18h-21m-51s,11.0,3.0,5.0,21.0,40.0,2.037561665842193,0.9806805184128198,0.9806805184128198
2025-06-18--18h-21m-51s,9.0,2.0,6.0,23.0,40.0,2.12351143989168,0.8876318644709721,0.8876318644709721
2025-06-18--18h-21m-51s,9.0,3.0,6.0,22.0,40.0,2.065760358511791,0.8876318644709721,0.8876318644709721
2025-06-18--18h-21m-51s,4.0,3.0,7.0,26.0,40.0,2.183400474843519,0.6451250924685259,0.6451250924685259
2025-06-18--18h-21m-51s,8.0,3.0,9.0,20.0,40.0,2.009758212404657,0.7555207266854926,0.7555207266854926
2025-06-18--18h-21m-51s,9.0,3.0,6.0,22.0,40.0,2.065760358511791,0.8876318644709721,0.8876318644709721
2025-06-18--18h-21m-51s,6.0,6.0,9.0,19.0,40.0,1.9018080548841911,0.6831644623239246,0.6831644623239246
2025-06-18--18h-21m-51s,10.0,2.0,12.0,16.0,40.0,1.9283674304404068,0.7391856506574815,0.7391856506574815
2025-06-18--18h-21m-51s,9.0,4.0,11.0,16.0,40.0,1.8754889808102941,0.7345491364321179,0.7345491364321179
2025-06-18--18h-21m-51s,4.0,1.0,6.0,29.0,40.0,2.34619382340565,0.6831644623239246,0.6831644623239246
2025-06-18--18h-21m-51s,7.0,2.0,7.0,24.0,40.0,2.15316056466364,0.7853981633974483,0.7853981633974483
2025-06-18--18h-21m-51s,11.0,1.0,7.0,21.0,40.0,2.0943951023931957,0.8991808402752552,0.8991808402752552
2025-06-18--18h-21m-51s,9.0,1.0,4.0,26.0,40.0,2.2459278597319283,0.9859705385042258,0.9859705385042258
2025-06-18--18h-21m-51s,7.0,3.0,8.0,22.0,40.0,2.065760358511791,0.7515313257911879,0.7515313257911879
2025-06-18--18h-21m-51s,6.0,2.0,7.0,25.0,40.0,2.183400474843519,0.7463111170047708,0.7463111170047708
2025-06-18--18h-21m-51s,5.0,5.0,6.0,24.0,40.0,2.065760358511791,0.7391856506574815,0.7391856506574815
