qwp,hwp,singles
-3.0,-5.0,"[ 98464   2379      0 112699      0      0   3616      0 102010    511
    597 115075      0      0      0      0]"
-3.0,-3.5,"[ 98262   1655      0 112417      0      0   2600      0  99512    518
    578 114092      0      0      0      0]"
-3.0,-2.0,"[ 99427   1258      0 114006      0      0   2235      0 101505    568
    539 114629      0      0      0      0]"
-3.0,-0.5,"[ 99350   1251      0 113091      0      0   2221      0 101195    565
    601 114368      0      0      0      0]"
-3.0,1.0,"[ 98234   1836      0 112819      0      0   2775      0 100872    557
    553 114100      0      0      0      0]"
-2.0,-5.0,"[ 97161   2663      0 111425      0      0   4014      0 101300    541
    606 114392      0      0      0      0]"
-2.0,-3.5,"[ 98115   1832      0 112271      0      0   2883      0 101836    529
    605 114343      0      0      0      0]"
-2.0,-2.0,"[ 98293   1274      0 112308      0      0   2210      0 100792    485
    569 113767      0      0      0      0]"
-2.0,-0.5,"[ 99251   1184      0 113733      0      0   2234      0 100711    479
    582 113654      0      0      0      0]"
-2.0,1.0,"[ 98186   1516      0 112800      0      0   2629      0 100641    506
    568 113058      0      0      0      0]"
-1.0,-5.0,"[190488   4994      0 216308      0      0   6777      0 180064    620
    629 204214      0      0      0      0]"
-1.0,-3.5,"[231285   3147      0 262855      0      0   4421      0 208846    668
    711 240168      0      0      0      0]"
-1.0,-2.0,"[231643   1718      0 262939      0      0   2756      0 208634    653
    772 238806      0      0      0      0]"
-1.0,-0.5,"[233858    864      0 263294      0      0   1894      0 209143    651
    651 239777      0      0      0      0]"
-1.0,1.0,"[233173   1646      0 263699      0      0   2866      0 209402    637
    637 240589      0      0      0      0]"
0.0,-5.0,"[226176   6733      0 255730      0      0   8567      0 209739    607
    696 239151      0      0      0      0]"
0.0,-3.5,"[231044   4041      0 260699      0      0   5380      0 210780    610
    693 240724      0      0      0      0]"
0.0,-2.0,"[232230   2113      0 262979      0      0   3226      0 209282    635
    641 240088      0      0      0      0]"
0.0,-0.5,"[233310   1279      0 264654      0      0   2266      0 210889    660
    653 240752      0      0      0      0]"
0.0,1.0,"[233162   1666      0 264398      0      0   2581      0 210367    663
    671 239738      0      0      0      0]"
1.0,-5.0,"[225700   8614      0 256012      0      0  10604      0 210313    646
    686 240357      0      0      0      0]"
1.0,-3.5,"[230648   5106      0 261921      0      0   6835      0 211897    632
    670 242526      0      0      0      0]"
1.0,-2.0,"[229670   2851      0 260611      0      0   4134      0 209320    606
    679 239340      0      0      0      0]"
1.0,-0.5,"[231339   1651      0 263719      0      0   2726      0 209886    602
    688 238968      0      0      0      0]"
1.0,1.0,"[231990   1632      0 261967      0      0   2617      0 208380    658
    707 238743      0      0      0      0]"
