qwp,hwp,singles
-5.0,-5.0,"[60300  1124     0 69090     0     0  1734     0 61780   306   327 70161
     0     0     0     0]"
-5.0,-4.0,"[61203   985     0 69914     0     0  1508     0 62060   312   316 70971
     0     0     0     0]"
-5.0,-3.0,"[61326   805     0 70091     0     0  1299     0 62157   298   310 71325
     0     0     0     0]"
-5.0,-2.0,"[61048   800     0 70136     0     0  1356     0 61999   304   293 70372
     0     0     0     0]"
-5.0,-1.0,"[60089   913     0 69341     0     0  1494     0 61488   308   349 70293
     0     0     0     0]"
-5.0,0.0,"[60407  1122     0 69362     0     0  1693     0 60986   287   334 70069
     0     0     0     0]"
-5.0,1.0,"[59762  1454     0 68663     0     0  1929     0 62008   303   320 70133
     0     0     0     0]"
-5.0,2.0,"[59802  1826     0 68428     0     0  2601     0 62069   306   321 70770
     0     0     0     0]"
-5.0,3.0,"[58484  2396     0 67377     0     0  3266     0 61610   311   354 70280
     0     0     0     0]"
-5.0,4.0,"[57764  3184     0 65711     0     0  3981     0 61569   321   308 69571
     0     0     0     0]"
-5.0,5.0,"[56117  3921     0 64174     0     0  4978     0 60669   299   340 69243
     0     0     0     0]"
-4.0,-5.0,"[60465  1194     0 68777     0     0  1842     0 61965   302   315 71070
     0     0     0     0]"
-4.0,-4.0,"[60270  1007     0 69377     0     0  1507     0 61448   318   298 70164
     0     0     0     0]"
-4.0,-3.0,"[60302   733     0 69590     0     0  1246     0 61673   337   319 70345
     0     0     0     0]"
-4.0,-2.0,"[60237   684     0 69474     0     0  1109     0 61532   260   339 70431
     0     0     0     0]"
-4.0,-1.0,"[60927   715     0 69403     0     0  1242     0 62111   291   322 70943
     0     0     0     0]"
-4.0,0.0,"[60368   911     0 68270     0     0  1434     0 61214   305   352 70001
     0     0     0     0]"
-4.0,1.0,"[60091  1241     0 68582     0     0  1701     0 61610   325   331 70177
     0     0     0     0]"
-4.0,2.0,"[59224  1543     0 67875     0     0  2216     0 61253   285   330 69308
     0     0     0     0]"
-4.0,3.0,"[58717  2061     0 66945     0     0  2810     0 60834   308   323 69444
     0     0     0     0]"
-4.0,4.0,"[58371  2813     0 66898     0     0  3514     0 61260   266   324 70542
     0     0     0     0]"
-4.0,5.0,"[56926  3512     0 65306     0     0  4320     0 61306   281   357 69848
     0     0     0     0]"
-3.0,-5.0,"[59872  1319     0 68725     0     0  1915     0 61336   266   328 70320
     0     0     0     0]"
-3.0,-4.0,"[59523  1149     0 68313     0     0  1535     0 61344   302   312 69510
     0     0     0     0]"
-3.0,-3.0,"[60577   808     0 68676     0     0  1338     0 61515   359   348 69849
     0     0     0     0]"
-3.0,-2.0,"[60596   683     0 69081     0     0  1162     0 61187   290   289 69561
     0     0     0     0]"
-3.0,-1.0,"[59841   642     0 69246     0     0  1104     0 61153   279   311 69560
     0     0     0     0]"
-3.0,0.0,"[60643   765     0 69836     0     0  1288     0 61816   294   312 70258
     0     0     0     0]"
-3.0,1.0,"[60254   958     0 69312     0     0  1489     0 61215   280   332 69479
     0     0     0     0]"
-3.0,2.0,"[59750  1275     0 68300     0     0  1938     0 61373   294   318 70025
     0     0     0     0]"
-3.0,3.0,"[59462  1832     0 68187     0     0  2499     0 61393   306   349 69865
     0     0     0     0]"
-3.0,4.0,"[57971  2268     0 66961     0     0  2997     0 60946   278   344 69338
     0     0     0     0]"
-3.0,5.0,"[57200  3004     0 65079     0     0  3933     0 61231   264   335 68668
     0     0     0     0]"
-2.0,-5.0,"[58045  1525     0 66549     0     0  2101     0 60205   278   324 68732
     0     0     0     0]"
-2.0,-4.0,"[58952  1270     0 67350     0     0  1829     0 60691   272   364 68763
     0     0     0     0]"
-2.0,-3.0,"[59199   917     0 67172     0     0  1417     0 60341   313   336 68773
     0     0     0     0]"
-2.0,-2.0,"[59618   769     0 68310     0     0  1189     0 60861   303   325 68664
     0     0     0     0]"
-2.0,-1.0,"[59734   648     0 68545     0     0  1066     0 60865   279   336 69039
     0     0     0     0]"
-2.0,0.0,"[59422   626     0 68179     0     0  1099     0 60567   320   337 69050
     0     0     0     0]"
-2.0,1.0,"[59488   858     0 68261     0     0  1350     0 60678   302   330 69393
     0     0     0     0]"
-2.0,2.0,"[59390  1075     0 68115     0     0  1694     0 60486   295   325 69550
     0     0     0     0]"
-2.0,3.0,"[58949  1541     0 67150     0     0  2199     0 60687   303   320 69017
     0     0     0     0]"
-2.0,4.0,"[58374  1959     0 65960     0     0  2647     0 60366   284   325 68602
     0     0     0     0]"
